@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-max NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,29,0.0625,0.3625,2,4.6,2.00998,8
BF1_cpmp_16_5_48_10_29_12,1,4.36364,0.6,1.61091,16,0.3125,0,7,5,0.5625,29,0.1875,0.3625,2,4.55556,2.26623,9
BF1_cpmp_16_5_48_10_29_14,1,4.36364,0.6,1.72008,16,0.3125,0,7,5,625,29,0.1875,0.3625,2,4.3,1.84662,7
BF1_cpmp_16_5_48_10_29_15,1,4.36364,0.6,1.61091,16,0.3125,0,6,5,0.5,29,0.0625,0.3625,2,3.5,2.29129,9
BF1_cpmp_16_5_48_10_29_17,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,0.5625,29,125,0.3625,2,4.66667,2.44949,10
BF1_cpmp_16_5_48_10_29_18,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,29,0.0625,0.3625,2,4.5,1.85742,8
BF1_cpmp_16_5_48_10_29_19,1,4.36364,0.6,1.77214,16,0.3125,0,7,5,0.5625,29,0.0625,0.3625,2,5.33333,2.10819,10
BF1_cpmp_16_5_48_10_29_20,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,29,125,0.3625,2,4.9,2.66271,10
BF1_cpmp_16_5_48_10_29_3,1,4.36364,0.6,1.49379,16,0.3125,0,6,5,0.75,29,125,0.3625,2,4.33333,2.28522,9
BF1_cpmp_16_5_48_10_29_4,1,4.36364,0.6,1.49379,16,0.3125,0,6,5,625,29,0.1875,0.3625,2,5,2.09762,9
BF1_cpmp_16_5_48_10_29_5,1,4.36364,0.6,1.72008,16,0.3125,0,7,5,0.5625,29,125,0.3625,2,5,2,8
BF1_cpmp_16_5_48_10_29_6,1,4.36364,0.6,1.49379,16,0.3125,0,6,5,0.75,29,0.25,0.3625,2,3.91667,1.65622,7
BF1_cpmp_16_5_48_10_29_7,1,4.36364,0.6,1.43164,16,0.3125,0,5,5,625,29,0.0625,0.3625,2,4.3,2.05183,8
BF1_cpmp_16_5_48_10_29_8,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,0.5625,29,125,0.3625,2,4.55556,2.00616,9
BF1_cpmp_16_5_48_10_29_9,1,4.36364,0.6,1.91988,16,0.3125,0,6,5,0.75,29,125,0.3625,2,4.66667,1.84089,8
BF10_cpmp_16_8_77_16_58_13,1,4.52941,0.601562,1.37702,16,0.5,0,6,8,625,58,0.1875,0.453125,2,8,3.4641,12
BF10_cpmp_16_8_77_16_58_3,1,4.52941,0.601562,1.57621,16,0.5,0,8,8,625,58,0.1875,0.453125,3,6.9,3.61801,15
BF10_cpmp_16_8_77_16_58_8,1,4.52941,0.601562,1.33362,16,0.5,0,6,8,625,58,0.25,0.453125,2,6.1,3.36006,12
BF11_cpmp_16_8_77_31_47_10,1,2.40625,0.601562,0.896499,16,0.5,0,5,8,0.75,49,0,0.367188,2,11.8333,7.32386,26
