@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,2.334539,1.005425,0.994604,8.754888,1,68,2.321942,2.378528,553,0.022812,13.122966,8.754888,0.124774,0.992806,8.816327
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,2.343092,1.011894,0.988246,9.475733,1,32,2.315552,0.860448,1093,0.015858,33.954254,9.475733,0.030192,0.987342,24.551724
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,2.342583,1.01174,0.988397,9.475733,1,32,2.315401,0.924092,937,0.015857,29.922092,9.475733,0.035219,0.987342,24.551724
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,2.658683,0.844311,1.184397,5.129283,5,109,3.148936,1.896642,83,0.864639,2.221557,1,0.652695,0.340426,0.5
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,4.613636,0.875,1.142857,1.035221,1,1012,5.272727,0.148638,45,0.002828,7.403409,2,5.755682,0.006494,0.064516
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,4.391813,0.871345,1.147651,1.035221,1,1012,5.040268,0.150733,45,0.002875,7.169591,2,5.923977,0.006711,0.08
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,2.369684,0.705761,1.41691,8.806302,556,36,3.357629,4.518962,1458,0.033152,12.741427,11.399278,0.026063,1,4.625
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,4.27003,0.922849,1.083601,6.210112,5,505,4.62701,2.663326,207,0.524348,6.72997,2,1.557864,0.495177,0.285714
