@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4,12.148515
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184,0.086849,23.028369,4.643856,23.028369
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325,0.231214,8.65,4.643856,8.65
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687,0.288793,6.925373,4,6.925373
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286,0.509091,3.928571,3.169925,3.928571
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4,13.18593
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,4,7.44484
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,3.169925,13.18593
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294,0.394432,6.746218,2.649652,6.378151
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4.643856,20.879736
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4,20.879736
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4,28.640845
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,4.643856,17.402469
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,5.169925,20.879736
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,4,7.557895
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.169925,10.285714
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.61471,10.285714
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4.643856,12.148515
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945,0.580065,6.377792,3.649874,10.408189
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,3.169925,7.44484
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385,0.258706,7.730769,4,7.730769
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.62
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.46
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.169925,19.275362
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,5.169925,28.640845
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4,13.790896
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,4.643856,13.790896
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.71
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.386667
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.33,2.4975,5.133333
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.31,2.494975,5.106667
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,3.169925,7.557895
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.453333
normalized-25s-smv.xml.mzn_AND_NODATA,1,1.868099,0.535303,7.048107,3.716095,12.044558
normalized-44s-smv.xml.mzn_AND_NODATA,1,1.278788,0.781991,5.705051,4.35861,11.357576
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.085,2.765909,10.2
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.373333
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.7
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.665
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.595
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,4.745614,0.210721,9.491228,5.169925,9.491228
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.198333,0.834492,2.926667,2.442281,4.39
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,6.895448,0.145023,13.790896,3.169925,13.790896
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4.643856,13.18593
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.43
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362,5.61471,19.275362
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.186667
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.48
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.426667
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.195,0.83682,2.916667,2.440725,4.43
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.146667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.393333
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.166667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.325,2.496871,5.196667
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1.974684,0.50641,3.949367,3.169925,3.949367
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,6,21.004608
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.326667,0.753769,3.306667,2.492462,5.14
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.59
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.406667
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4.643856,28.640845
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.61
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.173333,0.852273,2.846667,2.426136,4.146667
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,2.2,0.454545,6.1,2.772727,10.24
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.69
normalized-43s-smv.xml.mzn_AND_NODATA,1,1.966621,0.508486,6.894938,3.463829,11.444596
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.44
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.61
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.395,2.611538,5.58
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.931667,2.443056,4.443333
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,2.636667,0.379267,7.231667,2.742731,12.48
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,16.626108,0.060146,33.252217,5.61471,33.252217
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.73
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,5.169925,17.402469
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,4,2.666667,6.7
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1.5,0.666667,3.995,2.663333,6.715
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.33,0.75188,3.323333,2.498747,5.126667
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.725,2.627433,7.573333
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1.5,0.666667,3.99,2.66,6.75
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1.509091,0.662651,7.236364,4.795181,49.290909
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.16
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.193333
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,5.61471,21.004608
normalized-army13-24bt.xml.mzn_AND_NODATA,1,2.214286,0.451613,12.265306,5.539171,137.967347
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.19,0.840336,2.9,2.436975,4.393333
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.425
normalized-anna-10.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6.643856,7.144928
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.328333,0.752823,3.316667,2.496863,5.106667
normalized-army12-21bt.xml.mzn_AND_NODATA,1,2.200935,0.454352,12.058411,5.478769,118.088785
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1.506329,0.663866,7.696203,5.109244,76.316456
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1.504673,0.664596,8.056075,5.354037,110.682243
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,3.4625,0.288809,9.87,2.850542,17.75
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,3.48,0.287356,9.9275,2.85273,17.855
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,1.795,0.557103,4.715,2.626741,7.59
normalized-army10-14bt.xml.mzn_AND_NODATA,1,2.170886,0.460641,11.518987,5.306122,83.221519
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,7.646226,0.130783,15.292453,4.643856,15.292453
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.325,2.496871,5.136667
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,3.4725,0.287977,9.8975,2.850252,17.885
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.926667,2.438889,4.306667
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,2.648333,0.377596,7.266667,2.743864,12.613333
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.31
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.206667
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,2.1975,0.455063,6.0875,2.770193,10.36
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.328333,2.49625,5.2
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.415
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.6
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.68
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.38,2.6,5.48
normalized-anna-9.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6.33985,7.144928
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1.507519,0.663342,7.481203,4.962594,61.902256
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,3.49,0.286533,9.95,2.851003,17.975
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,0.781905,1.278928,3.428571,4.384896,53.285714
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.39,2.607692,5.59
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,0.778571,1.284404,3.428571,4.40367,63.285714
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,6.450658,0.155023,12.901316,4,12.901316
