@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.779554,0.282784,0.010986,5.249382,1185,0.854035,655,3.154891,0.104494,1630,0.835103,1840,10.065649,26333
adder-10-unsat-shuffled,1,0.377808,761.5,0.854527,0.170238,0.001096,10.284932,1523,0.913469,335,3.134015,0.072991,1630,0.967578,1858,8.232836,40028
adder-12-sat-shuffled,1,1.053268,861,0.790835,0.264487,0.009067,5.643748,1722,0.863319,942,3.16967,0.097549,2364,0.846019,2664,10.174098,40370
adder-12-unsat-shuffled,1,0.377757,1100,0.867327,0.152968,0.000754,11.347597,2200,0.922242,486,3.151899,0.065635,2364,0.970946,2686,8.246914,63811
adder-14-sat-shuffled,1,1.053205,1179.5,0.800826,0.248711,0.007719,6.029359,2359,0.871339,1281,3.179945,0.091632,3234,0.855372,3640,10.250585,58115
adder-14-unsat-shuffled,1,0.377683,1500.5,0.877979,0.138979,0.00055,12.400936,3001,0.929346,665,3.164484,0.059669,3234,0.973656,3666,8.255639,95074
adder-16-unsat-shuffled,1,0.377608,1963,0.887007,0.127387,0.000419,13.448475,3926,0.935232,872,3.173822,0.05472,4240,0.975891,4798,8.261468,134769
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.556811,0.79594,0.726821,2.008692,7424,0.566732,545,1.313716,0.413789,7829,0.83996,7969,10.577982,23622
Adder2-4-s-shuffled,1,0.214947,361.666667,0.556623,0.796548,0.72669,2.014947,1085,0.566194,86,1.300598,0.415911,1139,0.84205,1171,9.930233,3435
Adder2-6-c-shuffled,1,0.144914,651.5,0.556468,0.797047,0.726373,2.156916,2606,0.566171,159,1.308137,0.411294,2695,0.893565,2765,14.150943,8155
Adder2-6-s-shuffled,1,0.216597,856.666667,0.55674,0.79617,0.726783,2.011384,2570,0.566513,195,1.308137,0.414678,2705,0.840854,2765,10.292308,8160
