@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,0.0002,0,263.417,64.8077,62536,63000,0.0001,11.1792,79.3077,56.4,63,783.125,0.0011,109.1667,49.5,15000
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,0.0043,140,22.4568,36.1175,2973,2982,0.002,3645.1429,40.6055,34.3506,35.3213,28.7795,0.0188,40.6055,33.1688,700
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,0.0068,89,13.8122,25.9144,1907,1917,0.0052,3902.8571,29.0163,24.2236,25.7924,16.9488,0.0288,29.0163,23.5001,450
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,0.0175,57,32.6548,57.7886,34000,34000,0.0117,84.2564,65.0226,54.2262,57.2143,33.2124,0.0117,66.8647,52.451,400
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,0.0778,12,10.3075,31.7052,8010,8010,0.0111,4385.25,32.4376,31.7124,31.7829,10.5034,0.0111,32.4376,30.8879,90
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,0.14,6,6.3286,19.9056,4450,4450,0.011,4570.6,20.3076,19.7482,19.8762,6.8357,0.011,20.3076,19.6339,50
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,0.004,223,56.827,61.3601,25000,25000,0.0097,33.217,70.5217,56.5625,61.0385,68.0332,0.0184,78.7619,53.5484,1250
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,0.0055,111,14.1506,30.9712,2337,2343,0.0043,3822.4286,37.2312,28.8614,29.5637,16.9422,0.0218,37.2312,26.9066,550
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.1,9,8.4841,25.9461,6230,6230,0.0111,4469,26.2427,25.8541,25.9741,8.7252,0.0111,26.2427,25.4551,70
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,0.0039,160,19.5296,32.4931,3387,3408,0.003,1585.625,40.0484,28.6412,30.6303,24.6923,0.0192,40.1961,26.6508,800
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.0875,10,9.5465,28.3985,7120,7120,0.0111,4412.8,28.8393,28.3909,28.4405,9.6988,0.0111,28.8393,27.7896,80
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.1,9,8.4824,25.6407,6230,6230,0.0111,4435.8,26.5947,25.3567,25.5158,8.6501,0.0111,26.5947,24.9568,70
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0051,120,16.0006,32.868,2545,2556,0.0035,3759,39.9817,30.0397,31.3884,19.9066,0.0232,39.9817,29.6514,600
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,0.0002,0,397.875,71.4595,83418,84000,0,9.101,94.6,58.9474,68.3636,1190,0.0011,120,50.7,20000
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.0467,20,14.1247,46.4415,12750,12750,0.0117,4188.5,47.2796,46.3281,46.9429,14.056,0.0117,47.2796,45.2154,150
