@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093,0.1256,0.719,0.5855,0.5822,0.3926,0.0254,0.2908,0.1655,21,0.1747,0.5867,17,26,18.264,13,0,0.2019,0.3876,42000,2.7143,0.0658,0.6458,0.2943,10000,41709,6,0.0826,0.8244,0
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797,0.1191,1.7696,0.4444,0.4113,0.5682,4.9941,2.0163,1.6206,241,0.1457,0.692,210,1294,321.25,190,0.1194,0.4453,0.6142,583000,2.9961,0.3744,0.7515,1.7597,196000,248000,8,0.1894,0.904,0
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019,0.0025,0.8309,0.008,0.6913,0.1651,0,0.112,0,4356,0.004,0.64,4256,4397,4278.3,4237,0,0.0675,0.1454,2343,3.564,0,0.7341,0.0156,110,2343,3,0.0394,0.8575,0.2
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924,0.1174,1.3557,0.5,0.2835,0.8546,0.1323,6.6383,0.9825,0,0.3595,0.7766,0,0,0,0,0.6199,0.7945,0.9963,1810000,4.3618,2.5312,1.7067,1.3191,96177,1790000,5,0.4754,1.0494,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934,0.1258,0.7172,0.7541,0.5781,0.3951,0.027,0.2896,0.1632,10,0.1772,0.5883,8,12,8.2292,6,0,0.206,0.3897,75600,2.7118,0.0653,0.6504,0.2932,18000,75031,6,0.0862,0.8285,0
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018,0.0222,0.7312,0.1319,0.4123,0.6752,0.2524,0.4576,0.8565,4230,0.0451,0.3529,4214,4236,4132,4115,0,0.4881,0.8077,12647,4.6596,0.4074,1.2079,0.1936,526,10373,3,0.2068,0.9689,0.3333
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925,0.1249,0.7103,0.9025,0.577,0.3936,0.0236,0.2911,0.1537,22,0.1773,0.5878,17,26,18.144,14,0,0.2058,0.3832,42000,2.7124,0.0639,0.6544,0.2948,10000,41760,6,0.0864,0.8223,0
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156,0.022,1.3791,0.1345,0.5482,0.5835,0.9868,0.5454,1.0373,0,0.0292,0.9831,0,0,0,0,0.585,0.2751,0.7644,1410000,2.569,0.4804,0.7992,0.5132,299000,868000,18,0.0713,0.9973,0
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377,0.0442,1.2995,0.2875,0.8312,0.263,2.3864,0.7131,1.2175,931,0.074,0.6554,768,1008,781.73,716,0.2219,0.0674,0.2087,74257,2.357,0.3027,1.0459,1.2355,21104,34035,10,0.0373,0.8613,0
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511,0.0047,0.416,1,0.2263,0.9277,0.122,6.6361,0.2542,0,0.2505,0.2426,0,0,0,0,0.9679,0.9965,1,5580000,5.2325,2.9707,2.5087,4.0607,89315,5550000,4,0.7873,1.0181,0
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631,0.3135,1.6811,0.5,0.471,0.6786,10.418,1.8731,1.7495,0,0.4493,1.4194,0,0,0,0,0.6339,0.4197,0.8295,440000,5.473,2.4534,1.039,1.5958,95421,267000,15,0.15,0.9939,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658,0.1328,1.3213,0.2171,0.4995,0.5567,2.9061,1.065,1.0619,730,0.1335,0.7935,594,1045,664.75,571,0.4161,0.5636,0.6957,148000,2.1911,1.6766,0.8274,0.8326,53752,65966,8,0,0.8829,0
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108,0.0119,0.4809,0.2259,0.1476,0.9558,0.0002,0.5907,0.4533,0,0.0232,0.2326,0,0,0,0,0.8788,0.9849,0.9876,1880000,2.8077,0.8469,1.2403,0.2462,24356,1880000,7,0.9636,0.9997,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835,0.1147,0.7327,0.3832,0.6244,0.3674,0.0269,0.3002,0.163,3953,0.1706,0.5906,3901,3962,3903.4,3873,0,0.1756,0.3438,1785,2.7448,0.073,0.7322,0.2966,420,1774,4,0.0623,0.841,0
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0093,0.0002,0.7112,0.0672,0,0.0398,0,4373,0.0002,0.6756,4162,4373,4134,4033,0,0.0284,0.061,15300,4.2485,0,0.3721,0,180,15300,2,0.0117,0.8647,0.1429
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001,0.0001,0.9999,0.0001,0.7402,0.0547,0,0.0429,0,4516,0.0001,0.6794,4509,4588,4477.5,4406,0,0.0175,0.0483,5785,3.8384,0,0.3991,0,65,5785,2,0.0095,0.875,0.1429
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523,0.0134,0.5625,1,0.232,0.9248,0.1111,5.6053,0.3769,0,0.2684,0.2924,0,0,0,0,0.9475,0.9906,0.9999,2320000,5.0256,2.5842,2.474,3.4014,49112,2300000,4,0.6866,1.0128,0
