@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.3918,0.0097,0.4952,0,0.0445,0.4946,18.2995,0.1301,0.0908,1.7953,0.4947,0.4944,0.1593,?,0.017,0.009,1.0475,1.318,?,0.0429,0.4949,0,?,1.3505,2,0.8047,0.2457,18.2995,2,0.6075,29282,20.7031,2.3439,0,0.4946,0.0005,0.6623,0.0004,5.7878,?,?,?,?,?,0.1176,0.0632,1,0.0029,0.0029,?,0.0029,0.1176,85,29282,0,0.0588,0.0029,0.1017,1.6542,0.0919,0.0163,0.027,0.0569
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.0267,0.2671,0.6494,0.5,0,0.4958,0.0576,0,0.0013,0.7927,19.355,0.1626,0.007,0.9864,?,0.8254,0.6075,21.4704,5.5801,?,0,0.2899,0.8587,?,1.2297,6.6667,1.0218,0.467,0,7,0.0246,1711065,0,5.0412,0.7947,0.1056,1.1702,0.8469,0,9705,?,?,?,?,?,0.0001,0.3403,1,0,0.0009,?,0.0192,0.0006,32046,1666604,0.1329,0.0001,0.0001,0,4.2458,0.9729,0,0.2007,0.825
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0,0.2509,0.9093,0.099,0,0.6262,0.0148,25.887,0.0037,0.7431,8.6144,0.0334,0,0.9738,1.0454,0.5166,0.8609,6.6262,2.5799,0.1971,0.0146,0.064,0.6918,0.5,0.9606,5.7407,0.4072,0.7822,25.887,7,0.3204,37237,29.0986,2.2445,0.363,0.0216,1.158,0.2488,0.0001,66.1096,1.3036,3.497,0.0019,0.0405,0.0015,0.0015,0.6468,1,0.0002,0.0026,0.0001,0.0433,0.0155,1613,37237,0.0025,0.0012,0.0017,0.0002,2.1501,0.9375,0.069,0.3454,0.524
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.2206,0.2306,0.1152,1,0,0.5308,0.4995,11.8763,0.6034,0.6647,0.8134,0.4999,0.4909,0.7998,?,0.4259,2.5476,0.1889,3.3497,?,0,0.5,0.0905,?,2.9418,4.444,0.8986,0.289,11.5542,6,0.4289,8013,13.8079,1.3243,1.5263,0.4485,0.3429,1.2332,0,16.041,?,?,?,?,?,0.006,0.5352,1,0.0002,0.1796,?,0.2232,0.0109,1465,6565,0.0833,0.0014,0.0067,0.0002,2.8671,1,0,0.2063,4.1837
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.0118,0.0212,0.7118,0.0001,0,0.8685,0,57.779,0.0058,0.8879,39.6578,0,0,0.9115,?,1.9114,0.1369,40.4693,4.5707,?,0.8382,0,0.9756,?,0.8223,2,1.0161,0.4897,57.499,2,0.8724,66810,59.4153,4.6273,0,0,3.1726,0.1637,0.0007,11.7438,?,?,?,?,?,0.0037,0.3938,1,0.0114,0.0114,?,0.0114,0.0769,754,66030,0.0345,0.0027,0.0114,0.0021,3.1332,0.5629,0.1948,0.0811,0.199
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,0,1.4096,0.5,0.3227,1,0.0016,0.3197,15.0611,0.0459,0.0047,0.9011,0.3207,0.3145,0.0598,0.0861,0,0,0.552,0.3413,0.1929,0.0001,0.3213,0,0.2,0,5.3913,0,1,15.0611,6,0.8308,196,15.5123,0.2095,0.0507,0.3124,0.0544,0.3795,0.0153,1.0687,0.1142,0.428,0.1538,0.0612,0.0483,0.0323,0.0358,1,0.0306,0.0357,0.0459,0.4745,0.0323,93,196,0,0.0323,0.0312,0.0306,0.3413,0.3333,0,0.1033,0.147
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.0201,0.0195,0.9349,0,0.8,0.7887,0,44.1493,0.0057,0.7982,27.0562,0,0,0.8206,?,1.4631,0.2605,32.0406,4.8,?,0.7637,0,0.9349,?,0.2431,3.0022,0.0236,0.9939,43.7621,4,0.7651,61409,50.6621,4.3346,0.2047,0,8.7813,0.0926,0.0011,27.3511,?,?,?,?,?,0.0036,0.1933,1,0.0019,0.0071,?,0.015,0.0433,900,60200,0.05,0.0022,0.0041,0.002,2.9075,0.3475,0.083,0.0451,0.1759
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0,0.331,0.6497,0.3668,0,0.3654,0.028,18.8218,0.0056,0.5653,1.3762,0.2564,0.0206,0.9675,?,0.7612,1.0494,0.1621,2.64,?,0.0004,0.3099,0.1147,?,1.1159,5.7877,0.4991,0.3999,18.4355,7,0.0738,39932,19.3202,2.6832,0.275,0.1115,1.1336,1.11,0,130.764,?,?,?,?,?,0.0009,0.5862,1,0.0002,0.0028,?,0.0965,0.0127,3853,39932,0.001,0.0005,0.0023,0.0001,2.3734,0.871,0.2,0.2274,1.5123
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0.013,0.0202,0.7267,0,0,0.8555,0,58.1329,0.0059,0.8659,34.3686,0,0,0.8934,?,1.9953,0.187,33.731,4.8125,?,0.8333,0,0.9642,?,0.8872,2,1.0167,0.4874,56.5472,2,0.7793,69990,59.7424,4.6377,0,0,3.2712,0.2029,0.0005,12.2429,?,?,?,?,?,0.0036,0.2393,1,0.0126,0.0126,?,0.0126,0.0667,870,69090,0.0345,0.0023,0.0126,0.0021,3.096,0.4048,0.123,0.0614,0.1973
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.2192,0.4123,0.0646,0.1319,0.3333,0.2068,0.011,21.5996,0.0258,0.4881,4.0415,0.0222,0.0043,0.9033,?,0.4074,0.8565,2.024,4.6596,?,0.0016,0.0451,0,?,0.7312,3,0.3529,0.8204,21.5996,3,0.3481,12647,22.1514,3.1969,0.1936,0.018,1.2079,0.3961,0.0002,14.0495,?,?,?,?,?,0.0097,0.5681,1,0.0077,0.0193,?,0.0405,0.0286,420,10373,0.2524,0.0071,0.0132,0.0038,3.8317,0.954,0,0.3643,0.4576
