@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,0.6,4.36364,16,1.55346,5,625,0.3125
BF1_cpmp_16_5_48_10_29_12,1,0.6,4.36364,16,1.61091,5,0.5625,0.3125
BF1_cpmp_16_5_48_10_29_14,1,0.6,4.36364,16,1.72008,5,625,0.3125
BF1_cpmp_16_5_48_10_29_15,1,0.6,4.36364,16,1.61091,5,0.5,0.3125
BF1_cpmp_16_5_48_10_29_17,1,0.6,4.36364,16,1.55346,5,0.5625,0.3125
BF1_cpmp_16_5_48_10_29_18,1,0.6,4.36364,16,1.55346,5,625,0.3125
BF1_cpmp_16_5_48_10_29_19,1,0.6,4.36364,16,1.77214,5,0.5625,0.3125
BF1_cpmp_16_5_48_10_29_20,1,0.6,4.36364,16,1.55346,5,625,0.3125
BF1_cpmp_16_5_48_10_29_3,1,0.6,4.36364,16,1.49379,5,0.75,0.3125
BF1_cpmp_16_5_48_10_29_4,1,0.6,4.36364,16,1.49379,5,625,0.3125
BF1_cpmp_16_5_48_10_29_5,1,0.6,4.36364,16,1.72008,5,0.5625,0.3125
BF1_cpmp_16_5_48_10_29_6,1,0.6,4.36364,16,1.49379,5,0.75,0.3125
BF1_cpmp_16_5_48_10_29_7,1,0.6,4.36364,16,1.43164,5,625,0.3125
BF1_cpmp_16_5_48_10_29_8,1,0.6,4.36364,16,1.55346,5,0.5625,0.3125
BF1_cpmp_16_5_48_10_29_9,1,0.6,4.36364,16,1.91988,5,0.75,0.3125
BF10_cpmp_16_8_77_16_58_13,1,0.601562,4.52941,16,1.37702,8,625,0.5
BF10_cpmp_16_8_77_16_58_3,1,0.601562,4.52941,16,1.57621,8,625,0.5
BF10_cpmp_16_8_77_16_58_8,1,0.601562,4.52941,16,1.33362,8,625,0.5
BF11_cpmp_16_8_77_31_47_10,1,0.601562,2.40625,16,0.896499,8,0.75,0.5
BF11_cpmp_16_8_77_31_47_11,1,0.601562,2.40625,16,1.34302,8,0.9375,0.5
BF11_cpmp_16_8_77_31_47_16,1,0.601562,2.40625,16,0.963696,8,875,0.5
BF11_cpmp_16_8_77_31_47_6,1,0.601562,2.40625,16,1.19529,8,1,0.5
BF11_cpmp_16_8_77_31_47_7,1,0.601562,2.40625,16,1.08568,8,0.9375,0.5
BF12_cpmp_16_8_77_31_58_14,1,0.601562,2.40625,16,1.08568,8,0.75,0.5
BF17_cpmp_20_5_60_12_36_1,1,0.6,4.61538,20,1.54613,5,0.55,0.25
BF17_cpmp_20_5_60_12_36_10,1,0.6,4.61538,20,1.68881,5,0.6,0.25
BF17_cpmp_20_5_60_12_36_11,1,0.6,4.61538,20,1.59511,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_12,1,0.6,4.61538,20,1.59511,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_15,1,0.6,4.61538,20,1.77757,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_16,1,0.6,4.61538,20,1.54613,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_17,1,0.6,4.61538,20,1.49556,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_2,1,0.6,4.61538,20,1.82033,5,0.6,0.25
BF17_cpmp_20_5_60_12_36_20,1,0.6,4.61538,20,1.77757,5,0.7,0.25
BF17_cpmp_20_5_60_12_36_3,1,0.6,4.61538,20,1.54613,5,0.65,0.25
BF17_cpmp_20_5_60_12_36_4,1,0.6,4.61538,20,1.68881,5,0.55,0.25
BF17_cpmp_20_5_60_12_36_5,1,0.6,4.61538,20,1.49556,5,0.75,0.25
BF17_cpmp_20_5_60_12_36_6,1,0.6,4.61538,20,1.49556,5,0.75,0.25
BF17_cpmp_20_5_60_12_36_7,1,0.6,4.61538,20,1.59511,5,0.55,0.25
BF17_cpmp_20_5_60_12_36_8,1,0.6,4.61538,20,2.13175,5,0.75,0.25
BF18_cpmp_20_5_60_12_45_1,1,0.6,4.61538,20,1.4432,5,0.7,0.25
BF18_cpmp_20_5_60_12_45_12,1,0.6,4.61538,20,1.54613,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_13,1,0.6,4.61538,20,1.68881,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_14,1,0.6,4.61538,20,1.59511,5,0.65,0.25
BF18_cpmp_20_5_60_12_45_15,1,0.6,4.61538,20,1.59511,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_16,1,0.6,4.61538,20,1.54613,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_17,1,0.6,4.61538,20,1.59511,5,0.65,0.25
BF18_cpmp_20_5_60_12_45_18,1,0.6,4.61538,20,1.68881,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_19,1,0.6,4.61538,20,1.54613,5,0.65,0.25
BF18_cpmp_20_5_60_12_45_2,1,0.6,4.61538,20,1.59511,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_3,1,0.6,4.61538,20,1.73376,5,0.6,0.25
BF18_cpmp_20_5_60_12_45_4,1,0.6,4.61538,20,1.4432,5,0.6,0.25
