@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_PRODUCTS NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.779554,0.282784,0.010986,5.249382,1185,0.854035,655,3.154891,0.104494,1630,0.835103,1840,10.065649,26333,40,0.896929,0.896929,1.982972,0.078758,20,6.64837,0.074811,1.010848,11.022901,0.715889,67.08692,0.128546,5.854962,18.619847,3621
adder-10-unsat-shuffled,1,0.377808,761.5,0.854527,0.170238,0.001096,10.284932,1523,0.913469,335,3.134015,0.072991,1630,0.967578,1858,8.232836,40028,4,0.88162,0.88162,0.681644,0.062859,1,4.810549,0.111022,1.008689,7.426866,0.843517,89.417597,0.027706,4.116418,14.853731,3649
adder-12-sat-shuffled,1,1.053268,861,0.790835,0.264487,0.009067,5.643748,1722,0.863319,942,3.16967,0.097549,2364,0.846019,2664,10.174098,40370,48,0.90401,0.90401,1.981866,0.072989,24,6.678679,0.071043,1.035063,11.138004,0.713697,72.16957,0.121774,5.919321,18.806794,5270
adder-12-unsat-shuffled,1,0.377757,1100,0.867327,0.152968,0.000754,11.347597,2200,0.922242,486,3.151899,0.065635,2364,0.970946,2686,8.246914,63811,4,0.892656,0.892656,0.680867,0.056189,1,4.834698,0.101268,1.028161,7.432099,0.844088,97.889545,0.025199,4.123457,14.864198,5304
adder-14-sat-shuffled,1,1.053205,1179.5,0.800826,0.248711,0.007719,6.029359,2359,0.871339,1281,3.179945,0.091632,3234,0.855372,3640,10.250585,58115,56,0.910066,0.910066,1.980979,0.068101,28,6.699725,0.067693,1.056979,11.21936,0.712195,77.079271,0.115822,5.964871,18.938329,7227
adder-14-unsat-shuffled,1,0.377683,1500.5,0.877979,0.138979,0.00055,12.400936,3001,0.929346,665,3.164484,0.059669,3234,0.973656,3666,8.255639,95074,4,0.901742,0.901742,0.680242,0.050842,1,4.851609,0.093148,1.044278,7.434586,0.844524,106.134955,0.023129,4.12782,14.869173,7267
adder-16-unsat-shuffled,1,0.377608,1963,0.887007,0.127387,0.000419,13.448475,3926,0.935232,872,3.173822,0.05472,4240,0.975891,4798,8.261468,134769,4,0.909374,0.909374,0.679736,0.046447,1,4.86411,0.086266,1.057884,7.43578,0.844867,114.238665,0.021385,4.130734,14.87156,9538
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.556811,0.79594,0.726821,2.008692,7424,0.566732,545,1.313716,0.413789,7829,0.83996,7969,10.577982,23622,7024,0.569132,0.569132,0.435637,0.426218,5368,6.560296,0.354077,0.502034,7.724771,0.955042,11.308998,0.089112,3.862385,21.155963,4295
Adder2-4-s-shuffled,1,0.214947,361.666667,0.556623,0.796548,0.72669,2.014947,1085,0.566194,86,1.300598,0.415911,1139,0.84205,1171,9.930233,3435,1021,0.568704,0.568704,0.429893,0.426705,778,6.53117,0.355459,0.505855,7.023256,0.958749,11.192627,0.087918,3.511628,19.860465,626
Adder2-6-c-shuffled,1,0.144914,651.5,0.556468,0.797047,0.726373,2.156916,2606,0.566171,159,1.308137,0.411294,2695,0.893565,2765,14.150943,8155,2421,0.564056,0.564056,0.289829,0.427095,1842,7.6434,0.384304,0.527579,6.075472,0.948054,13.671144,0.059227,3.037736,28.301887,1490
