@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093,0.1256,0.719,0.5855,0.5822,0.3926,0.0254,0.2908,0.1655,21,0.1747,0.5867,17,26,18.264,13,0,0.2019,0.3876,42000,2.7143,0.0658,0.6458,0.2943,10000,41709,6,0.0826,0.8244,0,0.5705,0.4013,0.0006,1,148.32,1.0139,0.237,0.7045,0,0.0012,2070,2165,0.007,2130,0.0003,0.9626,0.2274,32.318,40.813,0.3017,0.0283,5,479.19,42,5.0606,0.3668,0.0003,0.0003,2014.6,2183,2150,47.405
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797,0.1191,1.7696,0.4444,0.4113,0.5682,4.9941,2.0163,1.6206,241,0.1457,0.692,210,1294,321.25,190,0.1194,0.4453,0.6142,583000,2.9961,0.3744,0.7515,1.7597,196000,248000,8,0.1894,0.904,0,0.7335,2.377,0.0001,0.9658,1307.2,1.0704,0.0277,0.8292,0,0,8785,9086,1.3544,8926.5,0.0001,0.468,0.1713,9.019,9.4949,0.1491,0.0006,7,2819.5,1444,7.4146,1.1031,0.0001,0.0001,4504,0,4504,10.592
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019,0.0025,0.8309,0.008,0.6913,0.1651,0,0.112,0,4356,0.004,0.64,4256,4397,4278.3,4237,0,0.0675,0.1454,2343,3.564,0,0.7341,0.0156,110,2343,3,0.0394,0.8575,0.2,0.2539,0.1916,0.0457,0.3171,8.7044,0.8699,0.5591,0.3115,0.0056,0.0002,18,27,0,22,0.0455,0,0.0788,23.693,23.693,0.6975,0.0006,2,9.6703,4397,2.789,0.0138,0.0455,0.0455,21.993,27,22,24.738
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924,0.1174,1.3557,0.5,0.2835,0.8546,0.1323,6.6383,0.9825,0,0.3595,0.7766,0,0,0,0,0.6199,0.7945,0.9963,1810000,4.3618,2.5312,1.7067,1.3191,96177,1790000,5,0.4754,1.0494,0,0.9999,4.6846,0.0003,1,16446,1.2045,0.4145,1,0,0,0,0,0.014,0,0,0.9501,0.4428,0,0,0.584,0,5,58347,0,5,0,0,0,0,0,0,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934,0.1258,0.7172,0.7541,0.5781,0.3951,0.027,0.2896,0.1632,10,0.1772,0.5883,8,12,8.2292,6,0,0.206,0.3897,75600,2.7118,0.0653,0.6504,0.2932,18000,75031,6,0.0862,0.8285,0,0.5731,0.3998,0.0004,1,308.07,1.3289,0.2391,0.7084,0,0.0017,3760,3840,0.0076,3804,0.0002,0.9632,0.2303,29.667,46.182,0.3044,0.0288,5,1371.4,21,5.2043,0.3854,0.0002,0.0002,3309.4,3874,3863,57.6
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018,0.0222,0.7312,0.1319,0.4123,0.6752,0.2524,0.4576,0.8565,4230,0.0451,0.3529,4214,4236,4132,4115,0,0.4881,0.8077,12647,4.6596,0.4074,1.2079,0.1936,526,10373,3,0.2068,0.9689,0.3333,0.9033,0.8917,0.0132,0.954,14.05,0.971,0.3481,0.9387,0.0016,0.0001,111,134,0.2192,123,0.0071,0.6785,0.5681,21.6,21.6,0.5562,0.0016,3,16.839,4236,3,0.0356,0.0097,0.0097,122.94,135,123,22.151
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925,0.1249,0.7103,0.9025,0.577,0.3936,0.0236,0.2911,0.1537,22,0.1773,0.5878,17,26,18.144,14,0,0.2058,0.3832,42000,2.7124,0.0639,0.6544,0.2948,10000,41760,6,0.0864,0.8223,0,0.5701,0.3977,0.0006,1,158.52,0.8819,0.2396,0.7046,0.0001,0.0026,2081,2163,0.0057,2130,0.0003,0.9663,0.2274,30.211,43.478,0.3052,0.0281,5,347.76,36,5.0265,0.3096,0.0003,0.0003,2022.1,2175,2159,47.053
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156,0.022,1.3791,0.1345,0.5482,0.5835,0.9868,0.5454,1.0373,0,0.0292,0.9831,0,0,0,0,0.585,0.2751,0.7644,1410000,2.569,0.4804,0.7992,0.5132,299000,868000,18,0.0713,0.9973,0,0.8447,0.5361,0,0.8182,18164,4.9778,0.2523,0.8866,0,0,53520,53520,0.6234,53520,0,0.8731,0.2625,0,0,0.6779,0,17,128000,0,17.091,0,0,0,0,0,0,0
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377,0.0442,1.2995,0.2875,0.8312,0.263,2.3864,0.7131,1.2175,931,0.074,0.6554,768,1008,781.73,716,0.2219,0.0674,0.2087,74257,2.357,0.3027,1.0459,1.2355,21104,34035,10,0.0373,0.8613,0,0.3782,1.0258,0.0003,0.7143,447.85,0.848,0.0786,0.6048,0,0,1227,1292,1.1818,1264,0.0003,0.6128,0.0735,9.2949,10.311,0.4262,0.0082,6,327.25,1028,8.5016,0.1903,0.0005,0.0005,1224.8,1278,1263,14.214
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511,0.0047,0.416,1,0.2263,0.9277,0.122,6.6361,0.2542,0,0.2505,0.2426,0,0,0,0,0.9679,0.9965,1,5580000,5.2325,2.9707,2.5087,4.0607,89315,5550000,4,0.7873,1.0181,0,1,6.4636,0.0001,1,24308,1.2059,0.2533,1,0,0,0,0,0.0064,0,0,0.9717,0.57,0,0,0.4803,0,4,217000,0,4,0,0,0,0,0,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631,0.3135,1.6811,0.5,0.471,0.6786,10.418,1.8731,1.7495,0,0.4493,1.4194,0,0,0,0,0.6339,0.4197,0.8295,440000,5.473,2.4534,1.039,1.5958,95421,267000,15,0.15,0.9939,0,0.9448,2.5162,0.0006,0.9824,536.3,0.9858,0.4208,0.9759,0,0,2639,2751,0.6446,2725.5,0.0002,0.7264,0.3644,0,0,0.8641,0.0006,10,166.9,0,12.597,0,0.0007,0.0007,2746.7,2776,2756.5,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658,0.1328,1.3213,0.2171,0.4995,0.5567,2.9061,1.065,1.0619,730,0.1335,0.7935,594,1045,664.75,571,0.4161,0.5636,0.6957,148000,2.1911,1.6766,0.8274,0.8326,53752,65966,8,0,0.8829,0,0.7286,1.2377,0.0007,0.9592,908.22,1.2671,0.1102,0.7511,0,0,4432,4553,1.2495,4483,0.0001,0.8711,0.19,10.497,10.497,0.3353,0.0101,7,1358,1045,7.5977,0.2346,0.0002,0.0002,3854,4546,4491,11.558
