@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.364781,324,0.166667,0.2,6.666667,6.666667
1-fullins-3-4.xml.watchless.minion.gz,1,0.364781,263,0.166667,0.2,6.666667,6.666667
1-fullins-4-4.xml.watchless.minion.gz,1,0.236605,263,0.096774,0.11828,12.752688,12.752688
1-fullins-4-5.xml.watchless.minion.gz,1,0.236605,184,0.096774,0.11828,12.752688,12.752688
1-fullins-5-4.xml.watchless.minion.gz,1,0.147531,263,0.053191,0.070922,23.028369,23.028369
1-fullins-5-5.xml.watchless.minion.gz,1,0.147531,184,0.053191,0.070922,23.028369,23.028369
1-fullins-5-6.xml.watchless.minion.gz,1,0.147531,169,0.053191,0.070922,23.028369,23.028369
1-insertions-4-3.xml.watchless.minion.gz,1,0.352067,324,0.074627,0.089552,6.925373,6.925373
1-insertions-4-4.xml.watchless.minion.gz,1,0.352067,263,0.074627,0.089552,6.925373,6.925373
1-insertions-5-4.xml.watchless.minion.gz,1,0.243809,263,0.039604,0.049505,12.148515,12.148515
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809,184,0.039604,0.049505,12.148515,12.148515
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809,169,0.039604,0.049505,12.148515,12.148515
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787,263,0.023064,0.029654,20.879736,20.879736
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787,184,0.023064,0.029654,20.879736,20.879736
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787,169,0.023064,0.029654,20.879736,20.879736
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787,154,0.023064,0.029654,20.879736,20.879736
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856,263,0.096154,0.134615,7.730769,7.730769
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856,184,0.096154,0.134615,7.730769,7.730769
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428,263,0.04717,0.061321,15.292453,15.292453
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428,184,0.04717,0.061321,15.292453,15.292453
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428,169,0.04717,0.061321,15.292453,15.292453
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158,263,0.021127,0.029343,28.640845,28.640845
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158,184,0.021127,0.029343,28.640845,28.640845
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158,169,0.021127,0.029343,28.640845,28.640845
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158,154,0.021127,0.029343,28.640845,28.640845
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347,324,0.081081,0.108108,3.891892,3.891892
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347,263,0.081081,0.108108,3.891892,3.891892
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533,324,0.033557,0.053691,7.261745,7.261745
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533,263,0.033557,0.053691,7.261745,7.261745
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533,184,0.033557,0.053691,7.261745,7.261745
2-insertions-5-3.xml.watchless.minion.gz,1,0.229052,324,0.015075,0.020101,13.18593,13.18593
2-insertions-5-4.xml.watchless.minion.gz,1,0.229052,263,0.015075,0.020101,13.18593,13.18593
2-insertions-5-5.xml.watchless.minion.gz,1,0.229052,184,0.015075,0.020101,13.18593,13.18593
2-insertions-5-6.xml.watchless.minion.gz,1,0.229052,169,0.015075,0.020101,13.18593,13.18593
3-fullins-3-5.xml.watchless.minion.gz,1,0.3083,184,0.075,0.0875,8.65,8.65
3-fullins-3-6.xml.watchless.minion.gz,1,0.3083,169,0.075,0.0875,8.65,8.65
3-fullins-4-5.xml.watchless.minion.gz,1,0.185323,184,0.02716,0.037037,17.402469,17.402469
3-fullins-4-6.xml.watchless.minion.gz,1,0.185323,169,0.02716,0.037037,17.402469,17.402469
3-fullins-4-7.xml.watchless.minion.gz,1,0.185323,154,0.02716,0.037037,17.402469,17.402469
3-fullins-5-5.xml.watchless.minion.gz,1,0.10708,184,0.010345,0.014286,33.252217,33.252217
3-fullins-5-6.xml.watchless.minion.gz,1,0.10708,169,0.010345,0.014286,33.252217,33.252217
3-fullins-5-7.xml.watchless.minion.gz,1,0.10708,154,0.010345,0.014286,33.252217,33.252217
3-fullins-5-8.xml.watchless.minion.gz,1,0.10708,136,0.010345,0.014286,33.252217,33.252217
3-insertions-3-3.xml.watchless.minion.gz,1,0.453656,324,0.053571,0.071429,3.928571,3.928571
3-insertions-3-4.xml.watchless.minion.gz,1,0.453656,263,0.053571,0.071429,3.928571,3.928571
3-insertions-4-3.xml.watchless.minion.gz,1,0.334833,324,0.017794,0.02847,7.44484,7.44484
3-insertions-4-4.xml.watchless.minion.gz,1,0.334833,263,0.017794,0.02847,7.44484,7.44484
3-insertions-4-5.xml.watchless.minion.gz,1,0.334833,184,0.017794,0.02847,7.44484,7.44484
3-insertions-5-3.xml.watchless.minion.gz,1,0.221368,324,0.006401,0.01138,13.790896,13.790896
3-insertions-5-4.xml.watchless.minion.gz,1,0.221368,263,0.006401,0.01138,13.790896,13.790896
3-insertions-5-5.xml.watchless.minion.gz,1,0.221368,184,0.006401,0.01138,13.790896,13.790896
3-insertions-5-6.xml.watchless.minion.gz,1,0.221368,169,0.006401,0.01138,13.790896,13.790896
4-fullins-3-6.xml.watchless.minion.gz,1,0.289676,169,0.061404,0.061404,9.491228,9.491228
4-fullins-3-7.xml.watchless.minion.gz,1,0.289676,154,0.061404,0.061404,9.491228,9.491228
4-fullins-4-6.xml.watchless.minion.gz,1,0.170563,169,0.018841,0.021739,19.275362,19.275362
4-fullins-4-7.xml.watchless.minion.gz,1,0.170563,154,0.018841,0.021739,19.275362,19.275362
4-fullins-4-8.xml.watchless.minion.gz,1,0.170563,136,0.018841,0.021739,19.275362,19.275362
4-fullins-5-5.xml.watchless.minion.gz,1,0.27407,184,0.00603,0.007477,37.291365,37.291365
4-fullins-5-6.xml.watchless.minion.gz,1,0.27407,169,0.00603,0.007477,37.291365,37.291365
4-fullins-5-7.xml.watchless.minion.gz,1,0.27407,154,0.00603,0.007477,37.291365,37.291365
