@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.364781
1-fullins-3-4.xml.watchless.minion.gz,1,0.364781
1-fullins-4-4.xml.watchless.minion.gz,1,0.236605
1-fullins-4-5.xml.watchless.minion.gz,1,0.236605
1-fullins-5-4.xml.watchless.minion.gz,1,0.147531
1-fullins-5-5.xml.watchless.minion.gz,1,0.147531
1-fullins-5-6.xml.watchless.minion.gz,1,0.147531
1-insertions-4-3.xml.watchless.minion.gz,1,0.352067
1-insertions-4-4.xml.watchless.minion.gz,1,0.352067
1-insertions-5-4.xml.watchless.minion.gz,1,0.243809
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533
