@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5
adder-10-unsat-shuffled,1,0.377808,761.5
adder-12-sat-shuffled,1,1.053268,861
adder-12-unsat-shuffled,1,0.377757,1100
adder-14-sat-shuffled,1,1.053205,1179.5
adder-14-unsat-shuffled,1,0.377683,1500.5
adder-16-unsat-shuffled,1,0.377608,1963
Adder2-10-s-shuffled,1,0.217819,2474.666667
Adder2-4-s-shuffled,1,0.214947,361.666667
Adder2-6-c-shuffled,1,0.144914,651.5
Adder2-6-s-shuffled,1,0.216597,856.666667
adder-4-sat-shuffled,1,1.049057,87
adder-6-sat-shuffled,1,1.052423,205.5
adder-8-sat-shuffled,1,1.053136,374
adder-8-unsat-shuffled,1,0.377768,485
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101
