@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.779554,0.282784,0.010986,5.249382,1185,0.854035
adder-10-unsat-shuffled,1,0.377808,761.5,0.854527,0.170238,0.001096,10.284932,1523,0.913469
adder-12-sat-shuffled,1,1.053268,861,0.790835,0.264487,0.009067,5.643748,1722,0.863319
adder-12-unsat-shuffled,1,0.377757,1100,0.867327,0.152968,0.000754,11.347597,2200,0.922242
adder-14-sat-shuffled,1,1.053205,1179.5,0.800826,0.248711,0.007719,6.029359,2359,0.871339
adder-14-unsat-shuffled,1,0.377683,1500.5,0.877979,0.138979,0.00055,12.400936,3001,0.929346
adder-16-unsat-shuffled,1,0.377608,1963,0.887007,0.127387,0.000419,13.448475,3926,0.935232
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.556811,0.79594,0.726821,2.008692,7424,0.566732
Adder2-4-s-shuffled,1,0.214947,361.666667,0.556623,0.796548,0.72669,2.014947,1085,0.566194
Adder2-6-c-shuffled,1,0.144914,651.5,0.556468,0.797047,0.726373,2.156916,2606,0.566171
Adder2-6-s-shuffled,1,0.216597,856.666667,0.55674,0.79617,0.726783,2.011384,2570,0.566513
adder-4-sat-shuffled,1,1.049057,87,0.729904,0.370044,0.030189,3.883019,174,0.809953
adder-6-sat-shuffled,1,1.052423,205.5,0.75084,0.331842,0.019063,4.399523,411,0.829222
adder-8-sat-shuffled,1,1.053136,374,0.766531,0.30458,0.013937,4.839721,748,0.842999
adder-8-unsat-shuffled,1,0.377768,485,0.838756,0.192241,0.001737,9.205818,970,0.902284
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.594819,0.681185,0.530691,1.792839,354,0.642786
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.598672,0.670363,0.506767,1.756391,276,0.642775
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.595453,0.679395,0.52492,1.78579,396,0.642534
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.598456,0.670968,0.50601,1.757212,322,0.642495
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.599193,0.668912,0.504317,1.753957,460,0.642523
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.599539,0.667948,0.498561,1.752158,724,0.642796
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.599473,0.668132,0.501645,1.752467,722,0.642655
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.599505,0.668043,0.500412,1.751236,722,0.6427
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.598505,0.670829,0.503351,1.760238,562,0.642083
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.598265,0.6715,0.509308,1.760238,564,0.641736
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.59894,0.669618,0.504505,1.757958,644,0.642685
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.599278,0.668675,0.505586,1.754595,919,0.642646
