@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,0.6,4.36364,16,1.55346
BF1_cpmp_16_5_48_10_29_12,1,0.6,4.36364,16,1.61091
BF1_cpmp_16_5_48_10_29_14,1,0.6,4.36364,16,1.72008
BF1_cpmp_16_5_48_10_29_15,1,0.6,4.36364,16,1.61091
BF1_cpmp_16_5_48_10_29_17,1,0.6,4.36364,16,1.55346
BF1_cpmp_16_5_48_10_29_18,1,0.6,4.36364,16,1.55346
BF1_cpmp_16_5_48_10_29_19,1,0.6,4.36364,16,1.77214
BF1_cpmp_16_5_48_10_29_20,1,0.6,4.36364,16,1.55346
BF1_cpmp_16_5_48_10_29_3,1,0.6,4.36364,16,1.49379
BF1_cpmp_16_5_48_10_29_4,1,0.6,4.36364,16,1.49379
BF1_cpmp_16_5_48_10_29_5,1,0.6,4.36364,16,1.72008
BF1_cpmp_16_5_48_10_29_6,1,0.6,4.36364,16,1.49379
BF1_cpmp_16_5_48_10_29_7,1,0.6,4.36364,16,1.43164
BF1_cpmp_16_5_48_10_29_8,1,0.6,4.36364,16,1.55346
BF1_cpmp_16_5_48_10_29_9,1,0.6,4.36364,16,1.91988
BF10_cpmp_16_8_77_16_58_13,1,0.601562,4.52941,16,1.37702
BF10_cpmp_16_8_77_16_58_3,1,0.601562,4.52941,16,1.57621
BF10_cpmp_16_8_77_16_58_8,1,0.601562,4.52941,16,1.33362
BF11_cpmp_16_8_77_31_47_10,1,0.601562,2.40625,16,0.896499
BF11_cpmp_16_8_77_31_47_11,1,0.601562,2.40625,16,1.34302
BF11_cpmp_16_8_77_31_47_16,1,0.601562,2.40625,16,0.963696
BF11_cpmp_16_8_77_31_47_6,1,0.601562,2.40625,16,1.19529
BF11_cpmp_16_8_77_31_47_7,1,0.601562,2.40625,16,1.08568
BF12_cpmp_16_8_77_31_58_14,1,0.601562,2.40625,16,1.08568
BF17_cpmp_20_5_60_12_36_1,1,0.6,4.61538,20,1.54613
BF17_cpmp_20_5_60_12_36_10,1,0.6,4.61538,20,1.68881
BF17_cpmp_20_5_60_12_36_11,1,0.6,4.61538,20,1.59511
BF17_cpmp_20_5_60_12_36_12,1,0.6,4.61538,20,1.59511
BF17_cpmp_20_5_60_12_36_15,1,0.6,4.61538,20,1.77757
BF17_cpmp_20_5_60_12_36_16,1,0.6,4.61538,20,1.54613
BF17_cpmp_20_5_60_12_36_17,1,0.6,4.61538,20,1.49556
BF17_cpmp_20_5_60_12_36_2,1,0.6,4.61538,20,1.82033
BF17_cpmp_20_5_60_12_36_20,1,0.6,4.61538,20,1.77757
BF17_cpmp_20_5_60_12_36_3,1,0.6,4.61538,20,1.54613
BF17_cpmp_20_5_60_12_36_4,1,0.6,4.61538,20,1.68881
BF17_cpmp_20_5_60_12_36_5,1,0.6,4.61538,20,1.49556
BF17_cpmp_20_5_60_12_36_6,1,0.6,4.61538,20,1.49556
BF17_cpmp_20_5_60_12_36_7,1,0.6,4.61538,20,1.59511
BF17_cpmp_20_5_60_12_36_8,1,0.6,4.61538,20,2.13175
BF18_cpmp_20_5_60_12_45_1,1,0.6,4.61538,20,1.4432
BF18_cpmp_20_5_60_12_45_12,1,0.6,4.61538,20,1.54613
BF18_cpmp_20_5_60_12_45_13,1,0.6,4.61538,20,1.68881
BF18_cpmp_20_5_60_12_45_14,1,0.6,4.61538,20,1.59511
BF18_cpmp_20_5_60_12_45_15,1,0.6,4.61538,20,1.59511
BF18_cpmp_20_5_60_12_45_16,1,0.6,4.61538,20,1.54613
BF18_cpmp_20_5_60_12_45_17,1,0.6,4.61538,20,1.59511
BF18_cpmp_20_5_60_12_45_18,1,0.6,4.61538,20,1.68881
BF18_cpmp_20_5_60_12_45_19,1,0.6,4.61538,20,1.54613
BF18_cpmp_20_5_60_12_45_2,1,0.6,4.61538,20,1.59511
BF18_cpmp_20_5_60_12_45_3,1,0.6,4.61538,20,1.73376
BF18_cpmp_20_5_60_12_45_4,1,0.6,4.61538,20,1.4432
BF18_cpmp_20_5_60_12_45_5,1,0.6,4.61538,20,2.20274
BF18_cpmp_20_5_60_12_45_6,1,0.6,4.61538,20,1.49556
BF18_cpmp_20_5_60_12_45_7,1,0.6,4.61538,20,1.54613
BF18_cpmp_20_5_60_12_45_8,1,0.6,4.61538,20,1.94297
BF18_cpmp_20_5_60_12_45_9,1,0.6,4.61538,20,1.38888
BF19_cpmp_20_5_60_24_36_1,1,0.6,2.4,20,0.979796
BF19_cpmp_20_5_60_24_36_10,1,0.6,2.4,20,1.13137
BF19_cpmp_20_5_60_24_36_11,1,0.6,2.4,20,0.938083
BF19_cpmp_20_5_60_24_36_14,1,0.6,2.4,20,0.748331
BF19_cpmp_20_5_60_24_36_15,1,0.6,2.4,20,1.0583
