@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.364781,324,0.166667
1-fullins-3-4.xml.watchless.minion.gz,1,0.364781,263,0.166667
1-fullins-4-4.xml.watchless.minion.gz,1,0.236605,263,0.096774
1-fullins-4-5.xml.watchless.minion.gz,1,0.236605,184,0.096774
1-fullins-5-4.xml.watchless.minion.gz,1,0.147531,263,0.053191
1-fullins-5-5.xml.watchless.minion.gz,1,0.147531,184,0.053191
1-fullins-5-6.xml.watchless.minion.gz,1,0.147531,169,0.053191
1-insertions-4-3.xml.watchless.minion.gz,1,0.352067,324,0.074627
1-insertions-4-4.xml.watchless.minion.gz,1,0.352067,263,0.074627
1-insertions-5-4.xml.watchless.minion.gz,1,0.243809,263,0.039604
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809,184,0.039604
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809,169,0.039604
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787,263,0.023064
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787,184,0.023064
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787,169,0.023064
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787,154,0.023064
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856,263,0.096154
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856,184,0.096154
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428,263,0.04717
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428,184,0.04717
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428,169,0.04717
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158,263,0.021127
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158,184,0.021127
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158,169,0.021127
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158,154,0.021127
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347,324,0.081081
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347,263,0.081081
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533,324,0.033557
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533,263,0.033557
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533,184,0.033557
2-insertions-5-3.xml.watchless.minion.gz,1,0.229052,324,0.015075
2-insertions-5-4.xml.watchless.minion.gz,1,0.229052,263,0.015075
2-insertions-5-5.xml.watchless.minion.gz,1,0.229052,184,0.015075
2-insertions-5-6.xml.watchless.minion.gz,1,0.229052,169,0.015075
3-fullins-3-5.xml.watchless.minion.gz,1,0.3083,184,0.075
3-fullins-3-6.xml.watchless.minion.gz,1,0.3083,169,0.075
3-fullins-4-5.xml.watchless.minion.gz,1,0.185323,184,0.02716
3-fullins-4-6.xml.watchless.minion.gz,1,0.185323,169,0.02716
3-fullins-4-7.xml.watchless.minion.gz,1,0.185323,154,0.02716
3-fullins-5-5.xml.watchless.minion.gz,1,0.10708,184,0.010345
3-fullins-5-6.xml.watchless.minion.gz,1,0.10708,169,0.010345
3-fullins-5-7.xml.watchless.minion.gz,1,0.10708,154,0.010345
3-fullins-5-8.xml.watchless.minion.gz,1,0.10708,136,0.010345
3-insertions-3-3.xml.watchless.minion.gz,1,0.453656,324,0.053571
3-insertions-3-4.xml.watchless.minion.gz,1,0.453656,263,0.053571
3-insertions-4-3.xml.watchless.minion.gz,1,0.334833,324,0.017794
3-insertions-4-4.xml.watchless.minion.gz,1,0.334833,263,0.017794
3-insertions-4-5.xml.watchless.minion.gz,1,0.334833,184,0.017794
3-insertions-5-3.xml.watchless.minion.gz,1,0.221368,324,0.006401
3-insertions-5-4.xml.watchless.minion.gz,1,0.221368,263,0.006401
3-insertions-5-5.xml.watchless.minion.gz,1,0.221368,184,0.006401
3-insertions-5-6.xml.watchless.minion.gz,1,0.221368,169,0.006401
4-fullins-3-6.xml.watchless.minion.gz,1,0.289676,169,0.061404
4-fullins-3-7.xml.watchless.minion.gz,1,0.289676,154,0.061404
4-fullins-4-6.xml.watchless.minion.gz,1,0.170563,169,0.018841
4-fullins-4-7.xml.watchless.minion.gz,1,0.170563,154,0.018841
4-fullins-4-8.xml.watchless.minion.gz,1,0.170563,136,0.018841
4-fullins-5-5.xml.watchless.minion.gz,1,0.27407,184,0.00603
4-fullins-5-6.xml.watchless.minion.gz,1,0.27407,169,0.00603
4-fullins-5-7.xml.watchless.minion.gz,1,0.27407,154,0.00603
4-fullins-5-8.xml.watchless.minion.gz,1,0.27407,136,0.00603
4-insertions-3-3.xml.watchless.minion.gz,1,0.450984,324,0.037975
4-insertions-3-4.xml.watchless.minion.gz,1,0.450984,263,0.037975
4-insertions-4-3.xml.watchless.minion.gz,1,0.331519,324,0.010526
4-insertions-4-4.xml.watchless.minion.gz,1,0.331519,263,0.010526
4-insertions-4-5.xml.watchless.minion.gz,1,0.331519,184,0.010526
5-fullins-3-6.xml.watchless.minion.gz,1,0.274114,169,0.051948
5-fullins-3-7.xml.watchless.minion.gz,1,0.274114,154,0.051948
5-fullins-3-8.xml.watchless.minion.gz,1,0.274114,136,0.051948
5-fullins-4-6.xml.watchless.minion.gz,1,0.158896,169,0.013825
