@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,3.1176,0.5964,2.8918
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,2.4849,1.5385,2.7096
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.9857,0.9107,2.9039
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,4.1231,13.386,4.354
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,3.6748,1.3945,3.8663
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.8461,0.5099,2.571
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.8827,2.0163,2.9961
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,3.9796,1.1802,5.004
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,4.0721,6.6383,4.3618
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,2.1233,1.8479,2.1745
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,2.0429,1.3113,2.5669
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.302,1.0802,1.9732
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,3.1522,0.5994,2.9225
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,1.9719,1.9974,2.743
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,2.8825,1.5188,3.3061
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,2.8426,0.5454,2.569
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.9442,0.7131,2.357
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,1.471,2.5291,1.8012
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,2.733
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,2.6926
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,4.0238,9.1027,4.077
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,4.0371,3.3798,5.2307
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,3.0198,2.5235,3.1072
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,3.5936,1.2092,3.62
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,2.733
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,2.5651
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,1.6082,3.0847,1.7815
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,4.0371,3.3798,5.2304
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,1.782,0.291,2.6635
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.0203,0.6056,2.7282
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,1.7705,0.2829,2.6419
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,1.6649,1.9072,1.7591
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,2.898,0.5067,2.5698
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,2.7564,0.8793,4.0874
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,2.821,0.5444,2.5548
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,3.0944,0.4013,2.6926
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,3.2658,3.4805,3.2201
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,4.0219,3.6567,4.8329
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.9718,0.6085,2.3627
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,1.6455,1.2728,2.6941
SAT_RACE2008/post-c32s-ss-8.cnf,1,1.76,1.065,2.1911
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,1.8364,1.515,4.8535
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1041,1.4973,3.0333
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,2.7152,1.548,2.9175
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,2.9052,1.5143,3.0647
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.3614,0.0058,0.7668
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,2.4435,1.552,2.6774
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,2.6677,1.086,4.1294
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,3.3454,0.9423,3.4864
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,1.6787,1.4593,4.9338
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,2.9405,1.3359,3.1408
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,3.0643,0.5586,2.8214
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,2.8303,1.7985,2.9222
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,2.8716,1.9496,2.8718
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,4.0488,7.5865,4.3628
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,2.8848,0.4219,2.5265
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,2.6334,2.0992,3.9039
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,2.6131,1.1579,4.1497
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,1.7617,0.2778,2.6242
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,4.2573,1.8552,5.724
