@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4,12.148515,1,4,0.392949,2,1,4,0,0,808,1227,0,1227,0,2.997733,404,0,0.799295,79.37575,0,2,2454,0,2.997733,1227,0.548023,0,0,0,2454,0,699.618418,202,2454,0.392361,4,2454,202,0,13.158416,2,4908,0,0.8,202,0.1,0,0.548023,4.181638,2.25,0.573638,46,0.1,0.059701,67,0.451873,67,0,4.102625,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184,0.086849,23.028369,4.643856,23.028369,1,5,0.271714,2.321928,1,4.643856,0,0,1410,3247,0,3247,0,5.028743,654.783723,0,0.382381,76.623423,0,2.321928,6494,0,5.028743,3247,0.57323,0,0,0,7539.300524,0,1226.874573,282,6494,0.441158,5,7193.154741,282,0,8.315603,2,15078.601048,0,0.625,282,0.91,0,0.57323,3.164648,3.24,0.617143,23,0.28,0.052632,95,0.386438,95,0,6.111276,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325,0.231214,8.65,4.643856,8.65,1,5,0.688786,2.321928,1,4.643856,0,0,400,346,0,346,0,2.712249,185.754248,0,0.896038,55.102877,0,2.321928,692,0,2.712249,346,0.461017,0,0,0,803.387121,0,238.234257,80,692,0.380075,5,766.50186,80,0,12.6875,2,1606.774242,0,1.25,80,0.01,0,0.461017,2.994468,2.08,0.343241,20,0.04,0.263158,19,0.33891,19,0,3.834419,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687,0.288793,6.925373,4,6.925373,1,4,0.638606,2,1,4,0,0,268,232,0,232,0,2.049091,134,0,0.263777,42.78658,0,2,464,0,2.049091,232,0.38835,0,0,0,464,0,181.77061,67,464,0.290433,4,464,67,0,8.313433,2,928,0,1,67,0,0,0.38835,2.510417,2.08,0.229746,12,0.02,0.181818,22,0.301618,22,0,2.816527,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286,0.509091,3.928571,3.169925,3.928571,1,3,0.790584,1.584963,1,3.169925,0,0,168,110,0,110,0,0.83827,88.7579,-1,0.129234,44.272727,-1,1.584963,220,0,0.83827,110,0.262851,0,0,0,174.345875,0,108.894019,56,220,0.153346,3,183.089358,56,0,13.678571,2,348.69175,0,1,56,0,0,0.262851,3.174512,2.04,0.315084,26,0.02,0.272727,11,0.298106,11,0,1.15678,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4,13.18593,1,4,0.357065,2,1,4,0,0,2388,3936,0,3936,0,2.650763,1194,0,0.611723,213.168058,0,2,7872,0,2.650763,3936,0.644545,0,0,0,7872,0,2142.505766,597,7872,0.378003,4,7872,597,0,17.172529,2,15744,0,0.8,597,0.9,0,0.644545,3.802394,3.37,0.311121,52,0.41,0.026846,149,0.78234,149,0,3.546667,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,4,7.44484,1,4,0.585998,2,1,4,0,0,1124,1046,0,1046,0,1.588719,562,0,0.148968,164.665368,0,2,2092,0,1.588719,1046,0.491696,0,0,0,2092,0,793.13323,281,2092,0.258952,4,2092,281,0,46.128114,2,4184,0,1,281,0.06,0,0.491696,4.728864,2.23,0.296572,67,0.11,0.071429,56,0.654286,56,0,2.227353,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,3.169925,13.18593,1,3,0.267799,1.584963,1,3.169925,0,0,1791,3936,0,3936,0,2.650763,946.222613,-1,0.328641,159.876043,-1,1.584963,7872,0,2.650763,3936,0.644545,0,0,0,6238.412403,0,2142.505766,597,7872,0.378003,3,6551.270113,597,0,17.172529,2,12476.824806,0,0.6,597,0.91,0,0.644545,3.802394,3.38,0.311121,52,0.41,0.020134,149,0.78234,149,0,3.546667,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294,0.394432,6.746218,2.649652,6.378151,1,1.942857,0.380231,0.996886,1,11,0,0.119471,2312,3017,1.109068,3846.78752,0.315997,2.449867,1122,0.659001,1.031375,452.475211,0.031238,1,9051,0,2.489038,3017,1.41051,0,0,0,3007.606061,0,2824.82321,1190,8028,0.421823,2,3830.478467,1190,0,13.619328,2.660921,7994,0.660386,1,1190,1.14,1.104903,1.518549,4.838565,3.98,0.804541,68,0.77,0.010753,186,1.464002,135,0,4.976591,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4.643856,20.879736,1,5,0.31051,2.321928,1,4.643856,0,0,3035,6337,0,6337,0,3.833265,1409.410354,0.000001,0.613743,188.479618,0.000001,2.321928,12674,0,3.833265,6337,0.701374,0,0,0,14714.058337,0,2537.644916,607,12674,0.488583,5,14038.503725,607,0,11.640857,2,29428.116675,0,0.833333,607,3.09,0,0.701374,3.127213,3.86,0.455654,30,0.72,0.024752,202,0.626101,202,0,5.277076,0
