@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,93.0417,0,0.6925,0.0005,?,?,0.0001,0.276,1.6658,0.0004,0,2.1752,0,0.9608,?,0.9938,150,0,150,?,0,150,?,?,?,?,?,?,1.6503,0,0,0
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.8086,0.001,0.5956,0.0072,0.4014,0.0034,0.0019,0.9708,1.9744,0.005,0.0011,0.5948,0.0004,0.5004,0.001,0.5,7,0.0716,10,0.0296,0.9718,8.9931,3.4677,0.5662,0.015,2.8826,0.2707,0.3405,2.0475,0,0.303,0
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,5.9227,0,0.9599,0.0007,?,?,0.0002,0.4539,2.6061,0.0006,0,2.322,0,0.1144,?,0.5,7,0,7,?,0,7,?,?,?,?,?,?,1.7163,0,0,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.7975,0.0001,1.7457,0.0057,?,?,0.0003,0.2552,2.3075,0.0015,0.0001,2.2246,0,0.381,?,0.875,4,0.0978,6,?,0.7721,5.4613,?,?,?,?,?,?,2.2716,0,0.3772,0
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,1.309,0,3.187,0.0074,?,?,0.0001,0.365,2.1823,0.0055,0,3.28,0,0.5949,?,0.9692,8,0.0442,9,?,0.4816,8.8132,?,?,?,?,?,?,2.0293,0,0.805,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.5586,0.0001,1.7017,0.006,?,?,0.0003,0.3103,2.3203,0.0016,0.0001,2.1569,0,0.3813,?,0.875,4,0.0971,6,?,0.764,5.4545,?,?,?,?,?,?,2.2958,0,0.2772,0
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.757,0,1.7597,0.0083,?,?,0.0001,0.1065,2.5155,0.0071,0,2.377,0,0.4435,?,0.9658,7,0.0654,8,?,0.6569,7.3662,?,?,?,?,?,?,2.8827,0,1.1178,0
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,3.8009,0,3.0828,0.0022,?,?,0,0.6036,1.7529,0.0009,0,1.6769,0,0.5216,?,0.8483,5,0.0858,7,?,0.5965,6.7455,?,?,?,?,?,?,2.2843,0,0,0
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,62.0969,0,0.7131,0.0009,?,?,0.0001,0.3936,1.8472,0.0007,0,2.1695,0,0.9602,?,0.9938,89,0.0045,90,?,0.5004,89.8,?,?,?,?,?,?,1.7796,0,0,0
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,5.2044,0,0.9339,0.0005,?,?,0,0.2195,2.8203,0.0003,0,1.1895,0,0.603,?,0.9111,65,0.049,76,?,2.4849,70.5,?,?,?,?,?,?,3.2477,0,1.0145,0
