@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,3.1176,0.5964,2.8918,2.5426,0.1604,0.5959,0.1516,616629,0.2387,0.0301,0,0.0001,0.2114,0.5311,0,0,0.8261,0,0,0,0.9564,0.0134,20786,0.617,0.9325,0.967,0.0001,0,93490,0,0.0001,0.7857
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,2.4849,1.5385,2.7096,0.151,0.1209,0.5504,0.148,14230,0.135,0.0241,0.0073,0.0162,0.0732,1.5995,0.0013,0.0006,0.7037,0,0.0015,0.0015,0.9738,0.0163,60.47,0.8864,0.8207,0.9593,0.01,0.0009,2106,0.0001,0.0114,0.9171
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.9857,0.9107,2.9039,0.25,0.018,0.6498,0.0823,19440,0.0097,0.1391,0.0011,0.0092,0.1504,0.7779,0.0003,0.0004,0.1,0,0.0035,0.0035,0.1875,0.0684,94.0605,0.0021,0.158,1.6459,0.0016,0.0013,1600,0.0001,0.005,0.0363
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,4.1231,13.386,4.354,0.0781,0.2696,1.3035,0.0364,13262068,0.4831,0.2415,0.0083,0.0165,0.5,9.197,0,0,1,0,0,0,1,0.0571,1500390,0.9987,0.9588,0.9339,0.0089,0,483003,0,0.0138,1
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,3.6748,1.3945,3.8663,0.3878,0.1792,1.0757,0.0924,11329,0.2206,0.0896,0.0357,0.0792,0.4564,1.178,0.0007,0.0017,0.75,0,0.0031,0.0031,0.9965,0.0287,50.7781,0.851,0.8665,0.9607,0.0718,0.0019,1047,0,0.0248,0.897
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.8461,0.5099,2.571,1.4463,0.0385,0.5185,0.172,115706,0.0194,0.0447,0.0002,0.0005,0.2106,0.4984,0,0.0001,0.4,0,0.0002,0.0002,0.7622,0.0308,1727.41,0.006,0.5338,0.921,0.0002,0.0001,19903,0,0.0003,0.0665
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.8827,2.0163,2.9961,4.9941,0.1496,1.7597,0.1323,247614,0.1713,0.1457,0.0071,0.0142,0.4444,2.377,0,0,0.9658,0,0.0001,0.0001,1,0.0797,1307.17,0.6142,0.468,1.6206,0.0083,0.0001,32750,0,0.0015,0.7335
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,3.9796,1.1802,5.004,0.1674,0.297,1.8786,0.0308,998052,0.3855,0.4959,0.0012,0.0022,0.5,1.2443,0,0.0001,0.9394,0.0014,0.0001,0.0001,1,0.1745,6414,0.808,0.9743,0.8854,0.0107,0.0001,30713,0,0.0046,0.9971
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,4.0721,6.6383,4.3618,0.1323,0.2523,1.3191,0.0475,1789068,0.4428,0.3595,0.0099,0.0199,0.5,4.6846,0,0,1,0,0,0,1,0.0924,16446,0.9963,0.9501,0.9825,0.0171,0,84942,0,0.0261,0.9999
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,2.1233,1.8479,2.1745,1.7399,0.1801,1.5509,0.196,95209,0.1568,0.1751,0.0016,0.0045,0.2397,1.7304,0.0001,0.0001,0.8925,0,0.0002,0.0002,0.9924,0.0807,1108.87,0.5318,0.8331,1.1555,0.0037,0.0001,18664,0,0.0023,0.5719
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,2.0429,1.3113,2.5669,3.7759,0.1379,0.8564,0.172,318163,0.1168,0.5,0.0004,0.001,0.5,1.4221,0,0,0.7576,0,0.0001,0.0001,1,0.4008,2472.33,0.1373,0.7697,1.1342,0.0013,0,54723,0,0.0045,0.4033
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.302,1.0802,1.9732,1.0597,0.0643,2.1993,0.1943,193019,0.0441,0.0555,0.0031,0.0033,0.3082,1.8532,0,0,0.7391,0,0.0001,0.0001,0.9996,0.0399,3032.83,0.1317,0.6106,1.06,0.0033,0.0001,37512,0,0.0006,0.3408
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,3.1522,0.5994,2.9225,2.5898,0.1578,0.5961,0.1535,447274,0.2388,0.0307,0.0001,0.0001,0.1983,0.5438,0,0,0.8261,0,0,0,0.9846,0.0138,2576,0.6119,0.9281,0.976,0.0001,0,68668,0,0.0002,0.7836
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,1.9719,1.9974,2.743,10.0823,0.2553,1.4871,0.0774,179278,0.147,0.1038,0.0014,0.0039,0.4592,2.0361,0,0.0001,0.9695,0.0003,0.0003,0.0003,1,0.0669,396.048,0.8199,0.4899,1.819,0.0029,0.0001,13881,0,0.0185,0.8322
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,2.8825,1.5188,3.3061,6.4492,0.238,1.0689,0.1111,17622,0.221,0.2276,0.0039,0.0196,0.4725,1.5715,0.0004,0.0005,0.8592,0.0007,0.0024,0.0024,0.9927,0.0862,25.499,0.7019,0.5069,1.8901,0.0155,0.001,1957,0,0.0342,0.8535
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,2.8426,0.5454,2.569,0.9868,0.1638,0.5132,0.1733,868292,0.2625,0.0292,0,0,0.1345,0.5361,0,0,0.8182,0,0,0,0.9626,0.0156,18164,0.7644,0.8731,1.0373,0,0,150440,0,0.0001,0.8447
