@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184,0.086849,23.028369
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325,0.231214,8.65
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687,0.288793,6.925373
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286,0.509091,3.928571
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294,0.394432,6.746218
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945,0.580065,6.377792
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385,0.258706,7.730769
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681,0.103759,19.275362
