@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.005425,0.994604,2.334539,68,13.122966,0.124774,553,8.754888,2.321942,-0.674054,0.022812,403.346335,19.937865,8.604235,2.378528,1.897653
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.011894,0.988246,2.343092,32,33.954254,0.030192,1093,9.475733,2.315552,-0.035299,0.015858,254.232599,21.623595,9.354835,0.860448,1.240943
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.01174,0.988397,2.342583,32,29.922092,0.035219,937,9.475733,2.315401,-0.058405,0.015857,254.232599,21.622883,9.354826,0.924092,1.273294
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.854489,1.17029,2.439628,154,2.04644,0.47678,135,5.857981,2.855072,-1.643858,0.956603,130.301639,6.919871,1.864841,2.445016,1.499262
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.844311,1.184397,2.658683,109,2.221557,0.652695,83,5.129283,3.148936,-2.540555,0.864639,85.809962,7.216897,1.935767,1.896642,1.192751
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.875,1.142857,4.613636,1012,7.403409,5.755682,45,1.035221,5.272727,-56.443755,0.002828,46.584963,5.283019,1.000229,0.148638,0.919396
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.871345,1.147651,4.391813,1012,7.169591,5.923977,45,1.035221,5.040268,-58.137527,0.002875,46.584963,5.050906,1.000236,0.150733,0.91173
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.705761,1.41691,2.369684,36,12.741427,0.026063,1458,8.806302,3.357629,0.839824,0.033152,86.1418,18.362076,5.570396,4.518962,0.759847
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.854489,1.17029,2.439628,154,2.04644,0.47678,135,5.857981,2.855072,-1.643858,0.956603,130.301639,6.919871,1.864841,2.445016,1.499262
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.922849,1.083601,4.27003,505,6.72997,1.557864,207,6.210112,4.62701,-12.818364,0.524348,163.18438,15.1888,3.085834,2.663326,0.954104
