@relation 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute pnr_var_max numeric
@attribute pnr_cls_std numeric
@attribute pnr_var_mean numeric
@attribute numClauses numeric
@attribute algorithm {akmaxsat_ls,akmaxsat,DSWPM1_924,pwbo2.1,qmaxsat0.21comp,qmaxsat0.21g2comp,allfair}

@data

0.03448,5.061,0.02001,5854,allfair
0.03333,5.03304,0.02009,5794,allfair
0.04348,5.05087,0.02023,5833,allfair
0.03448,5.03356,0.02019,5793,allfair
0.03704,5.0461,0.02046,5821,allfair
0.02326,5.7107,0.01547,10924,allfair
0.02439,5.71612,0.01561,10943,allfair
0.03226,5.73374,0.01571,11005,allfair
0.03226,5.66725,0.01602,10762,allfair
0.02778,5.68472,0.01577,10833,allfair
0.02326,6.30813,0.01282,18350,allfair
0.02174,6.31586,0.0127,18392,allfair
0.02,6.30791,0.01282,18349,allfair
0.02041,6.30755,0.0128,18347,allfair
0.02128,6.30348,0.0129,18325,allfair
0.01961,6.85299,0.01097,28548,allfair
0.01852,6.85287,0.01085,28547,allfair
0.02174,6.86357,0.01101,28631,allfair
0.02857,6.85057,0.01113,28529,allfair
0.02222,6.88712,0.01084,28816,allfair
0.01754,7.3778,0.00954,42173,allfair
0.01724,7.37351,0.00948,42127,allfair
0.01724,7.35506,0.00943,41927,allfair
0.01471,7.40646,0.00928,42485,allfair
0.01449,7.40776,0.00928,42499,allfair
1,0.30063,0.5051,1151201,allfair
1,0.3034,0.50961,359683,allfair
1,0.30134,0.50528,1121427,allfair
0.99329,0.11822,0.99306,10878,allfair
0.99329,0.11822,0.99306,10878,allfair
0.99329,0.11822,0.99305,10878,allfair
0.99329,0.11822,0.99306,10878,allfair
0.9931,0.12082,0.99275,10431,allfair
0.9931,0.12082,0.99275,10431,allfair
0.99306,0.12082,0.99275,10431,allfair
0.9932,0.12082,0.99275,10431,allfair
0.9898,0.15482,0.9881,6408,allfair
0.99,0.15482,0.9881,6408,allfair
0.99,0.15482,0.98808,6408,allfair
0.9898,0.15482,0.98809,6408,allfair
0.98913,0.16064,0.98718,5961,allfair
0.9898,0.16064,0.98719,5961,allfair
0.98913,0.16064,0.98719,5961,allfair
0.9899,0.16064,0.98718,5961,allfair
0.98876,0.1672,0.98611,5514,allfair
0.98851,0.1672,0.98614,5514,allfair
0.98876,0.1672,0.98611,5514,allfair
0.98851,0.1672,0.98611,5514,allfair
0.98824,0.17464,0.98484,5067,allfair
0.9878,0.17464,0.98486,5067,allfair
0.98824,0.17464,0.98485,5067,allfair
0.9878,0.17464,0.98482,5067,allfair
0.98667,0.18318,0.98334,4620,allfair
0.9875,0.18318,0.98333,4620,allfair
0.98649,0.18318,0.98334,4620,allfair
0.98734,0.18318,0.98333,4620,allfair
0.98551,0.19311,0.98147,4173,allfair
0.98507,0.19311,0.98149,4173,allfair
0.98611,0.19311,0.98147,4173,allfair
0.98529,0.19311,0.98149,4173,allfair
0.98462,0.2048,0.97918,3726,allfair
0.98462,0.2048,0.97915,3726,allfair
0.98387,0.2048,0.97917,3726,allfair
0.98387,0.2048,0.9792,3726,allfair
0.98246,0.21894,0.9762,3279,allfair
0.98214,0.21894,0.97616,3279,allfair
0.98214,0.21894,0.97619,3279,allfair
0.98214,0.21894,0.97616,3279,allfair
0.98039,0.2365,0.97225,2832,allfair
0.98039,0.2365,0.97223,2832,allfair
0.98113,0.2365,0.97217,2832,allfair
0.98246,0.2365,0.97201,2832,allfair
0.97674,0.25906,0.96675,2385,allfair
0.97778,0.25906,0.96656,2385,allfair
0.97872,0.25906,0.96647,2385,allfair
0.97619,0.25906,0.96652,2385,allfair
0.99291,0.12352,0.99242,9984,allfair
0.99301,0.12352,0.99242,9984,allfair
0.99301,0.12352,0.99243,9984,allfair
0.9931,0.12352,0.99242,9984,allfair
0.97222,0.28965,0.95829,1938,allfair
0.97222,0.28965,0.95838,1938,allfair
0.97143,0.28965,0.95853,1938,allfair
0.97143,0.28965,0.95849,1938,allfair
0.96875,0.33445,0.9446,1491,allfair
0.96552,0.33445,0.94435,1491,allfair
0.96774,0.33445,0.94356,1491,allfair
0.96296,0.33445,0.9451,1491,allfair
0.95455,0.40962,0.91616,1044,allfair
0.95652,0.40962,0.91675,1044,allfair
0.95652,0.40962,0.91601,1044,allfair
0.95238,0.40962,0.91686,1044,allfair
0.91667,0.57929,0.83455,597,allfair
0.92857,0.57929,0.83138,597,allfair
0.92308,0.57929,0.83565,597,allfair
0.92857,0.57929,0.83745,597,allfair
0.99275,0.1264,0.99206,9537,allfair
0.99275,0.1264,0.99206,9537,allfair
0.99291,0.1264,0.99206,9537,allfair
