normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,1227,2,46,0.1,0.1,2.25
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,3247,2.321928,23,0.28,0.91,3.24
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,346,2.321928,20,0.04,0.01,2.08
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,232,2,12,0.02,0,2.08
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,110,1.584963,26,0.02,0,2.04
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,1046,2,67,0.11,0.06,2.23
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,3936,1.584963,52,0.41,0.91,3.38
normalized-37s-smv.xml.mzn_AND_NODATA,1,3846.78752,0.666667,68,0.77,1.14,3.98
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,6337,2.321928,30,0.72,3.09,3.86
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,12201,2,19,1.58,4.2,7.85
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,3524,2.321928,40,0.34,0.8,2.86
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,6337,2.584963,30,0.68,3.08,5.82
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,792,2.584963,29,0.07,0.05,2.15
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,792,2.807355,29,0.07,0.04,2.15
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1227,2.321928,46,0.1,0.1,2.24
normalized-46s-smv.xml.mzn_AND_NODATA,1,4212.421278,0.666667,28,1.08,1.6,4.76
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,201,2,9,0.03,0.01,2.09
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,353.594,1,74,0.05,0.02,2.1
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,453.594,1,25,0.05,0.02,2.1
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,6650,2.584963,35,0.77,2.77,5.6
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,12201,2.584963,19,1.62,4.2,7.89
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,9695,2,134,1.41,4.34,7.82
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,9695,2.321928,134,1.4,4.34,7.81
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,453.009038,1,19,0.05,0.02,0.14
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,516.407538,1,13,0.05,0.02,2.11
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,513.237613,1,12,0.05,0.02,2.11
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1795,1.584963,115,0.19,0.2,2.43
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,416.407538,1,69,0.05,0.01,2.11
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,452.424075,1,20,0.04,0.02,2.09
normalized-25s-smv.xml.mzn_AND_NODATA,1,14274.744639,0.666667,39,7.84,4.47,14.46
normalized-44s-smv.xml.mzn_AND_NODATA,1,1073.868955,0.666667,27,0.19,0.12,2.35
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,637.132363,1,51,0.06,0.02,2.12
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,453.594,1,14,0.04,0.02,2.09
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,452.424075,1,23,0.04,0.02,2.09
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,416.407538,1,66,0.04,0.02,2.1
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,706.603038,1,139,0.1,0.05,2.19
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,706.603038,1,104,0.11,0.05,2.2
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,541,2.584963,36,0.04,0.02,2.1
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,905.018075,1,30,0.09,0.06,2.19
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,9695,1.584963,134,1.42,4.34,7.84
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,3936,2.321928,52,0.42,0.9,3.36
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,6650,2.807355,35,0.79,2.71,5.56
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,515.407538,1,18,0.05,0.02,2.1
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,907.188,1,31,0.08,0.07,2.2
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,906.603038,1,18,0.08,0.06,2.19
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,901.84815,1,31,0.09,0.07,2.21
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1031.815075,1,20,0.1,0.08,2.21
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,904.84815,1,21,0.08,0.06,2.19
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1031.815075,1,21,0.1,0.07,2.2
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,156,1.584963,40,0.01,0,2.04
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,11395,3,100,1.54,4.26,7.87
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,512.65265,1,14,0.05,0.02,2.11
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,353.009038,1,73,0.04,0.02,2.1
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,453.594,1,16,0.04,0.02,2.1
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,12201,2.321928,19,1.61,4.2,7.88
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,219.872188,1,21,0.02,0,2.05
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,638.88725,1,55,0.06,0.03,2.14
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,833.400038,1,123,0.12,0.06,0.22
normalized-43s-smv.xml.mzn_AND_NODATA,1,10391.602876,0.666667,40,3.93,5.82,11.88
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,906.603038,1,32,0.09,0.07,2.19
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,353.594,1,67,0.05,0.02,2.1
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,353.009038,1,72,0.04,0.01,2.08
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,2269.330938,1,8,0.27,0.19,2.53
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,33751,2.807355,37,6.47,4.97,13.58
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,833.400038,1,125,0.11,0.06,2.22
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,208.49625,1,36,0.04,0,2.07
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,832.815075,1,115,0.12,0.06,2.24
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,515.407538,1,15,0.05,0.02,2.11
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,1475.019613,1,12,0.15,0.11,2.31
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,415.822575,1,75,0.06,0.02,2.1
normalized-army8-9ls.xml.mzn_AND_NODATA,1,655.71776,1,18,0.09,0.04,2.16
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,516.9925,1,17,0.05,0.02,2.1
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1031.815075,1,27,0.1,0.08,2.22
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,11395,2.807355,100,1.55,4.26,7.9
normalized-army13-24bt.xml.mzn_AND_NODATA,1,2378.396551,1,15,0.32,0.57,2.93
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,448.25415,1,20,0.04,0.02,2.09
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1276.604575,1,84,0.14,0.08,2.27
normalized-anna-10.xml.mzn_AND_NODATA,1,493,3.321928,4,0.05,0.06,2.16
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1028.64515,1,20,0.09,0.07,2.23
normalized-army12-21bt.xml.mzn_AND_NODATA,1,2057.773444,1,15,0.29,0.41,2.75
normalized-army10-14ls.xml.mzn_AND_NODATA,1,962.216811,1,18,0.13,0.08,2.26
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1320.161649,1,18,0.2,0.17,2.4
