@relation 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute SP_bias_q50 numeric
@attribute SP_bias_q90 numeric
@attribute SP_bias_q75 numeric
@attribute algorithm {RestartSAT_B95,glueminisat_2.2.5,SAT09referencesolverprecosat_236,minisathackcir_minisat_2011-05-13_simp_,minisathackreferenceminisat_2.2.0,minisathackEBMiniSAT_2011-03-02,minisathackcontrasat_2011-03-02,minisathackLR_GL_SHR_2011-03-02,minisathackMiniSAT_2.2.0-agile-26,SAT09referencesolverglucose_1.0,glucose_2,EBGlucose_1.0,Lingeling_587f_fixed_,minisathackminisat_psm_2011-04-01,CryptoMiniSat_Strange-Night2-st_fixed_,rcl_2011-04-01,MPhaseSAT64_2011-05-14_fixed_,QuteRSat_2011-05-12_fixed_,allfair}

@data

0.9835,0.9945,0.9919,minisathackLR_GL_SHR_2011-03-02
0.1759,0.5429,0.3456,MPhaseSAT64_2011-05-14_fixed_
0.1002,0.4945,0.341,glucose_2
0.1569,0.5946,0.5594,allfair
0.3503,0.6399,0.5383,minisathackreferenceminisat_2.2.0
0.157,0.5943,0.5526,allfair
0.6142,0.8292,0.7335,glucose_2
0.2573,0.5304,0.5153,Lingeling_587f_fixed_
0.9831,0.9944,0.9916,QuteRSat_2011-05-12_fixed_
0.5813,0.9106,0.8414,minisathackreferenceminisat_2.2.0
0.7119,0.7996,0.7421,glueminisat_2.2.5
0.5502,0.5848,0.5724,QuteRSat_2011-05-12_fixed_
0.9778,1,0.9987,glucose_2
0.3132,0.548,0.4877,RestartSAT_B95
0.8123,0.9513,0.949,SAT09referencesolverprecosat_236
0.6128,0.9211,0.828,minisathackEBMiniSAT_2011-03-02
0.8343,0.9531,0.8844,minisathackcir_minisat_2011-05-13_simp_
0.3393,0.7174,0.5776,CryptoMiniSat_Strange-Night2-st_fixed_
0.8491,0.9899,0.9554,minisathackLR_GL_SHR_2011-03-02
0.9254,0.9545,0.9448,allfair
0.9971,1,0.9996,allfair
0.9918,1,0.9996,minisathackLR_GL_SHR_2011-03-02
0.0253,0.2234,0.0984,minisathackreferenceminisat_2.2.0
0.8508,0.9071,0.8784,RestartSAT_B95
0.582,0.8834,0.8364,EBGlucose_1.0
0.5507,0.586,0.5722,minisathackreferenceminisat_2.2.0
0.6928,0.6977,0.6928,minisathackEBMiniSAT_2011-03-02
0.6386,0.9685,0.8785,minisathackminisat_psm_2011-04-01
0.0175,0.2222,0.0952,minisathackLR_GL_SHR_2011-03-02
0.7515,0.8792,0.8341,allfair
0.9176,0.9844,0.9833,minisathackcir_minisat_2011-05-13_simp_
0.7406,0.8796,0.837,EBGlucose_1.0
0.1567,0.5997,0.5594,allfair
0.9835,0.9945,0.9918,glucose_2
0.853,0.9252,0.9011,minisathackreferenceminisat_2.2.0
0.1568,0.5983,0.5616,allfair
