@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.0782,0.6646,1.0967,0.6552,0.1022,0.8082,0.9218,0.6491,0.0293,3.5574,15.6807,22.2967,10.9159,0,0.265,0.105,0.71,37.9667,37.8226,38.1864,0.6249,38.1864,23.9398,21294,37.891,21294,0.689,38.1864,37.8226,37.8226,0.0149,2.2552,2.1457,0.0008,0.0124,0.0093,2,0.0093,200,0.1566,0.2395,3,0.9949,1.1178,?,?,?,0.01,0.0081,0.0026,0.0219,79.5266,0.2854,4.9846,0.8411,0.1083,0.357,0.127,0.9811,4.7177,0.2681,0.0094,0,0.997,0,200,0.0071,1,1,0,0.01,0.3469,69,91,1,0.0219,0,79.5,0.002,0.2115,0.0042,4673,4539,4696,4539,4696,0,0,0,0,0.7281,0,0,0,0,4696,79.0656,89,?,?,?,0.0093,69,0.7882,?,?,4636,?,0.4152,0.0978,0.1644,79,?,4539
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.0097,0.0908,0.017,0.6053,0.3918,0.7036,0,0.0445,0.1301,1.6542,5.7333,1.8382,6.7141,0,0.1668,0.1176,0.1227,20.5678,19.2126,21.7036,0.0429,21.4716,1.031,29282,20.9786,29282,0.1459,21.7036,18.2995,18.2995,0.0718,0.0005,2,0.0004,0.0018,0.0029,2,0.0029,85,0.027,0.0569,2,0.9299,0.1728,?,?,?,0.1017,0.0011,0.0821,0.1176,8.9216,0.0632,1.318,0.0919,0.2069,0.2366,0.0163,0.1732,2.3439,0.6461,0.0029,0,0.8793,0.8047,85,0.088,0.2457,0,0,0.0588,0.009,6,11,1,0.1176,1.3505,9,0,0.3851,0.0583,2804,2756,3028,2729,3357,0.4944,0.4947,0.4946,0.4944,0.1593,0.4946,0.4941,0.4952,0.4949,3357,9.0564,11,?,?,?,0.0029,7,0.1729,?,?,2926,?,0,0.2086,0,9,?,2729
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.0915,0.6469,1.0759,0.7026,0.1062,0.7939,0.9085,0.6431,0.0159,2.9895,34.2936,21.2099,23.3456,0,0.1884,0.0514,0.6901,51.5407,49.8067,58.886,0.6343,51.5394,23.5432,41426,50.7683,41426,0.6566,62.3743,48.9554,47.2687,0.1709,2.4238,2.9923,0.0005,0.0065,0.0073,2,0.008,389,0.1594,0.2615,3,0.9948,0.18,?,?,?,0.0052,0.0047,0.002,0.0117,150.613,0.2313,4.8805,0.8131,0.0742,0.3714,0.1254,0.9785,4.461,0.2225,0.0094,0,0.9971,0,389,0.0017,1,1,0,0.0077,0.306,136,165,1,0.0117,0,150,0.0714,0.1851,0.0651,346,321,376,314,500,0,0,0,0,0.7046,0,0,0,0,561,150.289,164,?,?,?,0.0094,136,0.7643,?,?,366.4211,?,0.0453,0.0871,0.0293,151,?,305
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.8219,1.6272,0.7613,0.019,0.8762,0.9439,0.8116,0.0042,2.7898,207.891,35.6272,22.5385,0.0417,0.9589,0.0348,0.832,51.4256,47.1034,67.3557,0.7761,52.022,41.2197,109920,50.387,111739,0.8322,69.625,45.5938,44.0117,0.2533,7.5434,3,0.0007,0.0024,0.0014,3,0.003,1375,0.0408,0.2128,3,0.9992,6.5188,?,?,?,0.0011,0.0014,0.001,0.0025,600.188,0.1807,5.3062,0.3544,0.1312,0.2033,0.0811,0.8837,4.7853,0.1446,0.012,0.0165,1.0107,0.0185,1320,0.0866,0.9956,0.6,0,0.0015,0.2362,584,634,1,0.0025,0.2249,607,0.2091,0.1013,0.1283,258,227,292,208,303,0,0,0,0,0.8422,0,0,0,0,461,600.654,631,?,?,?,0.0048,588,0.8508,?,?,263,?,0,0.1444,0,613.5,?,104
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.675,0.5831,0.4472,0.6708,0.0001,0.8324,0.8333,0.5831,0.0125,0,4.0352,1.1006,7.0228,0,0.2313,0.025,0.5832,36.3925,34.8915,40.9846,0.5831,38.0412,0.5805,480,36.5026,480,0.5832,40.9846,32.4055,32.4055,0.0088,0.0001,4.4774,0.0021,0.0125,0.0208,4,0.0249,200,0,0,5,0.9311,0.2451,0.4,0.0417,0.0139,0.0125,0.0073,0.0293,0.0125,51.967,0.3333,0,0.3333,0.1226,0.3081,0.3333,0.5833,1.3427,0.3483,0.4167,0,0.9024,1.0005,200,0.0294,0.4675,0,0,0.01,0.4506,44,60,1,0.0125,1.1239,52,0.0246,0.2001,0.0733,4536,4486,4558,4481,4591,0.2295,0.2295,0.2295,0.2295,0.5832,0.2295,0.2294,0.2295,0.2295,4591,51.8443,60,0.3492,0.0083,0.8944,0.025,44,0.5832,0.4506,0.3252,4526.1667,0.0952,0.6921,0.1213,0.1116,52,0.4506,4481
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8761,1.8403,0.8729,0.0203,0.9554,0.972,0.8649,0.0063,2.9852,11.9732,31.1851,24.2363,0.039,11.8928,0.0811,0.8878,68.9673,67.0736,78.5192,0.8144,78.5192,31.8335,44572,73.2541,45238,0.8904,78.5192,57.0222,57.0222,0.755,3.8924,2,0.0014,0.0047,0.0144,2,0.0144,666,0.067,0.2101,2,1.0019,0.2167,?,?,?,0.0022,0.003,0.0463,0.0044,297.141,0.3759,4.7883,0.5072,0.0472,0.2524,0.2021,0.9225,4.6093,0.166,0.0144,0.0149,0.9997,0.011,641,0.0002,0.9984,0.8947,0,0.0031,0.1742,280,316,1,0.0044,0.11,298,0,0.142,0.116,3648,951,4636,316,4636,0,0,0,0,0.9017,0,0,0.0012,0,4636,296.256,313,?,?,?,0.0144,279,0.9092,?,?,2387.75,?,0,0.0714,0,297,?,316
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,0.7475,1.186,0.8259,0.0002,0.8672,0.875,0.7474,0.0161,0,14.2288,3.4182,14.8967,0,0.078,0.0667,0.7476,76.9212,72.2519,83.7463,0.7473,83.7463,2.5406,1800,74.7654,1800,0.7476,83.7463,72.2519,72.2519,0.0047,0.0018,3,0.0078,0.0078,0.0889,3,0.0889,225,0,0,3,0.9817,0.0905,0.0645,0.1167,0.0292,0.0161,0.0078,0.0072,0.0161,83.4249,0.0345,0,0.0345,0.0956,0,0.0345,0.7478,0,0.3,0.125,0,0.98,0,225,0.0077,1,1,0,0.0089,0.3768,73,93,1,0.0161,0,83,0,0.1305,0.0641,4893,4876,4931,4876,4931,0.0302,0.0303,0.0302,0.0302,0.7477,0.0302,0.0302,0.0304,0.0303,4931,83.2311,93,0.0576,0.0167,1.1339,0.0889,73,0.7478,0.3768,0.3158,4900,0.0095,0,0.095,0,83,0.3768,4876
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,0.6721,0.8932,0.7824,0.0001,0.8174,0.8182,0.6721,0.0345,0,7.8199,2.5267,8.3109,0,0.0956,0.1,0.6722,34.2879,34.2412,35.387,0.672,35.387,2.0526,550,34.7516,550,0.6722,35.387,32.7716,32.7716,0.0024,0.0012,3,0.0164,0.0164,0.1291,3,0.1291,100,0,0,3,0.9743,0.0746,0.0952,0.1636,0.0595,0.0345,0.0164,0.0166,0.0345,32.8031,0.0526,0,0.0526,0.1518,0,0.0526,0.6724,0,0.3023,0.1818,0,0.9699,0,100,0.0163,1,1,0,0.02,0.4741,26,39,1,0.0345,0,33,0,0.1682,0.0281,4912,4904,4917,4886,4917,0.0528,0.0529,0.0529,0.0528,0.6722,0.0529,0.0528,0.053,0.053,4917,32.6044,39,0.0819,0.0364,0.825,0.1291,26,0.6723,0.4741,0.3449,4904.75,0.022,0,0.1539,0,33,0.4741,4886
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8687,1.8272,0.8406,0.0218,0.9515,0.9668,0.8555,0.0062,2.8638,14.5795,33.2679,50.1405,0.0387,13.6648,0.0805,0.8774,69.9892,66.3086,76.3785,0.7881,76.3785,36.4759,50102,67.2804,50773,0.8792,76.3785,66.3086,66.3086,0.6173,3.7055,2,0.0014,0.0043,0.0129,2,0.0129,671,0.0628,0.1947,2,0.996,0.2747,?,?,?,0.0023,0.003,0.058,0.0046,301.095,0.323,4.6442,0.4657,0.0742,0.2179,0.1,0.9205,4.2032,0.1299,0.0129,0.0134,0.9997,0.0123,646,0.0005,0.9979,0.8667,0,0.0031,0.1845,285,319,1,0.0046,0.1337,303,0,0.1199,0.0648,4446,403,4623,403,4623,0,0,0,0,0.8904,0,0,0.0002,0,4623,297.806,316,?,?,?,0.0129,282,0.8998,?,?,3157.3333,?,0,0.0731,0,298,?,403
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.0831,0.6578,1.105,0.6994,0.1015,0.8173,0.9169,0.6446,0.0296,3.3642,17.5204,22.543,10.558,0,0.2858,0.104,0.7059,45.7407,40.5477,49.049,0.6291,49.049,24.7775,22023,47.6253,22023,0.6842,49.049,40.5477,40.5477,0.0179,2.3397,2.1144,0.0009,0.0125,0.009,2,0.0091,202,0.1559,0.2483,3,0.9951,3.9613,?,?,?,0.01,0.0086,0.0025,0.0222,79.8959,0.2552,4.9607,0.8273,0.1008,0.3595,0.1283,0.9816,4.6672,0.2461,0.0092,0,0.996,0,202,0.0329,1,1,0,0.0099,0.3096,71,89,1,0.0222,0,80,0.0022,0.2134,0.0813,4574,4572,4749,4572,4749,0,0,0,0,0.7239,0,0,0,0,4749,79.1866,89,?,?,?,0.0091,69,0.7737,?,?,4631.6667,?,0.3557,0.0985,0.1506,79,?,4572
