@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE gc_regular NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE gc_disjoint NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE dy_sols NUMERIC
@ATTRIBUTE d_ratio_float_vars NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE c_bounds_r NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE c_priority NUMERIC
@ATTRIBUTE d_float_cons NUMERIC
@ATTRIBUTE d_float_vars NUMERIC
@ATTRIBUTE c_bounds_d NUMERIC
@ATTRIBUTE d_ratio_float_cons NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE gc_sort NUMERIC
@ATTRIBUTE gc_precede NUMERIC
@ATTRIBUTE gc_set_weights NUMERIC
@ATTRIBUTE gc_schedule NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE s_goal NUMERIC
@ATTRIBUTE o_de NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.164629,6.074257,12.148515,12.148515,1,1227,202,4,0.392949,808,4,4,2.997733,404,0,1227,2,0,1227,2454,699.618418,2454,0,2454,2454,0,2.997733,1,79.37575,0.799295,4908,0,0.548023,202,0.1,0,0,0,0,0,0.548023,0.392361,0,0,13.158416,202,4.181638,2,67,46,2.25,2,0,4,0.8,0.1,67,0.573638,0.059701,0,5,0.556014,29.594132,0.451873,4.102625,0.183571,88,1096,0,8754.27,0,0.982449,0,10741485,2,5,0.499772,129519,0,64730,15,76,4,2,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0.086849,11.514184,23.028369,23.028369,1,3247,282,4.643856,0.271714,1410,5,4.643856,5.028743,654.783723,0,3247,2.321928,0,3247,6494,1226.874573,7193.154741,0,7539.300524,6494,0,5.028743,1,76.623423,0.382381,15078.601048,0,0.57323,282,0.91,0,0,0,0,0,0.57323,0.441158,0,0,8.315603,282,3.164648,2,95,23,3.24,2.321928,0,5,0.625,0.28,95,0.617143,0.052632,0,8,0.568919,59.190638,0.386438,6.111276,0.158057,188,2182,0,2709.49,0,0.830799,0,8797719,2,8,0.499753,44448,0,22213,22,52,4.643856,2.321928,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.231214,4.325,8.65,8.65,1,346,80,4.643856,0.688786,400,5,4.643856,2.712249,185.754248,0,346,2.321928,0,346,692,238.234257,766.50186,0,803.387121,692,0,2.712249,1,55.102877,0.896038,1606.774242,0,0.461017,80,0.01,0,0,0,0,0,0.461017,0.380075,0,0,12.6875,80,2.994468,2,19,20,2.08,2.321928,0,5,1.25,0.04,19,0.343241,0.263158,0,4,0.520879,18.976879,0.33891,3.834419,0.133677,36,551,0,15073.3,0,0.993023,0,5215372,2,4,0.499955,375702,0,187834,6,57,4.643856,2.321928,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.288793,3.462687,6.925373,6.925373,1,232,67,4,0.638606,268,4,4,2.049091,134,0,232,2,0,232,464,181.77061,464,0,464,464,0,2.049091,1,42.78658,0.263777,928,0,0.38835,67,0,0,0,0,0,0,0.38835,0.290433,0,0,8.313433,67,2.510417,2,22,12,2.08,2,0,4,1,0.02,22,0.229746,0.181818,0,4,0.514206,13.939655,0.301618,2.816527,0.166151,28,263,0,44656.5,0,0.849751,0,10360314,2,4,0.499977,666593,0,333281,9,51,4,2,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.509091,1.964286,3.928571,3.928571,1,110,56,3.169925,0.790584,168,3,3.169925,0.83827,88.7579,0,110,1.584963,0,110,220,108.894019,183.089358,0,174.345875,220,0,0.83827,1,44.272727,0.129234,348.69175,0,0.262851,56,0,0,-1,0,0,0,0.262851,0.153346,-1,0,13.678571,56,3.174512,2,11,26,2.04,1.584963,0,3,1,0.02,11,0.315084,0.272727,0,3,0.429697,6.4,0.298106,1.15678,0.207336,12,109,0,82070.3,0,0.468996,0,9027736,2,3,0.499992,871368,0,435677,5,34,3.169925,1.584963,0,3,9,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593,1,3936,597,4,0.357065,2388,4,4,2.650763,1194,0,3936,2,0,3936,7872,2142.505766,7872,0,7872,7872,0,2.650763,1,213.168058,0.611723,15744,0,0.644545,597,0.9,0,0,0,0,0,0.644545,0.378003,0,0,17.172529,597,3.802394,2,149,52,3.37,2,0,4,0.8,0.41,149,0.311121,0.026846,0,5,0.552028,35.327744,0.78234,3.546667,0.207279,185,5837,0,769.115,0,0.998867,0,3027238,2,5,0.498978,54810,0,27349,15,132,4,2,0,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.268642,3.72242,7.44484,7.44484,1,1046,281,4,0.585998,1124,4,4,1.588719,562,0,1046,2,0,1046,2092,793.13323,2092,0,2092,2092,0,1.588719,1,164.665368,0.148968,4184,0,0.491696,281,0.06,0,0,0,0,0,0.491696,0.258952,0,0,46.128114,281,4.728864,2,56,67,2.23,2,0,4,1,0.11,56,0.296572,0.071429,0,4,0.510277,16.489484,0.654286,2.227353,0.210349,66,2128,0,3013.75,0,0.655908,0,3152380,2,4,0.49975,319634,0,159737,9,180,4,2,0,4,10,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593,1,3936,597,3.169925,0.267799,1791,3,3.169925,2.650763,946.222613,0,3936,1.584963,0,3936,7872,2142.505766,6551.270113,0,6238.412403,7872,0,2.650763,1,159.876043,0.328641,12476.824806,0,0.644545,597,0.91,0,-1,0,0,0,0.644545,0.378003,-1,0,17.172529,597,3.802394,2,149,52,3.38,1.584963,0,3,0.6,0.41,149,0.311121,0.020134,0,5,0.552028,35.327744,0.78234,3.546667,0.207279,185,2180,0,2374.12,0,0.998867,0,9344546,2,5,0.499932,29288,0,14642,15,20,3.169925,1.584963,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,0.394432,2.535294,6.746218,6.378151,1,3017,1190,2.649652,0.380231,2312,1.942857,11,2.449867,1122,1.109068,3017,0.996886,0.315997,3846.78752,9051,2824.82321,3830.478467,0.119471,3007.606061,8028,0,2.489038,1,452.475211,1.031375,7994,0,1.41051,1190,1.14,0,0.659001,0,0,0,1.518549,0.421823,0.031238,0,13.619328,1190,4.838565,2.660921,135,68,3.98,1,0.660386,2,1,0.77,186,0.804541,0.010753,1.104903,0,0.663227,31.807756,1.464002,4.976591,0.210709,213,1861,0,2551.19,0,0.414485,0,7696951,11,0,0.49984,68662,0,34320,4,33,2,0.666667,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736,1,6337,607,4.643856,0.31051,3035,5,4.643856,3.833265,1409.410354,0,6337,2.321928,0,6337,12674,2537.644916,14038.503725,0,14714.058337,12674,0,3.833265,1,188.479618,0.613743,29428.116675,0,0.701374,607,3.09,0,0.000001,0,0,0,0.701374,0.488583,0.000001,0,11.640857,607,3.127213,2,202,30,3.86,2.321928,0,5,0.833333,0.72,202,0.455654,0.024752,0,6,0.582444,60.302036,0.626101,5.277076,0.195967,268,-1,0,-1,0,0.819367,0,-1,2,6,-1,-1,0,-1,23,-1,4.643856,2.321928,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0
