@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554,592.5,0.282784,3621,5.249382,1840,18.619847,0.074811,1185,1.010848,3641,1.053282,0.128546,1.982972,26333
adder-10-unsat-shuffled,1,0.999726,0.854527,761.5,0.170238,3649,10.284932,1858,14.853731,0.111022,1523,1.008689,3650,0.377808,0.027706,0.681644,40028
adder-12-sat-shuffled,1,0.995467,0.790835,861,0.264487,5270,5.643748,2664,18.806794,0.071043,1722,1.035063,5294,1.053268,0.121774,1.981866,40370
adder-12-unsat-shuffled,1,0.999811,0.867327,1100,0.152968,5304,11.347597,2686,14.864198,0.101268,2200,1.028161,5305,0.377757,0.025199,0.680867,63811
adder-14-sat-shuffled,1,0.996141,0.800826,1179.5,0.248711,7227,6.029359,3640,18.938329,0.067693,2359,1.056979,7255,1.053205,0.115822,1.980979,58115
adder-14-unsat-shuffled,1,0.999862,0.877979,1500.5,0.138979,7267,12.400936,3666,14.869173,0.093148,3001,1.044278,7268,0.377683,0.023129,0.680242,95074
adder-16-unsat-shuffled,1,0.999895,0.887007,1963,0.127387,9538,13.448475,4798,14.87156,0.086266,3926,1.057884,9539,0.377608,0.021385,0.679736,134769
Adder2-10-s-shuffled,1,0.444433,0.556811,2474.666667,0.79594,4295,2.008692,7969,21.155963,0.354077,7424,0.502034,9664,0.217819,0.089112,0.435637,23622
Adder2-4-s-shuffled,1,0.445552,0.556623,361.666667,0.796548,626,2.014947,1171,19.860465,0.355459,1085,0.505855,1405,0.214947,0.087918,0.429893,3435
Adder2-6-c-shuffled,1,0.447045,0.556468,651.5,0.797047,1490,2.156916,2765,28.301887,0.384304,2606,0.527579,3333,0.144914,0.059227,0.289829,8155
Adder2-6-s-shuffled,1,0.444877,0.55674,856.666667,0.79617,1485,2.011384,2765,20.584615,0.354657,2570,0.503657,3338,0.216597,0.088603,0.433194,8160
adder-4-sat-shuffled,1,0.984906,0.729904,87,0.370044,522,3.883019,280,16.792453,0.091318,174,0.917914,530,1.049057,0.159486,1.984906,3110
adder-6-sat-shuffled,1,0.990469,0.75084,205.5,0.331842,1247,4.399523,648,17.839662,0.084339,411,0.95336,1259,1.052423,0.146162,1.985703,8039
adder-8-sat-shuffled,1,0.993031,0.766531,374,0.30458,2280,4.839721,1168,18.333333,0.079142,748,0.983859,2296,1.053136,0.136456,1.984321,15668
adder-8-unsat-shuffled,1,0.999566,0.838756,485,0.192241,2302,9.205818,1182,14.830189,0.12304,970,0.984509,2303,0.377768,0.030826,0.682588,22773
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819,177,0.681185,161,1.792839,454,10.56,0.280829,354,0.57147,782,0.306905,0.149223,0.675192,1930
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672,138,0.670363,161,1.756391,376,9.78,0.256488,276,0.610865,665,0.360902,0.150272,0.735338,1657
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453,198,0.679395,199,1.78579,496,12.94,0.276276,396,0.558827,943,0.317073,0.149292,0.686108,2331
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456,161,0.670968,199,1.757212,422,12.2,0.257239,322,0.587601,832,0.359375,0.150097,0.733173,2072
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193,230,0.668912,340,1.753957,560,20.6,0.25346,460,0.547264,1390,0.367626,0.149654,0.741007,3468
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539,362,0.667948,597,1.752158,824,36.2,0.252593,724,0.511433,2433,0.369092,0.150173,0.743938,6073
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473,361,0.668132,599,1.752467,822,36.2,0.252306,722,0.511877,2432,0.370066,0.149868,0.744243,6072
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505,361,0.668043,595,1.751236,822,36.16,0.25231,722,0.511575,2428,0.369852,0.150165,0.744646,6060
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505,281,0.670829,320,1.760238,762,9.81,0.256801,562,0.610041,1343,0.360387,0.14858,0.730454,3345
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265,282,0.6715,317,1.760238,764,9.79,0.257254,564,0.609433,1343,0.359643,0.14837,0.728965,3343
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894,322,0.669618,399,1.757958,844,12.22,0.256206,644,0.588788,1665,0.360961,0.149675,0.733934,4149
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278,459.5,0.668675,678,1.754595,1119,20.56,0.253574,919,0.547361,2775,0.367207,0.149747,0.740901,6925
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452,461,0.668191,676,1.753508,1122,20.6,0.253281,922,0.547114,2779,0.367398,0.149863,0.741274,6933
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909,114,0.692308,81,1.824786,278,11.6,0.301573,228,0.542502,468,0.262821,0.145979,0.619658,1144
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311,69,0.671371,81,1.753754,188,9.8,0.253317,138,0.614605,333,0.369369,0.147165,0.735736,829
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071,114,0.692878,80,1.82227,278,11.6,0.308501,228,0.533243,467,0.246253,0.153374,0.620985,1141
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878,91,0.683849,80,1.791457,232,10.68,0.288776,182,0.559318,398,0.288945,0.155102,0.670854,980
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051,114,0.693452,79,1.824034,278,11.52,0.307557,228,0.53572,466,0.248927,0.151142,0.618026,1138
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142,88,0.683099,79,1.78866,226,10.48,0.277197,176,0.576229,388,0.31701,0.145397,0.675258,956
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813,69,0.672764,79,1.752266,188,9.72,0.252734,138,0.615775,331,0.371601,0.145808,0.734139,823
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226,80,0.668821,100,1.751807,210,12.24,0.254598,160,0.589545,415,0.363855,0.150048,0.737349,1033
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915,101,0.680912,100,1.786611,252,13.04,0.277119,202,0.557157,478,0.3159,0.148305,0.682008,1180
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456,80,0.670968,101,1.754808,210,12.24,0.255792,160,0.589105,416,0.362981,0.149614,0.735577,1036
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919,114,0.668919,171,1.751804,278,20.6,0.253904,228,0.546533,693,0.366522,0.150954,0.743146,1729
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078,115,0.669231,171,1.752874,280,20.64,0.255184,230,0.544881,696,0.363506,0.151498,0.741379,1736
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897,193.5,0.669533,295,1.757212,437,36.56,0.256839,387,0.506995,1248,0.358974,0.149984,0.732372,3107
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735,179,0.667402,299,1.749794,408,36.16,0.251406,358,0.51234,1211,0.371594,0.150182,0.746491,3023
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392,589,0.750112,2231,2.151479,3041,51.333333,0.389679,2945,0.54982,6694,0.090828,0.038929,0.181655,15618
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315,0.571415,1185.666667,0.750041,6114,2.08292,7349,98.042553,0.374939,7114,0.534873,18343,0.12517,0.053646,0.250341,42799
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421,0.588151,7543,0.700244,3443,2.217683,7543,0,0.411849,7543,0.588151,11310,0,0,0,25082
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816,155.347826,0.74272,11213,2.213716,14383,2969.494505,0.40494,14292,0.556089,34326,0.049117,0.021245,0.098235,79360
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547,41.97561,0.731461,841,2.229412,1761,110,0.414341,1721,0.58267,2720,0.018382,0.008112,0.036765,6164
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431,67.024691,0.74122,3689,2.200349,5509,942,0.4037,5429,0.560459,11460,0.050611,0.02199,0.101222,26376
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065,40.86,0.748054,2689,2.215977,4185,622.787879,0.40759,4086,0.565086,8362,0.046998,0.020346,0.093997,19316
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631,201.317241,0.746325,25121,2.221992,29335,6843.333333,0.405902,29191,0.553883,76246,0.049839,0.021467,0.099677,177018
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007,89.69863,0.74823,10681,2.223643,13241,2666.537931,0.406788,13096,0.556901,32534,0.049241,0.021205,0.098482,75548
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744,152.424893,0.749035,31663,2.218494,35747,9240.137931,0.40489,35515,0.55196,95774,0.054378,0.023366,0.108756,222890
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518,41.807339,0.749726,3121,2.224891,4665,688.888889,0.409026,4557,0.565146,9658,0.04504,0.019456,0.090081,22358
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866,55.242424,0.733505,927,2.244414,1855,88,0.415998,1823,0.57973,2954,0.016249,0.007136,0.032498,6726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948,133.680412,0.745358,10319,2.227045,13063,2440,0.407529,12967,0.557523,31474,0.045244,0.019522,0.090487,72942
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119,0.572319,34.254237,0.747278,1059,2.239403,2079,196.137931,0.414697,2021,0.575387,3350,0.029851,0.012984,0.059701,7702
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987,0.571663,90.753425,0.749283,10875,2.225375,13395,2742.537931,0.40697,13250,0.556317,33056,0.049673,0.021367,0.099347,76846
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171,0.571709,127.452632,0.749142,20983,2.214753,24405,6222.645503,0.404249,24216,0.55194,63552,0.055938,0.024043,0.111877,147862
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612,0.568471,25.137931,0.759106,1165,2.242094,2273,269.255814,0.415294,2187,0.573951,3668,0.037623,0.016235,0.075245,8500
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648,0.571117,142.669565,0.750953,45193,2.217513,49565,13781.255814,0.404409,49221,0.550464,136268,0.057064,0.024474,0.114128,317728
