@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0782,0,0.0124,0.3469,22.2967,15.6807
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.0097,0.8047,0,0.009,1.8382,5.7333
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0.0915,0,0,0.306,21.2099,34.2936
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.0185,0.9439,0.2362,35.6272,207.891
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.675,1.0005,0.8333,0.4506,1.1006,4.0352
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.011,0.972,0.1742,31.1851,11.9732
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0,0.875,0.3768,3.4182,14.2288
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0,0.8182,0.4741,2.5267,7.8199
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.0123,0.9668,0.1845,33.2679,14.5795
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.0831,0,0.003,0.3096,22.543,17.5204
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.3424,0.7888,0.0047,1.1714,1.2997,4.458
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0.4888,0.5767,0,0,0.6854,1.1161
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0.0105,0.8027,0,0.0085,1.1552,9.7488
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.7538,0,0.0152,0.6323,11.6955,20.6012
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.7188,1.0013,0.9443,0.3209,2.4735,196.581
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0.231,0.7276,0,0.6882,1.8582,2.9395
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.0142,0.9523,0.2043,44.9564,184.575
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.005,0.9829,0.1235,97.7881,5744.47
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.2613,0.9871,0.0073,0.163,0.2524,822
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.7532,0,0.013,0.6243,11.9471,45.6368
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.7551,0,0.0203,0.65,7.0723,1.5435
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.7464,1.0111,0.9787,0.1227,38.6444,11.9654
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.7281,1.0016,0.9511,0.267,20.538,141.434
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0.1265,0,0,0.3797,11.2954,14.2115
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.0101,0.9714,0.2079,53.1227,346.25
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0,0.8333,0.4506,2.6539,10.5361
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.0049,0.9819,0.1198,88.9836,25.5625
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0831,0,0.0031,0.3096,23.0011,15.7566
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0782,0,0.0124,0.3469,22.3937,15.4287
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.027,0.9299,0.2767,23.9299,24.5809
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0.0107,0.8114,0,0.0081,1.6871,6.1613
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0873,0,0.0032,0.3202,21.9479,20.8631
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0.2504,0.8453,0,0.9205,1.572,27.7525
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0,0.8824,0.3622,3.5387,16.5052
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0769,0,0.0024,0.2903,27.3461,27.2359
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.6484,0.8849,0.8333,0.4506,1.1568,3.377
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.2945,0.9523,0.0371,0.4854,0.33,8.4172
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.5668,0.6874,0.2481,1.5412,1.4237,23.3935
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.5096,0.5877,0.0175,0.0975,11.0015,1.261
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.0157,0.9494,0.2129,40.4446,525.9
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.073,0,0.0099,0.321,27.3145,22.1837
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0.1062,0,0,0.3384,15.8477,22.3273
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.7577,0,0.0306,0.682,6.8911,0.0069
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.14,0.8845,0.0794,2.1248,0.7141,51.2065
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0.0915,0,0,0.3059,21.2435,33.6683
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.0126,0.9546,0.1933,51.0022,2695.93
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.3109,0.8866,0.0018,0.0472,0.5364,7.9255
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0,0.8831,0.3607,2.2866,0.8798
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0.8448,0.4686,0,0.4835,3.1008,61.9426
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0,0.8372,0.4443,1.9216,1.0747
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.0127,0.9682,0.2214,37.763,99.2536
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.7118,1.0161,0.9756,0.1369,39.5103,11.5737
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.0159,0.9669,0.237,30.9983,14.0778
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0.8432,0.4676,0,0.4846,3.4495,51.8103
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0,0.7619,0.5489,1.5092,1.0035
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5443,0.9202,0.5255,1.6365,2.6775,15.6248
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.0131,0.9536,0.197,50.2069,318.667
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0,0.9822,0.0895,13.5107,0.0195
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0.1451,0,0,0.4141,8.702,9.3027
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0.119,0,0,0.3649,12.7827,17.521
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.3456,0.7882,0.0101,1.1397,1.2794,4.1596
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.1458,0.8781,0.0801,2.1398,0.7022,51.67
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0.5034,0.5767,0,0,0.746,1.1037
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.7058,1.0222,0.9694,0.1486,36.7272,8.8963
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0,0.9261,0.2636,3.109,1.4099
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.7131,1.0131,0.9718,0.1452,41.3467,7.5683
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0.3636,0.8418,0,0.4741,1.3984,1.0228
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0.2545,0.6736,0,0.5983,1.6543,1
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.1264,0.8703,0.07,2.1369,0.6316,53.4433
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0,0.8571,0.4101,3.0163,13.3747
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0.1004,0.3454,0,0.9982,6.9805,87.2564
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.01,0.9713,0.1744,43.9567,16.9612
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.08,0,0.0027,0.2994,25.4655,20.4194
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.0066,0.979,0.142,70.3192,616.4
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.7195,1.0163,0.9697,0.1562,36.4543,6.7374
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.2961,0.9479,0.0323,0.495,0.3286,8.6223
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.3081,0.8892,0.0017,0.0696,0.6928,31.42
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.4563,0.6136,0.0049,0.4319,0.7915,19.4106
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.0048,0.9871,0.1118,26.3538,23.9741
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.5419,0.7424,0.2396,0.9063,0.6973,108.052
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0.1007,0,0,0.3267,17.2726,29.7086
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.0236,0.9349,0.2616,26.832,56.4521
