@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345,0.7382,0.2114,0.9325,0.1516,1.2873,0.967,0.5964,0.3441,0.1604,2.8918,0.5464,0.0134,0.0301,0.0118,15.1905,16,15,0.2387,0.617,0.0001,0.3695,0.5959,0.5018,1.548,0.618,0.0236,0,0.9322,0.8261,0.8496,0.5311,0.9564,0.7857,0.1798,331202,3.1176,0.0001,1571183,0.0001,3.2619,15635,0,3.2619,0,3.2619,0.0359,0,2.6137,0,0,0,616629,0,0,0.0001,0.25,0,15635,0,3.2619,0,3.2619
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207,0.148,1.3838,0.9593,1.5385,0.4568,0.1209,2.7096,0.7723,0.0163,0.0241,0.0144,5.8542,6,5,0.135,0.8864,0.0114,1.0215,0.5504,0.7935,0.0409,0.315,0.021,0.0036,0.5785,0.7037,0.9382,1.5995,0.9738,0.9171,0.8083,2424,2.4849,0.0162,14812,0.0124,33.9899,912,0.0073,29.9283,939,29.1735,0.6151,912,2.2387,0.0015,0.0015,0.0009,14230,909.824,0.0022,0.01,0.5231,1.6277,910.163,944,37.7169,884,37.2931
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312,0.1326,0.1504,0.158,0.0823,2.1902,1.6459,0.9107,0.3526,0.018,2.9039,0.0263,0.0684,0.1391,0.0372,7.2846,8,6,0.0097,0.0021,0.005,0.2662,0.6498,0.0233,0.0568,1.6378,0.1293,0.0026,0.8108,0.1,0.0909,0.7779,0.1875,0.0363,0,2000,0.9857,0.0092,20544,0.0151,16.5813,220,0.0011,15.9075,232,12.0163,0,219,2.4556,0.0035,0.0035,0.0013,19440,218.334,0.0006,0.0016,0.2734,0.162,219.736,231,18.6975,207,18.9544
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963,0.9568,0.5,0.9588,0.0364,1.285,0.9339,13.386,0.5825,0.2696,4.354,0.6348,0.0571,0.2415,0.0012,0,0,0,0.4831,0.9987,0.0138,3.7972,1.3035,0.9129,0.0065,0.2159,0.0231,0,2.2464,1,1,9.197,1,1,0.9749,520721,4.1231,0.0165,13348117,0,0,0,0.0083,0,0,0,0.5,0,4.23,0,0,0,13262068,0,0.0001,0.0089,0.3152,0,0,0,0,0,0
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682,0.8538,0.4564,0.8665,0.0924,1.4683,0.9607,1.3945,0.5953,0.1792,3.8663,0.8161,0.0287,0.0896,0.0046,4.0325,5,3,0.2206,0.851,0.0248,1.1314,1.0757,0.7493,0.1061,0.3009,0.0226,0.0004,2.1092,0.75,0.9203,1.178,0.9965,0.897,0.6619,1453,3.6748,0.0792,12531,0.0015,27.2045,419,0.0357,27.2045,436,27.2045,0.4013,419,3.4516,0.0031,0.0031,0.0019,11329,417.965,0.0042,0.0718,0.4057,3.68,417.812,437,27.2045,398,27.2045
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375,0.5302,0.2106,0.5338,0.172,1.0399,0.921,0.5099,0.4086,0.0385,2.571,0.0827,0.0308,0.0447,0.0265,13.1873,14,13,0.0194,0.006,0.0003,0.1873,0.5185,0.0777,0.7636,1.8557,0.041,0.0008,0.7222,0.4,0.3661,0.4984,0.7622,0.0665,0.0002,48689,0.8461,0.0005,204055,0.0225,7.1392,3830,0.0002,6.1429,3868,5.5325,0,3769,2.3046,0.0002,0.0002,0.0001,115706,3806.67,0.0001,0.0002,0.0347,0.0814,3824.82,3769,7.8971,3759,8.1339
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692,0.4435,0.4444,0.468,0.1323,1.7696,1.6206,2.0163,0.3756,0.1496,2.9961,0.1194,0.0797,0.1457,0.0778,7.4146,8,7,0.1713,0.6142,0.0015,0.3744,1.7597,0.5682,1.3544,0.4113,0.1191,0.0006,0.7515,0.9658,0.8292,2.377,1,0.7335,0.4453,196306,2.8827,0.0142,582994,0.0282,10.5924,8926.5,0.0071,9.4949,9086,9.019,0.1894,4504,2.5155,0.0001,0.0001,0.0001,247614,4504,0.0001,0.0083,0.0277,1.04,8947.83,0,11.6884,0,13.6047
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743,0.0308,1.0885,0.8854,1.1802,0.5889,0.297,5.004,0.4972,0.1745,0.4959,0.1744,4.08,5,4,0.3855,0.808,0.0046,1.714,1.8786,0.7709,0.0143,0.2889,0.2772,0,1.0206,0.9394,1,1.2443,1,0.9971,0.594,35854,3.9796,0.0022,1012275,0.0006,63.4286,0,0.0012,47.8333,0,45.6667,0.4527,0,4.8088,0.0001,0.0001,0.0001,998052,0,0.0002,0.0107,0.2022,0,0,0,73.1111,0,75.5558
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766,0.9423,0.5,0.9501,0.0475,1.3557,0.9825,6.6383,0.529,0.2523,4.3618,0.6199,0.0924,0.3595,0.0032,5,5,5,0.4428,0.9963,0.0261,2.5312,1.3191,0.8546,0.014,0.2835,0.1174,0,1.7067,1,1,4.6846,1,0.9999,0.7945,96177,4.0721,0.0199,1814189,0,0,0,0.0099,0,0,0,0.4754,0,4.1956,0,0,0,1789068,0,0.0003,0.0171,0.4145,0,0,0,0,0,0
