@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,324
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,263
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,263
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,184
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,263
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,184
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,169
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,324
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,263
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,263
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,184
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,169
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,263
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,184
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,169
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,154
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,263
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,184
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,263
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,184
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,169
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,263
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,184
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,169
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,154
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,324
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,263
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,324
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,263
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,184
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,324
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,263
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,184
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,169
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,184
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,169
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,184
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,169
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,154
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,184
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,169
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,154
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,136
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,324
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,263
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,324
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,263
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,184
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,324
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,263
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,184
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,169
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,169
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,154
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,169
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,154
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,136
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,184
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,169
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,154
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,136
4-insertions-3-3.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,324
4-insertions-3-4.xml.watchless.minion.gz,1,0.037975,0.450984,0.164557,0.050633,263
4-insertions-4-3.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,324
4-insertions-4-4.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,263
4-insertions-4-5.xml.watchless.minion.gz,1,0.010526,0.331519,0.166316,0.016842,184
5-fullins-3-6.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,169
5-fullins-3-7.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,154
5-fullins-3-8.xml.watchless.minion.gz,1,0.051948,0.274114,0.175325,0.045455,136
5-fullins-4-6.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,169
5-fullins-4-7.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,154
5-fullins-4-8.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,136
5-fullins-4-9.xml.watchless.minion.gz,1,0.013825,0.158896,0.147465,0.013825,96
abb313GPIA-10.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,104
abb313GPIA-5.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,184
abb313GPIA-7.xml.watchless.minion.gz,1,0.043674,1.089224,0.076429,0.041105,154
