@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_max NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.0087,3.3399,0.5031,0.9945,0.0575,32.2696,0.9608,0
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.0052,0.3811,0.8349,0.5429,0.0561,0.4399,0.217,56.928
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0,0.1466,2.8639,0.4945,0.0192,1.5384,0.0599,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.0264,0.7111,0.6773,0.5946,0.1706,0.1417,0.1279,38.0524
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.02,0.6103,0.7402,0.6399,0.0588,0.4754,0.2604,12
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.0253,0.7096,0.678,0.5943,0.1705,0.153,0.1305,33.8246
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0006,0.3744,0.692,0.8292,0.1191,0.6209,0.1194,29.9928
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.0233,1.0202,0.7789,0.5304,0.0977,2.7709,0.2671,25.3072
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.0088,3.2944,0.5086,0.9944,0.0577,19.3806,0.9602,0
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.0024,0.6191,1.0307,0.9106,0.0677,0.9183,0.5118,9
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.0264,0.391,0.7453,0.7996,0.0648,0.4522,0.2299,14.7736
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.026,0.5536,0.6648,0.5848,0.0788,0.2943,0.1489,28.1643
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0,13.2663,0.9597,1,0.2679,15.2952,0.9842,0
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.0199,0.7664,0.7369,0.548,0.0897,0.5197,0.2964,25.5212
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.0014,0.8702,0.9718,0.9513,0.0873,0.46,0.9005,104.85
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.0001,0.4944,0.6399,0.9211,0.0847,1.1372,0.1224,23.3968
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.0005,0.4142,0.4806,0.9531,0.0854,3.3207,0.7698,0
