@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507
adder-10-unsat-shuffled,1,0.999726
adder-12-sat-shuffled,1,0.995467
adder-12-unsat-shuffled,1,0.999811
adder-14-sat-shuffled,1,0.996141
adder-14-unsat-shuffled,1,0.999862
adder-16-unsat-shuffled,1,0.999895
Adder2-10-s-shuffled,1,0.444433
Adder2-4-s-shuffled,1,0.445552
Adder2-6-c-shuffled,1,0.447045
Adder2-6-s-shuffled,1,0.444877
adder-4-sat-shuffled,1,0.984906
adder-6-sat-shuffled,1,0.990469
adder-8-sat-shuffled,1,0.993031
adder-8-unsat-shuffled,1,0.999566
aim-100-1_6-yes1-3-50-shuffled,1,0.205882
aim-100-1_6-yes1-3-90-shuffled,1,0.242105
aim-100-2_0-yes1-2-50-shuffled,1,0.211029
aim-100-2_0-yes1-2-90-shuffled,1,0.239183
aim-100-3_4-yes1-1-90-shuffled,1,0.244604
aim-100-6_0-yes1-1-90-shuffled,1,0.245376
aim-100-6_0-yes1-3-90-shuffled,1,0.246299
aim-100-6_0-yes1-4-90-shuffled,1,0.245058
aim-200-1_6-yes1-2-90-shuffled,1,0.238273
aim-200-1_6-yes1-4-90-shuffled,1,0.236039
aim-200-2_0-yes1-2-90-shuffled,1,0.23964
aim-200-3_4-yes1-1-90-shuffled,1,0.244324
aim-200-3_4-yes1-4-90-shuffled,1,0.243253
aim-50-1_6-yes1-1-00-shuffled,1,0.173077
aim-50-1_6-yes1-1-90-shuffled,1,0.243243
aim-50-1_6-yes1-2-00-shuffled,1,0.171306
aim-50-1_6-yes1-2-50-shuffled,1,0.201005
aim-50-1_6-yes1-3-00-shuffled,1,0.169528
aim-50-1_6-yes1-4-50-shuffled,1,0.203608
aim-50-1_6-yes1-4-90-shuffled,1,0.238671
aim-50-2_0-yes1-1-90-shuffled,1,0.240964
aim-50-2_0-yes1-2-50-shuffled,1,0.209205
aim-50-2_0-yes1-3-90-shuffled,1,0.242788
aim-50-3_4-yes1-2-90-shuffled,1,0.246753
aim-50-3_4-yes1-3-90-shuffled,1,0.24569
aim-50-6_0-yes1-3-50-shuffled,1,0.236378
aim-50-6_0-yes1-4-90-shuffled,1,0.246903
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063
