@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345,0.7382,0.2114,0.9325
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312,0.1326,0.1504,0.158
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963,0.9568,0.5,0.9588
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682,0.8538,0.4564,0.8665
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375,0.5302,0.2106,0.5338
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692,0.4435,0.4444,0.468
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766,0.9423,0.5,0.9501
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,1.7399,0.6702,0.4236,0.2397,0.8331
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,3.7759,0.71,0.473,0.5,0.7697
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.0597,0.5616,0.6001,0.3082,0.6106
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,2.5898,1.0367,0.7373,0.1983,0.9281
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,10.0823,0.5022,0.4298,0.4592,0.4899
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,6.4492,0.5276,0.4416,0.4725,0.5069
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.9868,0.9831,0.732,0.1345,0.8731
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2585,0.557,0.9406,0.1496,0.3812
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2053,0.892
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0753,0.593,0.9495,0.5,0.9471
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,5.2587,0.7558,0.4758,0.4377,0.8536
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,2.2488,1.0315,0.5984,0.3401,0.6631
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2055,0.892
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946,0.7414,0.1485,0.8708
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,3.0716,0.6638,0.3481,1,0.8913
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.5733,0.6186,0.4079,0.135,0.4828
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.3211,0.7889,0.5045,0.438,0.7211
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.515,0.6051,0.4036,0.135,0.4731
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.2666,0.5036,0.9607,0.5,0.9978
