@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?
bool/routing/s3-3-3-3.xml,1,?,?,?
bool/routing/s3-3-3-1.xml,1,?,?,?
bool/routing/s4-4-3-10.xml,1,46.186709,43.196203,1.414214
bool/routing/s4-4-3-7.xml,1,46.187192,43.093596,1.414214
bool/routing/s4-4-3-6.xml,1,46.072187,42.929936,1.414214
bool/routing/s4-4-3-3.xml,1,45.957011,43.172979,1.414214
bool/routing/s3-3-3-2.xml,1,?,?,?
bool/routing/s4-4-3-2.xml,1,45.932377,43.002049,1.414214
bool/routing/s4-4-3-8.xml,1,51.779141,44.355828,1.414214
bool/routing/s4-4-3-9.xml,1,46.072842,43.349169,1.414214
bool/routing/s4-4-3-4.xml,1,46.001908,43.082061,1.414214
bool/routing/s3-3-3-5.xml,1,?,?,?
bool/routing/s4-4-3-5.xml,1,45.97786,43.284133,1.414214
bool/routing/s4-4-3-1.xml,1,46.104536,43.106509,1.414214
bool/ii/ii-16e2.xml,1,41.550796,3.819552,1.414214
bool/ii/ii-8b1.xml,1,?,?,?
bool/ii/ii-32c1.xml,1,?,?,?
bool/ii/ii-8d1.xml,1,?,?,?
bool/ii/ii-16a1.xml,1,24.250642,4.710248,1.414214
bool/ii/ii-32c3.xml,1,19.608561,4.714165,1.414214
bool/ii/ii-8c2.xml,1,?,?,?
bool/ii/ii-32b4.xml,1,19.18208,3.131936,1.414214
bool/ii/ii-16e1.xml,1,41.512085,4.665542,1.414214
bool/ii/ii-32b2.xml,1,20.294431,5.555161,1.414214
bool/ii/ii-32e5.xml,1,19.518013,2.576082,1.414214
bool/ii/ii-32c2.xml,1,20.12752,6.145619,1.414214
bool/ii/ii-8b3.xml,1,?,?,?
bool/ii/ii-8a2.xml,1,?,?,?
bool/ii/ii-8c1.xml,1,?,?,?
bool/ii/ii-16d1.xml,1,30.768782,4.30798,1.414214
bool/ii/ii-16c1.xml,1,30.442733,5.252951,1.414214
bool/ii/ii-8b4.xml,1,?,?,?
bool/ii/ii-8a1.xml,1,?,?,?
bool/ii/ii-32e1.xml,1,?,?,?
bool/ii/ii-32e3.xml,1,19.592523,3.700935,1.414214
bool/ii/ii-16b2.xml,1,26.834913,3.754143,1.414214
bool/ii/ii-32d2.xml,1,20.680223,4.362066,1.414214
bool/ii/ii-32e2.xml,1,20.361766,5.31696,1.414214
bool/ii/ii-8e2.xml,1,?,?,?
bool/ii/ii-16b1.xml,1,26.618401,3.909502,1.414214
bool/ii/ii-32e4.xml,1,19.237955,3.098892,1.414214
bool/ii/ii-16a2.xml,1,?,?,?
bool/ii/ii-32b3.xml,1,19.276554,3.433081,1.414214
bool/ii/ii-8a3.xml,1,?,?,?
bool/ii/ii-8e1.xml,1,?,?,?
bool/ii/ii-8a4.xml,1,?,?,?
bool/ii/ii-16d2.xml,1,30.915244,3.772279,1.414214
bool/ii/ii-32b1.xml,1,?,?,?
bool/ii/ii-8d2.xml,1,?,?,?
bool/ii/ii-32d3.xml,1,19.934982,2.435228,1.414214
bool/ii/ii-16c2.xml,1,29.168194,3.764514,1.414214
bool/ii/ii-32d1.xml,1,?,?,?
bool/ii/ii-8b2.xml,1,?,?,?
bool/ii/ii-32a1.xml,1,20.042395,2.847689,1.414214
bool/ii/ii-32c4.xml,1,18.53892,2.106286,1.414214
bool/mps/mps-neos16.xml,1,96.688494,58.877456,1.414214
bool/mps/mps-p0282.xml,1,?,?,?
bool/mps/mps-gt2.xml,1,?,?,?
bool/mps/mps-air06.xml,1,30.018293,4.317073,1.414091
bool/mps/mps-p6000.xml,1,?,?,?
bool/mps/mps-air03.xml,1,?,?,?
bool/mps/mps-neos18.xml,1,?,?,?
bool/mps/mps-aflow30a.xml,1,304.812109,54.551148,1.414214
bool/mps/mps-diamond.xml,1,?,?,?
bool/mps/mps-10teams.xml,1,17.647059,0.882353,1.374369
bool/mps/mps-p0548.xml,1,?,?,?
bool/mps/mps-p0291.xml,1,?,?,?
bool/mps/mps-stein15.xml,1,?,?,?
bool/mps/mps-opt1217.xml,1,?,?,?
bool/mps/mps-p2756.xml,1,?,?,?
bool/mps/mps-air04.xml,1,12.831106,1.749696,1.414214
bool/mps/mps-mzzv11.xml,1,?,?,?
bool/mps/mps-mod008.xml,1,?,?,?
bool/mps/mps-p0201.xml,1,?,?,?
bool/mps/mps-neos5.xml,1,?,?,?
