@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,63000,14607,0.0002,0.0002,0.0002,3217,3221,0.0006,2786.38,0.0011,0.0001,0,3174.92,0.0004,0.2304,3132,3187,0.0004,15000,0.0894,783.125,8,56.4,74.1818,3167,109.1667,263.417,63,11.1792,0.0135,5.0899,13,0.0003,0.0001,64.8077,5,0.0001,79.3077,7,0.8341,0.1023,11,0.0009,49.5,17,0.2906,0,0.0923,0.0004,0.0795,0.0474,3.3644,0.7135,21,0.1749,0.0284,0.0083,0.1236,0.4,0.4043,5,0.2288,0.2897
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,2982,692,0.0044,0.0044,0.0043,163,164,0.0098,151.591,0.0188,0.002,140,151.736,0.0058,0.2994,140,152,0.0086,700,0.2811,28.7795,3472,34.3506,38.2519,152,40.6055,22.4568,35.3213,3645.1429,0.0655,4.0145,3711,0.0065,0.0017,36.1175,3462,0.0022,40.6055,3462,0.8947,0.1075,3688,0.0124,33.1688,3810,0.5045,0.001,0.0865,0.0057,0.0714,0.043,3.3421,0.7851,3810,0.1666,0.025,0.0398,0.1184,0.3333,0.0623,4,0.2288,0.2729
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,1917,439,0.0069,0.0069,0.0068,107,107,0.0147,97.803,0.0288,0.0052,89,97.759,0.0091,0.3212,88,98,0.0136,450,0.3571,16.9488,3818,24.2236,27.694,98,29.0163,13.8122,25.7924,3902.8571,0.0742,4,4036,0.0106,0.0037,25.9144,3793,0.0034,29.0163,3793,0.9481,0.1067,3869,0.0215,23.5001,4049,0.533,0.0026,0.0842,0.0084,0.0696,0.0404,3.3049,0.3322,4049,0.1675,0.0255,0.0364,0.1148,0.25,0.0723,4,0.2186,0.2818
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,34000,400,0.0175,0.0175,0.0175,75,76,0.0194,65.768,0.0117,0.0117,57,65.7976,0.0175,0.6048,56,65,0.0117,400,0.9441,33.2124,70,54.2262,60.6076,65.5,66.8647,32.6548,57.2143,84.2564,0.109,2.0401,93,?,?,57.7886,57,0.0011,65.0226,67,1.4086,?,79,?,52.451,112,0.702,0.0154,0.0001,0.0016,0.0001,0.0001,2.1705,0.0003,133,0.0001,0.0001,0.0448,0.0001,?,0.1217,2,0.0348,0.0005
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,8010,90,0.0778,0.0778,0.0778,19,19,0.0841,15.3984,0.0111,0.0111,12,15.4183,0.0778,0.6615,12,15,0.0111,90,1.6974,10.5034,4290,31.7124,32.4376,15,32.4376,10.3075,31.7829,4385.25,0.1904,2,4527,?,?,31.7052,4289,0.0049,32.4376,4289,1.9219,?,4435,?,30.8879,4527,0.7641,0.0699,0.0001,0.0069,0.0001,0,2.1754,0.0002,4527,0.0001,0,0.0872,0.0001,?,0.1876,2,0.0352,0
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,4450,50,0.14,0.14,0.14,12,12,0.1501,8.8815,0.011,0.011,6,8.9003,0.14,0.7054,6,9,0.011,50,1.9658,6.8357,4537,19.7482,19.9622,9,20.3076,6.3286,19.8762,4570.6,0.2308,2,4601,?,?,19.9056,4499,0.0089,20.3076,4499,2.1974,?,4557,?,19.6339,4659,0.776,0.1312,0.0001,0.0126,0.0001,0,1.9928,0.0001,4659,0.0001,0,0.1161,0.0001,?,0.2328,2,0.0321,0
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,25000,1250,0.004,0.004,0.004,255,255,0.0058,239.251,0.0184,0.0097,223,238.281,0.004,0.4728,223,240,0.0137,1250,0.3383,68.0332,27,56.5625,65.3429,239,78.7619,56.827,61.0385,33.217,0.0895,3,37,?,?,61.3601,19,0.0007,70.5217,23,1.0082,?,32,?,53.5484,44,0.5866,0.0027,0.0027,0.0014,0.0023,0.0015,2.9756,0.02,71,0.0047,0.001,0.078,0.0034,?,0.0516,3,0.0761,0.0839
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,2343,544,0.0055,0.0055,0.0055,131,132,0.0116,120.957,0.0218,0.0043,111,120.724,0.0074,0.3111,110,121,0.0109,550,0.3202,16.9422,3736,28.8614,34.7504,121,37.2312,14.1506,29.5637,3822.4286,0.0713,4,3906,0.0083,0.003,30.9712,3674,0.0028,37.2312,3674,0.9114,0.1091,3817,0.0163,26.9066,4014,0.619,0.0021,0.0949,0.0073,0.0839,0.0466,3.3429,0.3393,4014,0.1813,0.026,0.034,0.1274,0.25,0.0689,4,0.2307,0.2764
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,6230,70,0.1,0.1,0.1,15,15,0.1104,12.1057,0.0111,0.0111,9,12.1768,0.1,0.6771,9,12,0.0111,70,1.8323,8.7252,4400,25.8541,26.2046,12,26.2427,8.4841,25.9741,4469,0.2097,2,4496,?,?,25.9461,4395,0.0069,26.2427,4395,2.0295,?,4447,?,25.4551,4607,0.7565,0.0894,0.0001,0.0095,0.0001,0,2.1293,0.0002,4607,0.0001,0,0.0986,0.0001,?,0.2083,2,0.0337,0
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,3408,779,0.0039,0.0039,0.0039,185,184,0.0097,172.325,0.0192,0.003,160,171.73,0.0077,0.299,159,172,0.0078,800,0.2634,24.6923,839,28.6412,37.9676,172,40.1961,19.5296,30.6303,1585.625,0.0652,4.0167,2697,0.006,0.0021,32.4931,695,0.0019,40.0484,724,0.8575,0.1046,1136,0.0124,26.6508,3206,0.4884,0.0015,0.0914,0.005,0.0757,0.0446,3.3549,0.408,3369,0.1818,0.0272,0.0339,0.1256,0.25,0.0569,4,0.2262,0.3022
