@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345,0.7382,0.2114,0.9325,0.1516,1.2873,0.967,0.5964,0.3441,0.1604,2.8918,0.5464,0.0134,0.0301,0.0118
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207,0.148,1.3838,0.9593,1.5385,0.4568,0.1209,2.7096,0.7723,0.0163,0.0241,0.0144
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312,0.1326,0.1504,0.158,0.0823,2.1902,1.6459,0.9107,0.3526,0.018,2.9039,0.0263,0.0684,0.1391,0.0372
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963,0.9568,0.5,0.9588,0.0364,1.285,0.9339,13.386,0.5825,0.2696,4.354,0.6348,0.0571,0.2415,0.0012
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682,0.8538,0.4564,0.8665,0.0924,1.4683,0.9607,1.3945,0.5953,0.1792,3.8663,0.8161,0.0287,0.0896,0.0046
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375,0.5302,0.2106,0.5338,0.172,1.0399,0.921,0.5099,0.4086,0.0385,2.571,0.0827,0.0308,0.0447,0.0265
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692,0.4435,0.4444,0.468,0.1323,1.7696,1.6206,2.0163,0.3756,0.1496,2.9961,0.1194,0.0797,0.1457,0.0778
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743,0.0308,1.0885,0.8854,1.1802,0.5889,0.297,5.004,0.4972,0.1745,0.4959,0.1744
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766,0.9423,0.5,0.9501,0.0475,1.3557,0.9825,6.6383,0.529,0.2523,4.3618,0.6199,0.0924,0.3595,0.0032
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,1.7399,0.6702,0.4236,0.2397,0.8331,0.196,1.2752,1.1555,1.8479,0.3944,0.1801,2.1745,0.1582,0.0807,0.1751,0.0638
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,3.7759,0.71,0.473,0.5,0.7697,0.172,1.3928,1.1342,1.3113,0.4675,0.1379,2.5669,0.1331,0.4008,0.5,0.4333
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.0597,0.5616,0.6001,0.3082,0.6106,0.1943,1.1565,1.06,1.0802,0.3572,0.0643,1.9732,0.1638,0.0399,0.0555,0.0284
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,2.5898,1.0367,0.7373,0.1983,0.9281,0.1535,1.2983,0.976,0.5994,0.3448,0.1578,2.9225,0.5503,0.0138,0.0307,0.0116
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,10.0823,0.5022,0.4298,0.4592,0.4899,0.0774,2.0001,1.819,1.9974,0.6506,0.2553,2.743,0.3719,0.0669,0.1038,0.0902
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,6.4492,0.5276,0.4416,0.4725,0.5069,0.1111,2.0589,1.8901,1.5188,0.644,0.238,3.3061,0.3838,0.0862,0.2276,0.0791
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.9868,0.9831,0.732,0.1345,0.8731,0.1733,1.3791,1.0373,0.5454,0.3881,0.1638,2.569,0.585,0.0156,0.0292,0.0156
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128,0.1831,1.2995,1.2175,0.7131,0.3356,0.1129,2.357,0.2219,0.0377,0.074,0.025
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2585,0.557,0.9406,0.1496,0.3812,0.083,0.9247,2.0685,2.5291,0.7273,0.207,1.8012,0.2109,0.0137,0.0471,0.0037
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2053,0.892,0.178,1.3751,1.0132,0.4451,0.371,0.1565,2.733,0.6153,0.0155,0.0322,0.0137
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814,1.006,0.4013,0.3767,0.1552,2.6926,0.6356,0.0158,0.0323,0.0141
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0753,0.593,0.9495,0.5,0.9471,0.0439,1.0688,0.5717,9.1027,0.7212,0.2372,4.077,0.9069,0.0485,0.1988,0.0036
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957,0.7405,3.3798,0.8348,0.3273,5.2307,0.8293,0.0967,0.3607,0.0003
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,5.2587,0.7558,0.4758,0.4377,0.8536,0.1611,1.4908,1.2399,2.5235,0.5172,0.1655,3.1072,0.4386,0.0459,0.1094,0.0293
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,2.2488,1.0315,0.5984,0.3401,0.6631,0.1359,1.9424,1.6117,1.2092,0.3553,0.1598,3.62,0.5212,0.0323,0.0871,0.0155
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2055,0.892,0.178,1.3751,1.0132,0.4451,0.371,0.1565,2.733,0.6153,0.0155,0.0321,0.0137
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946,0.7414,0.1485,0.8708,0.1789,1.3841,1.0274,0.4866,0.391,0.1624,2.5651,0.6071,0.0161,0.0308,0.0165
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,3.0716,0.6638,0.3481,1,0.8913,0.2186,1.0625,0.7897,3.0847,0.4111,0.0874,1.7815,0.0812,0.0615,0.0791,0.0505
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957,0.7405,3.3798,0.8348,0.3273,5.2304,0.8293,0.0967,0.3607,0.0003
