@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_arity_mean NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_alldiff_proportion NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_occurrence_count NUMERIC
@ATTRIBUTE stats_occurrence_proportion NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,324,6.666667,324,0,0.222222,0.091828,324,324,30,0.066667,0.066667,0.229885,30,30,324,6.666667,3,100,3,0.366667,0.133333,33.333333,3,32,3,324,33,0.068493,35,3.24,3,3,6,11,32,35,5,2.054805,0.037417,11,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,263,6.666667,263,0,0.222222,0.091828,263,263,30,0.066667,0.066667,0.229885,30,30,263,6.666667,4,100,4,0.366667,0.133333,25,4,26,4,263,27,0.068493,27,2.63,4,4,6,11,20,27,5,2.054805,0.116619,11,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,263,12.752688,263,0,0.137126,0.039056,263,263,93,0.021505,0.021505,0.138616,93,93,263,12.752688,4,593,4,0.344086,0.064516,25,4,26,4,263,27,0.059392,27,0.443508,4,4,11,32,20,27,9,5.523471,0.116619,32,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,184,12.752688,184,0,0.137126,0.039056,184,184,93,0.021505,0.021505,0.138616,93,93,184,12.752688,5,593,5,0.344086,0.064516,20,5,17,5,184,21,0.059392,23,0.310287,5,5,11,32,16,23,9,5.523471,0.148324,32,0,6,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,263,23.028369,263,0,0.081661,0.016686,263,263,282,0.007092,0.007092,0.081951,282,282,263,23.028369,4,3247,4,0.336879,0.028369,25,4,26,4,263,27,0.04681,27,0.080998,4,4,20,95,20,27,15,13.20055,0.116619,95,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,184,23.028369,184,0,0.081661,0.016686,184,184,282,0.007092,0.007092,0.081951,282,282,184,23.028369,5,3247,5,0.336879,0.028369,20,5,17,5,184,21,0.04681,23,0.056668,5,5,20,95,16,23,15,13.20055,0.148324,95,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,169,23.028369,169,0,0.081661,0.016686,169,169,282,0.007092,0.007092,0.081951,282,282,169,23.028369,6,3247,6,0.336879,0.028369,16.666667,6,14,6,169,18,0.04681,19,0.052048,6,6,20,95,13,20,15,13.20055,0.153623,95,0,8,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,324,6.925373,324,0,0.103364,0,324,324,67,0.029851,0.029851,0.10493,67,67,324,6.925373,3,232,3,0.328358,0.059701,33.333333,3,32,3,324,33,0.040141,35,1.396552,3,3,6,22,32,35,5,2.689468,0.037417,22,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,263,6.925373,263,0,0.103364,0,263,263,67,0.029851,0.029851,0.10493,67,67,263,6.925373,4,232,4,0.328358,0.059701,25,4,26,4,263,27,0.040141,27,1.133621,4,4,6,22,20,27,5,2.689468,0.116619,22,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,263,12.148515,263,0,0.060141,0,263,263,202,0.009901,0.009901,0.06044,202,202,263,12.148515,4,1227,4,0.331683,0.024752,25,4,26,4,263,27,0.032959,27,0.214344,4,4,10,67,20,27,8,6.657663,0.116619,67,0,5,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0
