@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,1.7399,0.6702
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,3.7759,0.71
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.0597,0.5616
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,2.5898,1.0367
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,10.0823,0.5022
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,6.4492,0.5276
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.9868,0.9831
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,2.3864,0.6555
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2585,0.557
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0753,0.593
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.7117,0.3851
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,5.2587,0.7558
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,2.2488,1.0315
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,3.0716,0.6638
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.7117,0.3851
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.5733,0.6186
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.3211,0.7889
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.515,0.6051
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.2666,0.5036
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,1.092,0.9944
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0308,2.124
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.9554,0.9814
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,2.1871,1.0463
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,6.9416,0.7266
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.1772,0.9241
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,1.5064,0.4117
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,8.085,0.5895
SAT_RACE2008/post-c32s-ss-8.cnf,1,2.9061,0.7935
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0891,2.8746
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1589,0.66
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,5.0535,0.7173
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,4.8307,0.7062
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0,0.5487
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.1466,0.9923
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.675,0.5657
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,2.6433,1.1117
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0.0534,2.8706
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,4.7944,0.7078
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,1.9531,1.0178
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,5.5414,0.7279
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,3.0739,0.7719
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0.1264,0.752
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,1.1328,1.0067
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,55.6739,0.7297
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.6139,0.5701
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.4801,0.5919
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,11.0477,1.699
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.4541,0.8349
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0.9945,0.9844
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.1567,1.0326
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,7.5232,0.7893
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,69.0141,0.5235
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0.5216,0.4716
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,1.6489,0.7929
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,1.5656,0.6797
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.004,2.8639
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,1.5249,1.4648
