@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.0087,3.3399
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.0052,0.3811
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0,0.1466
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.0264,0.7111
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.02,0.6103
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.0253,0.7096
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0006,0.3744
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.0233,1.0202
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.0088,3.2944
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.0024,0.6191
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.0264,0.391
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.026,0.5536
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0,13.2663
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.0199,0.7664
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.0014,0.8702
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.0001,0.4944
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.0005,0.4142
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.0009,0.3687
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0,1.9187
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.0033,1.9844
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,2.6384
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0,2.1534
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0173,0.169
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.0001,0.6135
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.0017,0.4893
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.0268,0.5581
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0,0.2865
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.0028,1.0023
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0171,0.1795
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.0001,0.503
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.025,2.0421
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.4802
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.0336,0.7205
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.0086,3.3608
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.0134,1.0765
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.0326,0.7182
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0,2.9522
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0,1.2589
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.0171,0.4234
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.0216,0.2352
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.0004,0.6949
