@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554,592.5,0.282784,3621,5.249382,1840,18.619847,0.074811,1185,1.010848,3641,1.053282,0.128546,1.982972,26333,10.065649,655,0.010986,0.896929,0.896929,6.64837,1630,1.127011,0.104494,0.854035,0.078758,0.835103,3.154891,20,0.715889,40
adder-10-unsat-shuffled,1,0.999726,0.854527,761.5,0.170238,3649,10.284932,1858,14.853731,0.111022,1523,1.008689,3650,0.377808,0.027706,0.681644,40028,8.232836,335,0.001096,0.88162,0.88162,4.810549,1630,1.144132,0.072991,0.913469,0.062859,0.967578,3.134015,1,0.843517,4
adder-12-sat-shuffled,1,0.995467,0.790835,861,0.264487,5270,5.643748,2664,18.806794,0.071043,1722,1.035063,5294,1.053268,0.121774,1.981866,40370,10.174098,942,0.009067,0.90401,0.90401,6.678679,2364,1.144969,0.097549,0.863319,0.072989,0.846019,3.16967,24,0.713697,48
adder-12-unsat-shuffled,1,0.999811,0.867327,1100,0.152968,5304,11.347597,2686,14.864198,0.101268,2200,1.028161,5305,0.377757,0.025199,0.680867,63811,8.246914,486,0.000754,0.892656,0.892656,4.834698,2364,1.1518,0.065635,0.922242,0.056189,0.970946,3.151899,1,0.844088,4
adder-14-sat-shuffled,1,0.996141,0.800826,1179.5,0.248711,7227,6.029359,3640,18.938329,0.067693,2359,1.056979,7255,1.053205,0.115822,1.980979,58115,10.250585,1281,0.007719,0.910066,0.910066,6.699725,3234,1.161432,0.091632,0.871339,0.068101,0.855372,3.179945,28,0.712195,56
adder-14-unsat-shuffled,1,0.999862,0.877979,1500.5,0.138979,7267,12.400936,3666,14.869173,0.093148,3001,1.044278,7268,0.377683,0.023129,0.680242,95074,8.255639,665,0.00055,0.901742,0.901742,4.851609,3234,1.158068,0.059669,0.929346,0.050842,0.973656,3.164484,1,0.844524,4
adder-16-unsat-shuffled,1,0.999895,0.887007,1963,0.127387,9538,13.448475,4798,14.87156,0.086266,3926,1.057884,9539,0.377608,0.021385,0.679736,134769,8.261468,872,0.000419,0.909374,0.909374,4.86411,4240,1.163311,0.05472,0.935232,0.046447,0.975891,3.173822,1,0.844867,4
Adder2-10-s-shuffled,1,0.444433,0.556811,2474.666667,0.79594,4295,2.008692,7969,21.155963,0.354077,7424,0.502034,9664,0.217819,0.089112,0.435637,23622,10.577982,545,0.726821,0.569132,0.569132,6.560296,7829,0.882103,0.413789,0.566732,0.426218,0.83996,1.313716,5368,0.955042,7024
Adder2-4-s-shuffled,1,0.445552,0.556623,361.666667,0.796548,626,2.014947,1171,19.860465,0.355459,1085,0.505855,1405,0.214947,0.087918,0.429893,3435,9.930233,86,0.72669,0.568704,0.568704,6.53117,1139,0.889488,0.415911,0.566194,0.426705,0.84205,1.300598,778,0.958749,1021
Adder2-6-c-shuffled,1,0.447045,0.556468,651.5,0.797047,1490,2.156916,2765,28.301887,0.384304,2606,0.527579,3333,0.144914,0.059227,0.289829,8155,14.150943,159,0.726373,0.564056,0.564056,7.6434,2695,0.935331,0.411294,0.566171,0.427095,0.893565,1.308137,1842,0.948054,2421
Adder2-6-s-shuffled,1,0.444877,0.55674,856.666667,0.79617,1485,2.011384,2765,20.584615,0.354657,2570,0.503657,3338,0.216597,0.088603,0.433194,8160,10.292308,195,0.726783,0.56896,0.56896,6.54792,2705,0.885224,0.414678,0.566513,0.426414,0.840854,1.308137,1852,0.956611,2426
adder-4-sat-shuffled,1,0.984906,0.729904,87,0.370044,522,3.883019,280,16.792453,0.091318,174,0.917914,530,1.049057,0.159486,1.984906,3110,9.018868,106,0.030189,0.862002,0.862002,6.328571,244,1.064863,0.14083,0.809953,0.108165,0.781498,3,8,0.741029,16
adder-6-sat-shuffled,1,0.990469,0.75084,205.5,0.331842,1247,4.399523,648,17.839662,0.084339,411,0.95336,1259,1.052423,0.146162,1.985703,8039,9.616034,237,0.019063,0.877595,0.877595,6.516975,570,1.086332,0.123948,0.829222,0.094829,0.805335,3.091049,12,0.725786,24
adder-8-sat-shuffled,1,0.993031,0.766531,374,0.30458,2280,4.839721,1168,18.333333,0.079142,748,0.983859,2296,1.053136,0.136456,1.984321,15668,9.9,420,0.013937,0.888409,0.888409,6.601027,1032,1.107439,0.112944,0.842999,0.085781,0.821982,3.131849,16,0.719382,32
adder-8-unsat-shuffled,1,0.999566,0.838756,485,0.192241,2302,9.205818,1182,14.830189,0.12304,970,0.984509,2303,0.377768,0.030826,0.682588,22773,8.207547,212,0.001737,0.867836,0.867836,4.773266,1032,1.134441,0.08235,0.902284,0.071472,0.963248,3.106599,1,0.842752,4
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819,177,0.681185,161,1.792839,454,10.56,0.280829,354,0.57147,782,0.306905,0.149223,0.675192,1930,4.8,100,0.530691,0.613409,0.613409,3.162996,700,0.93163,0.304989,0.642786,0.322537,0.749129,1.722467,621,0.8538,415
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672,138,0.670363,161,1.756391,376,9.78,0.256488,276,0.610865,665,0.360902,0.150272,0.735338,1657,4.8,100,0.506767,0.63613,0.63613,3.300532,583,0.960283,0.298424,0.642775,0.304888,0.748992,1.768617,504,0.835395,337
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453,198,0.679395,199,1.78579,496,12.94,0.276276,396,0.558827,943,0.317073,0.149292,0.686108,2331,5.98,100,0.52492,0.617577,0.617577,3.504032,843,0.90487,0.293681,0.642534,0.319507,0.74928,1.90121,744,0.821564,495
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456,161,0.670968,199,1.757212,422,12.2,0.257239,322,0.587601,832,0.359375,0.150097,0.733173,2072,5.98,100,0.50601,0.635431,0.635431,3.680095,732,0.924728,0.288118,0.642495,0.305698,0.749194,1.971564,633,0.805914,421
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193,230,0.668912,340,1.753957,560,20.6,0.25346,460,0.547264,1390,0.367626,0.149654,0.741007,3468,10.22,100,0.504317,0.639459,0.639459,4.644643,1219,0.855825,0.264192,0.642523,0.302722,0.750241,2.482143,1050,0.739047,701
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539,362,0.667948,597,1.752158,824,36.2,0.252593,724,0.511433,2433,0.369092,0.150173,0.743938,6073,17.96,100,0.498561,0.64016,0.64016,5.526699,2142,0.798915,0.246211,0.642796,0.302114,0.749519,2.951456,1836,0.689271,1213
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473,361,0.668132,599,1.752467,822,36.2,0.252306,722,0.511877,2432,0.370066,0.149868,0.744243,6072,18,100,0.501645,0.640544,0.640544,5.540146,2134,0.799128,0.246033,0.642655,0.301841,0.75,2.958637,1833,0.688503,1220
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505,361,0.668043,595,1.751236,822,36.16,0.25231,722,0.511575,2428,0.369852,0.150165,0.744646,6060,17.96,100,0.500412,0.640405,0.640405,5.53163,2135,0.798832,0.246112,0.6427,0.301976,0.749518,2.952555,1833,0.688811,1215
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505,281,0.670829,320,1.760238,762,9.81,0.256801,562,0.610041,1343,0.360387,0.14858,0.730454,3345,4.84,200,0.503351,0.636633,0.636633,3.292651,1193,0.958231,0.29806,0.642083,0.305269,0.751748,1.762467,1023,0.832761,676
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265,282,0.6715,317,1.760238,764,9.79,0.257254,564,0.609433,1343,0.359643,0.14837,0.728965,3343,4.83,200,0.509308,0.63621,0.63621,3.28534,1188,0.957911,0.298532,0.641736,0.305864,0.752,1.757853,1026,0.833274,684
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894,322,0.669618,399,1.757958,844,12.22,0.256206,644,0.588788,1665,0.360961,0.149675,0.733934,4149,6.01,200,0.504505,0.63683,0.63683,3.683649,1469,0.924562,0.287235,0.642685,0.304779,0.750101,1.971564,1266,0.803871,840
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278,459.5,0.668675,678,1.754595,1119,20.56,0.253574,919,0.547361,2775,0.367207,0.149747,0.740901,6925,10.19,200,0.505586,0.639351,0.639351,4.639857,2431,0.85612,0.264326,0.642646,0.302774,0.75012,2.479893,2097,0.739676,1403
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452,461,0.668191,676,1.753508,1122,20.6,0.253281,922,0.547114,2779,0.367398,0.149863,0.741274,6933,10.21,200,0.50018,0.639647,0.639647,4.634581,2453,0.855337,0.264035,0.642734,0.302635,0.75,2.475045,2103,0.739045,1390
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909,114,0.692308,81,1.824786,278,11.6,0.301573,228,0.542502,468,0.262821,0.145979,0.619658,1144,4.92,50,0.549145,0.596019,0.596019,3.053957,431,0.91021,0.310489,0.64147,0.337248,0.752959,1.683453,387,0.866003,257
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311,69,0.671371,81,1.753754,188,9.8,0.253317,138,0.614605,333,0.369369,0.147165,0.735736,829,4.92,50,0.501502,0.640411,0.640411,3.319149,296,0.959704,0.296293,0.640967,0.302885,0.754032,1.771277,252,0.825251,167
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071,114,0.692878,80,1.82227,278,11.6,0.308501,228,0.533243,467,0.246253,0.153374,0.620985,1141,4.6,50,0.537473,0.586369,0.586369,3.021583,428,0.909398,0.314491,0.64482,0.341737,0.740356,1.679856,387,0.885443,251
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878,91,0.683849,80,1.791457,232,10.68,0.288776,182,0.559318,398,0.288945,0.155102,0.670854,980,4.6,50,0.515075,0.603086,0.603086,3.125,359,0.927428,0.308854,0.64513,0.328032,0.738832,1.715517,318,0.87033,205
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051,114,0.693452,79,1.824034,278,11.52,0.307557,228,0.53572,466,0.248927,0.151142,0.618026,1138,4.64,50,0.555794,0.588235,0.588235,3.021583,421,0.910724,0.314658,0.643463,0.341573,0.744048,1.676259,387,0.88254,259
