@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554,592.5,0.282784,3621,5.249382
adder-10-unsat-shuffled,1,0.999726,0.854527,761.5,0.170238,3649,10.284932
adder-12-sat-shuffled,1,0.995467,0.790835,861,0.264487,5270,5.643748
adder-12-unsat-shuffled,1,0.999811,0.867327,1100,0.152968,5304,11.347597
adder-14-sat-shuffled,1,0.996141,0.800826,1179.5,0.248711,7227,6.029359
adder-14-unsat-shuffled,1,0.999862,0.877979,1500.5,0.138979,7267,12.400936
adder-16-unsat-shuffled,1,0.999895,0.887007,1963,0.127387,9538,13.448475
Adder2-10-s-shuffled,1,0.444433,0.556811,2474.666667,0.79594,4295,2.008692
Adder2-4-s-shuffled,1,0.445552,0.556623,361.666667,0.796548,626,2.014947
Adder2-6-c-shuffled,1,0.447045,0.556468,651.5,0.797047,1490,2.156916
Adder2-6-s-shuffled,1,0.444877,0.55674,856.666667,0.79617,1485,2.011384
adder-4-sat-shuffled,1,0.984906,0.729904,87,0.370044,522,3.883019
adder-6-sat-shuffled,1,0.990469,0.75084,205.5,0.331842,1247,4.399523
adder-8-sat-shuffled,1,0.993031,0.766531,374,0.30458,2280,4.839721
adder-8-unsat-shuffled,1,0.999566,0.838756,485,0.192241,2302,9.205818
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819,177,0.681185,161,1.792839
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672,138,0.670363,161,1.756391
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453,198,0.679395,199,1.78579
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456,161,0.670968,199,1.757212
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193,230,0.668912,340,1.753957
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539,362,0.667948,597,1.752158
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473,361,0.668132,599,1.752467
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505,361,0.668043,595,1.751236
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505,281,0.670829,320,1.760238
