@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,42000,41709,0.0003,9752,0.0006,0.0003,0.0003,2130,0.0002,2165,2085,2070,2014.62,10000,479.188,0.0006
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,42000,41760,0.0003,9769,0.0006,0.0003,0.0003,2130,0.0002,2163,2091,2081,2022.12,10000,347.765,0.0007
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,7120,7120,0.0875,80,0.0111,0.0875,0.0875,14,0.0055,17,10,10,13.7424,80,9.7683,0.0875
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,17354,15027,0.0004,4798,0.0013,0.0006,0.0006,1001,0.0003,1038,978,975,994.926,6500,82.7872,0.0021
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17000,17000,0.035,200,0.0117,0.035,0.035,33,0.0021,39,27,28,32.9107,200,17.7512,0.035
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,8010,8010,0.0778,90,0.0111,0.0778,0.0778,15,0.0049,19,12,12,15.365,90,10.5497,0.0778
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,2343,2343,0.0455,110,0.0457,0.0455,0.0455,22,0.0088,27,18,18,21.9929,110,9.6703,0.0455
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,2343,2343,0.0455,110,0.0456,0.0455,0.0455,22,0.0082,26,17,18,21.9015,110,10.0267,0.0455
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,54600,54263,0.0002,12681,0.0005,0.0002,0.0002,2779,0.0001,2824,2674,2694,2508.18,13000,580,0.0005
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4450,4450,0.14,50,0.011,0.14,0.14,9,0.0088,11,6,6,8.9002,50,6.8891,0.14
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,75600,75031,0.0002,17527,0.0004,0.0002,0.0002,3804,0.0001,3840,0,3760,3309.43,18000,1371.43,0.0003
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,6675,6675,0.0933,75,0.0111,0.0933,0.0933,13,0.0057,16,10,10,12.8651,75,9.5164,0.0933
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,2343,2343,0.0455,110,0.0456,0.0455,0.0455,22,0.0088,27,17,18,21.9356,110,9.8923,0.0455
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,2769,2744,0.0047,633,0.0095,0.0048,0.0048,140,0.0024,152,129,130,140.408,650,20.4265,0.0079
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,2130,2130,0.05,100,0.046,0.05,0.05,20,0.0101,25,16,16,20.1016,100,8.7154,0.05
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,9344,8079,0.0008,2574,0.0024,0.0012,0.0012,539,0.0005,557,515,517,536.403,3500,45.5847,0.0035
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,2662,2662,0.04,125,0.0451,0.04,0.04,25,0.0074,30,20,20,24.9176,125,10.7963,0.04
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,6230,6230,0.1,70,0.0111,0.1,0.1,12,0.0065,15,9,9,12.0581,70,8.9636,0.1
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,18700,18700,0.0318,220,0.0117,0.0318,0.0318,36,0.002,42,30,30,36.0753,220,19.5931,0.0318
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,2125,2114,0.0061,488,0.0123,0.0062,0.0062,107,0.003,117,98,98,107.667,500,17.4766,0.0102
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,2556,2538,0.0052,582,0.0104,0.0052,0.0052,128,0.0026,139,118,117,128.049,600,22.0558,0.0086
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,2210,2202,0.0059,512,0.0117,0.0059,0.0059,113,0.0029,123,104,103,113.286,520,18.3676,0.0078
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,18000,18000,0.0056,900,0.0179,0.0056,0.0056,172,0.001,187,159,158,172.208,900,50.1095,0.0056
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,1917,1908,0.0068,441,0.0136,0.0069,0.0069,98,0.0032,107,89,89,97.9801,450,15.3263,0.0113
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,2556,2549,0.0051,591,0.01,0.0051,0.0051,131,0.0025,142,120,120,130.431,600,23.1834,0.0068
