@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.1747,0.5705,0.093,0.1256,42000,0.2908,0.2943,0.719,0.2019,0.2338,0.0802,18.264,0.048,17,13,0.5822,0.2274,0.5855,0.3926,21,11,26,0.4013,41709,10000,0.3876,0,0.0254,9752,42,0.9626,0.5867
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1457,0.7335,0.0797,0.1191,583000,2.0163,1.7597,1.7696,0.4453,0.1323,0.0778,321.25,0.0282,210,190,0.4113,0.1713,0.4444,0.5682,241,138,1294,2.377,248000,196000,0.6142,0.1194,4.9941,32750,1444,0.468,0.692
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.004,0.2539,0.0019,0.0025,2343,0.112,0.0156,0.8309,0.0675,0.0469,0.0016,4278.3,0.0009,4256,4237,0.6913,0.0788,0.008,0.1651,4356,4227,4397,0.1916,2343,110,0.1454,0,0,110,4397,0,0.64
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.3595,0.9999,0.0924,0.1174,1810000,6.6383,1.3191,1.3557,0.7945,0.0475,0.0032,0,0,0,0,0.2835,0.4428,0.5,0.8546,0,0,0,4.6846,1790000,96177,0.9963,0.6199,0.1323,84942,0,0.9501,0.7766
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.1772,0.5731,0.0934,0.1258,75600,0.2896,0.2932,0.7172,0.206,0.2336,0.0799,8.2292,0.048,8,6,0.5781,0.2303,0.7541,0.3951,10,5,12,0.3998,75031,18000,0.3897,0,0.027,17527,21,0.9632,0.5883
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0451,0.9033,0.018,0.0222,12647,0.4576,0.1936,0.7312,0.4881,0.0405,0.011,4132,0.0043,4214,4115,0.4123,0.5681,0.1319,0.6752,4230,3790,4236,0.8917,10373,526,0.8077,0,0.2524,420,4236,0.6785,0.3529
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.1773,0.5701,0.0925,0.1249,42000,0.2911,0.2948,0.7103,0.2058,0.2339,0.0791,18.144,0.0472,17,14,0.577,0.2274,0.9025,0.3936,22,12,26,0.3977,41760,10000,0.3832,0,0.0236,9769,36,0.9663,0.5878
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0292,0.8447,0.0156,0.022,1410000,0.5454,0.5132,1.3791,0.2751,0.1733,0.0156,0,0.0072,0,0,0.5482,0.2625,0.1345,0.5835,0,0,0,0.5361,868000,299000,0.7644,0.585,0.9868,150000,0,0.8731,0.9831
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.074,0.3782,0.0377,0.0442,74257,0.7131,1.2355,1.2995,0.0674,0.1831,0.025,781.73,0.0221,768,716,0.8312,0.0735,0.2875,0.263,931,568,1008,1.0258,34035,21104,0.2087,0.2219,2.3864,6232,1028,0.6128,0.6554
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.2505,1,0.0511,0.0047,5580000,6.6361,4.0607,0.416,0.9965,0.0143,0,0,0,0,0,0.2263,0.57,1,0.9277,0,0,0,6.4636,5550000,89315,1,0.9679,0.122,79604,0,0.9717,0.2426
