@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343
