@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.4947,0.4949,1.3505,0.2457,0.4952,?,0.4946,0.4946,0.8826,0.0029,0.8047,0.1227,?,0.1593,?,2,29282,?,?,0.4944,29282,0.0097,?,0,2.3439,0.0005,0,0.1459,11,?,0.0919,0.4944,0.1702,9,0.1732,0.9263,0.3918,8.9986,0.0029,0.4941,0.1729,8.9155,6,0.009,6.6817,0.0632,?,0.6075,2935.75,0.0029,5.7878,11,7,3004,?,2783,0.017,0.0011,0.2366,3028,2729,0.0029,9,21.7036
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.1626,0.2899,1.2297,0.467,0.5,?,0.1056,0.0576,1.0214,0.0192,1.0218,0.8362,?,0.9864,?,6.6667,1711065,?,?,0.007,1666604,0.6494,?,0.8587,5.0412,1.1702,0.7947,0.9295,13459,?,0.9729,0.0001,0.8574,6812.5,1,0.9889,0.2671,13459,0,0,0.9988,6812.5,0,0.6075,912,0.3403,?,0.0246,0,0.0001,9705,0,13459,0,?,0,0.8254,0,0.8502,0,0,0.0009,13459,0
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0.0334,0.064,0.9606,0.7822,0.099,0.5,0.0216,0.0148,0.9948,0.0433,0.4072,0.8375,1.0454,0.9738,1.3036,5.7407,37237,0.0019,0.1971,0,37237,0.9093,0.0015,0.6918,2.2445,1.158,0.363,0.9373,718,3.497,0.9375,0,5.4871,692,0.9746,0.9959,0.2509,693.085,0.0002,0,0.9746,690.391,667,0.8609,40.5581,0.6468,0.0405,0.3204,2527.1667,0.0017,66.1096,716,668,2885,2.1655,1766,0.5166,0.0013,0.4567,3031,1487,0.0026,692,45.3203
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.4999,0.5,2.9418,0.289,1,?,0.4485,0.4995,0.9464,0.2232,0.8986,0.6986,?,0.7998,?,4.444,8013,?,?,0.4909,6565,0.1152,?,0.0905,1.3243,0.3429,1.5263,0.748,77,?,1,0.1345,0.1764,69,1,0.9138,0.2306,69.1405,0.0002,0.0502,0.8331,69.142,60,2.5476,9.6772,0.5352,?,0.4289,1294.5,0.0067,16.041,78,61,1356,?,581,0.4259,0.0003,2.4873,1740,249,0.1796,69,25.5443
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0,0,0.8223,0.4897,0.0001,?,0,0,0.9998,0.0114,1.0161,0.8977,?,0.9115,?,2,66810,?,?,0,66030,0.7118,?,0.9756,4.6273,3.1726,0,0.8994,370,?,0.5629,0,0.3563,355,0.9397,1.4306,0.0212,351.564,0.0114,0,0.9197,353.389,335,0.1369,69.6888,0.3938,?,0.8724,581.8667,0.0114,11.7438,373,336,493,?,400,1.9114,0.0019,0.4367,539,347,0.0114,353,72.0557
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,0.3207,0.3213,0,1,0.3227,0.2,0.3124,0.3197,0.8052,0.4745,0,0.0443,0.0861,0.0598,0.1142,5.3913,196,0.1538,0.1929,0.3145,196,0.5,0.0483,0,0.2095,0.0544,0.0507,0.0136,17,0.428,0.3333,0.2651,0.2524,14,0.2149,0.8643,1.4096,13.8268,0.0306,0.2636,0.2032,13.7887,10,0,2.4925,0.0358,0.0612,0.8308,4130.5556,0.0312,1.0687,17,11,4121,0.428,4040,0,0.0161,0.214,4179,3750,0.0357,14,17.1695
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0,0,0.2431,0.9939,0,?,0,0,0.9996,0.015,0.0236,0.8092,?,0.8206,?,3.0022,61409,?,?,0,60200,0.9349,?,0.9349,4.3346,8.7813,0.2047,0.8088,429,?,0.3475,0,0.1784,409,0.8632,0.9987,0.0195,409.176,0.0019,0,0.8289,409.26,391,0.2605,14.8986,0.1933,?,0.7651,758.0769,0.0041,27.3511,428,392,688,?,433,1.4631,0.0021,0.1696,915,288,0.0071,411,63.5664
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0.2564,0.3099,1.1159,0.3999,0.3668,?,0.1115,0.028,0.7794,0.0965,0.4991,0.7466,?,0.9675,?,5.7877,39932,?,?,0.0206,39932,0.6497,?,0.1147,2.6832,1.1336,0.275,0.7919,593,?,0.871,0.0021,1.9386,526,0.9733,0.7583,0.331,533.516,0.0002,0.0001,0.97,537.167,502,1.0494,23.8952,0.5862,?,0.0738,354.9744,0.0023,130.764,594,493,345,?,313,0.7612,0.0005,1.5038,390,285,0.0028,523,29.9693
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0,0,0.8872,0.4874,0,?,0,0,0.9997,0.0126,1.0167,0.8797,?,0.8934,?,2,69990,?,?,0,69090,0.7267,?,0.9642,4.6377,3.2712,0,0.8801,428,?,0.4048,0,0.2016,411,0.9292,1.0024,0.0202,405.995,0.0126,0,0.9015,410.599,391,0.187,38.0995,0.2393,?,0.7793,847.6364,0.0126,12.2429,430,387,519,?,423,1.9953,0.0017,0.4081,822,412,0.0126,407,87.4131
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0222,0.0451,0.7312,0.8204,0.1319,?,0.018,0.011,0.9689,0.0405,0.3529,0.6752,?,0.9033,?,3,12647,?,?,0.0043,10373,0.0646,?,0,3.1969,1.2079,0.1936,0.8077,135,?,0.954,0.0016,0.2744,123,0.9902,0.971,0.4123,122.94,0.0077,0.0001,0.9387,122.903,111,0.8565,16.8391,0.5681,?,0.3481,4132,0.0132,14.0495,134,111,4214,?,4115,0.4074,0.0011,0.8917,4230,3790,0.0193,123,23.0673
