@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_12,1,4.36364,0.6,16,0.5625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_14,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_15,1,4.36364,0.6,16,0.5,0,0.3625,29
BF1_cpmp_16_5_48_10_29_17,1,4.36364,0.6,16,0.5625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_18,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_19,1,4.36364,0.6,16,0.5625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_20,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_3,1,4.36364,0.6,16,0.75,0,0.3625,29
BF1_cpmp_16_5_48_10_29_4,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_5,1,4.36364,0.6,16,0.5625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_6,1,4.36364,0.6,16,0.75,0,0.3625,29
BF1_cpmp_16_5_48_10_29_7,1,4.36364,0.6,16,625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_8,1,4.36364,0.6,16,0.5625,0,0.3625,29
BF1_cpmp_16_5_48_10_29_9,1,4.36364,0.6,16,0.75,0,0.3625,29
BF10_cpmp_16_8_77_16_58_13,1,4.52941,0.601562,16,625,0,0.453125,58
BF10_cpmp_16_8_77_16_58_3,1,4.52941,0.601562,16,625,0,0.453125,58
BF10_cpmp_16_8_77_16_58_8,1,4.52941,0.601562,16,625,0,0.453125,58
BF11_cpmp_16_8_77_31_47_10,1,2.40625,0.601562,16,0.75,0,0.367188,49
BF11_cpmp_16_8_77_31_47_11,1,2.40625,0.601562,16,0.9375,0,0.367188,49
BF11_cpmp_16_8_77_31_47_16,1,2.40625,0.601562,16,875,0,0.367188,51
BF11_cpmp_16_8_77_31_47_6,1,2.40625,0.601562,16,1,0,0.367188,51
BF11_cpmp_16_8_77_31_47_7,1,2.40625,0.601562,16,0.9375,0,0.367188,49
BF12_cpmp_16_8_77_31_58_14,1,2.40625,0.601562,16,0.75,0,0.453125,58
BF17_cpmp_20_5_60_12_36_1,1,4.61538,0.6,20,0.55,0,0.36,36
BF17_cpmp_20_5_60_12_36_10,1,4.61538,0.6,20,0.6,0,0.36,36
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0.6,20,0.65,0,0.36,37
BF17_cpmp_20_5_60_12_36_12,1,4.61538,0.6,20,0.65,0,0.36,36
BF17_cpmp_20_5_60_12_36_15,1,4.61538,0.6,20,0.65,0,0.36,36
BF17_cpmp_20_5_60_12_36_16,1,4.61538,0.6,20,0.65,0,0.36,36
BF17_cpmp_20_5_60_12_36_17,1,4.61538,0.6,20,0.65,0,0.36,36
BF17_cpmp_20_5_60_12_36_2,1,4.61538,0.6,20,0.6,0,0.36,36
BF17_cpmp_20_5_60_12_36_20,1,4.61538,0.6,20,0.7,0,0.36,36
BF17_cpmp_20_5_60_12_36_3,1,4.61538,0.6,20,0.65,0,0.36,37
BF17_cpmp_20_5_60_12_36_4,1,4.61538,0.6,20,0.55,0,0.36,37
BF17_cpmp_20_5_60_12_36_5,1,4.61538,0.6,20,0.75,0,0.36,37
BF17_cpmp_20_5_60_12_36_6,1,4.61538,0.6,20,0.75,0,0.36,36
BF17_cpmp_20_5_60_12_36_7,1,4.61538,0.6,20,0.55,0,0.36,36
BF17_cpmp_20_5_60_12_36_8,1,4.61538,0.6,20,0.75,0,0.36,36
BF18_cpmp_20_5_60_12_45_1,1,4.61538,0.6,20,0.7,0,0.45,45
BF18_cpmp_20_5_60_12_45_12,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_13,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_14,1,4.61538,0.6,20,0.65,0,0.45,45
BF18_cpmp_20_5_60_12_45_15,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_16,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_17,1,4.61538,0.6,20,0.65,0,0.45,45
BF18_cpmp_20_5_60_12_45_18,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_19,1,4.61538,0.6,20,0.65,0,0.45,45
BF18_cpmp_20_5_60_12_45_2,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_3,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_4,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_5,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_6,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_7,1,4.61538,0.6,20,0.65,0,0.45,45
BF18_cpmp_20_5_60_12_45_8,1,4.61538,0.6,20,0.6,0,0.45,45
BF18_cpmp_20_5_60_12_45_9,1,4.61538,0.6,20,0.6,0,0.45,45
BF19_cpmp_20_5_60_24_36_1,1,2.4,0.6,20,0.7,0,0.36,36
BF19_cpmp_20_5_60_24_36_10,1,2.4,0.6,20,0.7,0,0.36,36
BF19_cpmp_20_5_60_24_36_11,1,2.4,0.6,20,0.5,0,0.36,36
BF19_cpmp_20_5_60_24_36_14,1,2.4,0.6,20,0.7,0,0.36,36
BF19_cpmp_20_5_60_24_36_15,1,2.4,0.6,20,0.65,0,0.36,36
BF19_cpmp_20_5_60_24_36_16,1,2.4,0.6,20,0.65,0,0.36,37
BF19_cpmp_20_5_60_24_36_17,1,2.4,0.6,20,0.55,0,0.36,36
BF19_cpmp_20_5_60_24_36_18,1,2.4,0.6,20,0.65,0,0.36,36
BF19_cpmp_20_5_60_24_36_2,1,2.4,0.6,20,0.6,0,0.36,36
BF19_cpmp_20_5_60_24_36_20,1,2.4,0.6,20,0.55,0,0.36,36
BF19_cpmp_20_5_60_24_36_3,1,2.4,0.6,20,0.7,0,0.36,36
BF19_cpmp_20_5_60_24_36_5,1,2.4,0.6,20,0.6,0,0.36,36
BF19_cpmp_20_5_60_24_36_6,1,2.4,0.6,20,0.6,0,0.36,37
BF19_cpmp_20_5_60_24_36_7,1,2.4,0.6,20,0.55,0,0.36,36
BF19_cpmp_20_5_60_24_36_8,1,2.4,0.6,20,0.75,0,0.36,39
BF19_cpmp_20_5_60_24_36_9,1,2.4,0.6,20,0.65,0,0.36,38
BF2_cpmp_16_5_48_10_36_1,1,4.36364,0.6,16,625,0,0.45,36
