@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554,592.5,0.282784,3621,5.249382,1840,18.619847
adder-10-unsat-shuffled,1,0.999726,0.854527,761.5,0.170238,3649,10.284932,1858,14.853731
adder-12-sat-shuffled,1,0.995467,0.790835,861,0.264487,5270,5.643748,2664,18.806794
adder-12-unsat-shuffled,1,0.999811,0.867327,1100,0.152968,5304,11.347597,2686,14.864198
adder-14-sat-shuffled,1,0.996141,0.800826,1179.5,0.248711,7227,6.029359,3640,18.938329
adder-14-unsat-shuffled,1,0.999862,0.877979,1500.5,0.138979,7267,12.400936,3666,14.869173
adder-16-unsat-shuffled,1,0.999895,0.887007,1963,0.127387,9538,13.448475,4798,14.87156
Adder2-10-s-shuffled,1,0.444433,0.556811,2474.666667,0.79594,4295,2.008692,7969,21.155963
Adder2-4-s-shuffled,1,0.445552,0.556623,361.666667,0.796548,626,2.014947,1171,19.860465
Adder2-6-c-shuffled,1,0.447045,0.556468,651.5,0.797047,1490,2.156916,2765,28.301887
Adder2-6-s-shuffled,1,0.444877,0.55674,856.666667,0.79617,1485,2.011384,2765,20.584615
adder-4-sat-shuffled,1,0.984906,0.729904,87,0.370044,522,3.883019,280,16.792453
adder-6-sat-shuffled,1,0.990469,0.75084,205.5,0.331842,1247,4.399523,648,17.839662
adder-8-sat-shuffled,1,0.993031,0.766531,374,0.30458,2280,4.839721,1168,18.333333
adder-8-unsat-shuffled,1,0.999566,0.838756,485,0.192241,2302,9.205818,1182,14.830189
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819,177,0.681185,161,1.792839,454,10.56
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672,138,0.670363,161,1.756391,376,9.78
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453,198,0.679395,199,1.78579,496,12.94
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456,161,0.670968,199,1.757212,422,12.2
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193,230,0.668912,340,1.753957,560,20.6
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539,362,0.667948,597,1.752158,824,36.2
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473,361,0.668132,599,1.752467,822,36.2
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505,361,0.668043,595,1.751236,822,36.16
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505,281,0.670829,320,1.760238,762,9.81
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265,282,0.6715,317,1.760238,764,9.79
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894,322,0.669618,399,1.757958,844,12.22
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278,459.5,0.668675,678,1.754595,1119,20.56
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452,461,0.668191,676,1.753508,1122,20.6
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909,114,0.692308,81,1.824786,278,11.6
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311,69,0.671371,81,1.753754,188,9.8
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071,114,0.692878,80,1.82227,278,11.6
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878,91,0.683849,80,1.791457,232,10.68
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051,114,0.693452,79,1.824034,278,11.52
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142,88,0.683099,79,1.78866,226,10.48
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813,69,0.672764,79,1.752266,188,9.72
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226,80,0.668821,100,1.751807,210,12.24
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915,101,0.680912,100,1.786611,252,13.04
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456,80,0.670968,101,1.754808,210,12.24
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919,114,0.668919,171,1.751804,278,20.6
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078,115,0.669231,171,1.752874,280,20.64
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897,193.5,0.669533,295,1.757212,437,36.56
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735,179,0.667402,299,1.749794,408,36.16
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392,589,0.750112,2231,2.151479,3041,51.333333
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315,0.571415,1185.666667,0.750041,6114,2.08292,7349,98.042553
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421,0.588151,7543,0.700244,3443,2.217683,7543,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816,155.347826,0.74272,11213,2.213716,14383,2969.494505
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547,41.97561,0.731461,841,2.229412,1761,110
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431,67.024691,0.74122,3689,2.200349,5509,942
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065,40.86,0.748054,2689,2.215977,4185,622.787879
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631,201.317241,0.746325,25121,2.221992,29335,6843.333333
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007,89.69863,0.74823,10681,2.223643,13241,2666.537931
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744,152.424893,0.749035,31663,2.218494,35747,9240.137931
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518,41.807339,0.749726,3121,2.224891,4665,688.888889
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866,55.242424,0.733505,927,2.244414,1855,88
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948,133.680412,0.745358,10319,2.227045,13063,2440
