@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE csp_log_search_vars NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE csp_dyn_log_avg_weight NUMERIC
@ATTRIBUTE csp_dyn_log_stdev_weight NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE csp_percent_gac_predicate NUMERIC
@ATTRIBUTE csp_log_extra_bits NUMERIC
@ATTRIBUTE csp_max_arity NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE csp_dyn_log_nodes NUMERIC
@ATTRIBUTE csp_percent_ext NUMERIC
@ATTRIBUTE csp_num_alldiff NUMERIC
@ATTRIBUTE csp_percent_cumulative NUMERIC
@ATTRIBUTE csp_log_booleans NUMERIC
@ATTRIBUTE csp_log_constants NUMERIC
@ATTRIBUTE csp_perten_binext NUMERIC
@ATTRIBUTE csp_log_extra_values NUMERIC
@ATTRIBUTE csp_perten_largeext NUMERIC
@ATTRIBUTE csp_perten_naryext NUMERIC
@ATTRIBUTE csp_percent_alldiff NUMERIC
@ATTRIBUTE csp_percent_element NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_BINARY+ NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_VCG-VAR-max NUMERIC
@ATTRIBUTE support_BINARY+ NUMERIC
@ATTRIBUTE direct_reducedClauses NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE direct_VG-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-VAR-mean NUMERIC
@ATTRIBUTE direct_reducedVars NUMERIC
@ATTRIBUTE support_horn-clauses-fraction NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_VG-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE directorder_nvarsOrig NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE support_reducedClauses NUMERIC
@ATTRIBUTE support_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE direct_VCG-VAR-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-VAR-mean NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE direct_nvarsOrig NUMERIC
@ATTRIBUTE support_VCG-VAR-min NUMERIC
@ATTRIBUTE support_VG-min NUMERIC
@ATTRIBUTE support_nvarsOrig NUMERIC
@ATTRIBUTE direct_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE directorder_VG-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_HORNY-VAR-min NUMERIC
@ATTRIBUTE directorder_nclausesOrig NUMERIC
@ATTRIBUTE support_VCG-VAR-max NUMERIC
@ATTRIBUTE direct_TRINARY+ NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE support_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_nclauses NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-mean NUMERIC
@ATTRIBUTE direct_VG-min NUMERIC
@ATTRIBUTE direct_VCG-VAR-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE direct_VCG-VAR-max NUMERIC
@ATTRIBUTE support_HORNY-VAR-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE direct_vars-clauses-ratio NUMERIC
@ATTRIBUTE directorder_nvars NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE direct_VCG-VAR-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE direct_HORNY-VAR-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE support_VG-coeff-variation NUMERIC
@ATTRIBUTE direct_nvars NUMERIC
@ATTRIBUTE directorder_VG-coeff-variation NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-min NUMERIC
@ATTRIBUTE support_HORNY-VAR-max NUMERIC
@ATTRIBUTE direct_nclausesOrig NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.479653,0.293021,0.777778,0.816869,0.660065,0.536267,3.651416,0.20904,1.656538,0.825556,0.976668,0.944361,0.324843,0.801513,0.292424,0.751209,0.292424,0.979207,0.223239,0.439007,0.006536,0.24905,0.801513,0.004205,0.536267,1.382979,0.001901,0.751209,0.567514,0.006897,0.744636,0.001726,0.001445,0.001445,1.882759,0.844536,0.38341,0.001726,0.38341,0.673224,0.004341,8540,0.002713,0.223239,1.457447,2.476587,0.499301,0.001445,0.001445,0.833333,0.476199,0.001404,0.001404,0.833333,5016,0.000604,0.000725,5016,2.476587,0.000678,0.439007,0.000242,19584,0.003748,0.979207,0.001149,0.559339,7372,0.744636,0.00109,0.000725,0.000604,2.31674,0.003748,0.00115,0,0.559339,0.210348,1836,0.001149,2.628313,2.695727,0,0.00115,0.006897,0.001089,0.507818,1740,0.572062,0.000271,0.003022,19712
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.483508,0.297583,0.789474,0.76434,0.651508,0.545315,3.484095,0.206463,1.598451,0.835832,0.987506,0.930218,0.328985,0.752187,0.29602,0.754216,0.29602,0.989001,0.222688,0.435713,0.006461,0.251374,0.752187,0.003373,0.545315,1.33106,0.00177,0.754216,0.579817,0.0069,0.712568,0.001597,0.001326,0.001326,1.81104,0.855477,0.392928,0.001597,0.392928,0.69182,0.004123,9022,0.002624,0.222688,1.402332,2.455032,0.512696,0.001326,0.001326,0.84,0.480723,0.001275,0.001275,0.84,5296,0.00055,0.00066,5296,2.455032,0.000625,0.435713,0.00033,20798,0.00297,0.989001,0.001062,0.574302,8004,0.712568,0.001007,0.00066,0.00055,2.284446,0.00297,0.001074,0,0.574302,0.207215,2012,0.001062,2.610938,2.631777,0,0.001074,0.0069,0.000994,0.529249,1884,0.599616,0.000375,0.00286,21194
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.481471,0.282691,0.764706,0.769644,0.656667,0.532856,3.620413,0.203573,1.703235,0.827353,0.987059,0.924554,0.32901,0.760522,0.282438,0.750221,0.282438,0.988341,0.219396,0.439869,0.006307,0.256471,0.760522,0.003971,0.532856,1.423158,0.001983,0.750221,0.573834,0.006691,0.71809,0.001823,0.001526,0.001526,1.880779,0.844462,0.38525,0.001823,0.38525,0.652395,0.004559,8058,0.002794,0.219396,1.50053,2.414206,0.485077,0.001526,0.001526,0.826087,0.467997,0.001471,0.001471,0.826087,4736,0.000662,0.000795,4736,2.414206,0.000735,0.439869,0.000397,18382,0.003577,0.988341,0.001217,0.546532,6800,0.71809,0.001149,0.000795,0.000662,2.248823,0.003577,0.001218,0,0.546532,0.217806,1744,0.001217,2.595134,2.604988,0,0.001218,0.006691,0.001147,0.4899,1644,0.558529,0.000441,0.00318,18290
bool/routing/s4-4-3-10.xml,1,46.186709,43.196203,1.414214,1.414214,14.238703,12.212496,12.319672,12.544482,100,100,-1,52.294304,-1,22.250256,-1,-1,29.825949,6.588144,8.325831,-1,47.705696,-1,35,0,11.584023,0,0,-1,9.714246,-1,-1,-1,-1,-1,-1,-1,0.462559,0.321339,0.846154,0.767897,0.661915,0.551701,3.042629,0.213428,1.222393,0.844235,0.98773,0.914008,0.336567,0.752484,0.317192,0.766356,0.317192,0.989765,0.224379,0.418256,0.001992,0.226453,0.752484,0.001038,0.551701,1.042821,0.000371,0.766356,0.559734,0.002078,0.681587,0.000316,0.000258,0.000258,1.456359,0.870071,0.397922,0.000316,0.397922,0.949205,0.001263,40588,0.000722,0.224379,1.090382,2.589215,0.695827,0.000258,0.000258,0.9,0.654877,0.000257,0.000257,0.9,23640,0.000094,0.000113,23640,2.589215,0.000113,0.418256,0.000038,98532,0.000865,0.989765,0.000208,0.816502,44336,0.681587,0.000206,0.000113,0.000094,2.34107,0.000865,0.000214,0,0.816502,0.181066,10040,0.000208,2.646799,2.841234,0,0.000214,0.002078,0.000199,0.754775,9624,0.815449,0.000045,0.000847,108580
bool/routing/s4-4-3-7.xml,1,46.187192,43.093596,1.414214,1.414214,13.919794,11.893302,12.000704,12.225207,100,100,-1,52.413793,-1,22.330623,-1,-1,29.832512,7.601634,9.707798,-1,47.586207,-1,28,0,12.23721,0,0,-1,9.392317,-1,-1,-1,-1,-1,-1,-1,0.449685,0.29908,0.826087,0.745359,0.662032,0.526881,3.076241,0.207762,1.325718,0.83071,0.990874,0.905148,0.333778,0.740949,0.297968,0.758938,0.297968,0.992154,0.218561,0.42557,0.002153,0.241808,0.740949,0.001286,0.526881,1.102417,0.000455,0.758938,0.56079,0.002227,0.679863,0.000399,0.000329,0.000329,1.46043,0.854457,0.388754,0.000399,0.388754,0.842843,0.001501,32186,0.000766,0.218561,1.155863,2.453363,0.606099,0.000329,0.000329,0.878788,0.616617,0.000328,0.000328,0.878788,18778,0.000132,0.000158,18778,2.453363,0.000153,0.42557,0.000079,75944,0.001106,0.992154,0.000262,0.74263,32654,0.679863,0.000259,0.000158,0.000132,2.208289,0.001106,0.000267,0,0.74263,0.200937,7896,0.000262,2.603671,2.73884,0,0.000267,0.002227,0.000253,0.669593,7632,0.732722,0.000092,0.001,79854
bool/routing/s4-4-3-6.xml,1,46.072187,42.929936,1.414214,1.414214,13.811776,11.78627,11.890264,12.120238,100,100,-1,52.866242,-1,22.338246,-1,-1,29.766454,8.392287,10.294978,-1,47.133758,-1,26,0,12.635038,0,0,-1,9.285402,-1,-1,-1,-1,-1,-1,-1,0.443348,0.295157,0.826087,0.748011,0.659588,0.519115,3.142299,0.206536,1.380052,0.826689,0.990547,0.906368,0.331598,0.74537,0.294703,0.755553,0.294703,0.991833,0.217006,0.428764,0.002372,0.245513,0.74537,0.001439,0.519115,1.135992,0.0005,0.755553,0.562843,0.002451,0.683011,0.00044,0.000363,0.000363,1.498847,0.850278,0.386366,0.00044,0.386366,0.814901,0.00161,29692,0.000856,0.217006,1.191739,2.459983,0.582556,0.000363,0.000363,0.870968,0.604699,0.000362,0.000362,0.870968,17332,0.000148,0.000178,17332,2.459983,0.000171,0.428764,0.000089,69488,0.001243,0.991833,0.000288,0.722037,29196,0.683011,0.000284,0.000178,0.000148,2.203308,0.001243,0.000293,0,0.722037,0.205231,7168,0.000288,2.591751,2.717152,0,0.000293,0.002451,0.000279,0.652664,6936,0.715549,0.000103,0.001065,72188
bool/routing/s4-4-3-3.xml,1,45.957011,43.172979,1.414214,1.414214,13.854284,11.82893,11.938844,12.160502,100,100,-1,52.09826,-1,22.453396,-1,-1,29.662231,7.456181,9.529843,-1,47.90174,-1,27,0,12.120886,0,0,-1,9.33985,-1,-1,-1,-1,-1,-1,-1,0.447443,0.299404,0.833333,0.776151,0.663327,0.523898,3.177639,0.209201,1.36466,0.827035,0.985395,0.916379,0.3309,0.768292,0.298627,0.757162,0.298627,0.987416,0.219206,0.427522,0.002312,0.240749,0.768292,0.001506,0.523898,1.130975,0.000488,0.757162,0.558025,0.002385,0.697848,0.000427,0.000353,0.000353,1.514871,0.850968,0.385778,0.000427,0.385778,0.829021,0.001572,30714,0.000819,0.219206,1.186107,2.495726,0.596036,0.000353,0.000353,0.875,0.607346,0.000354,0.000354,0.875,17926,0.000141,0.000169,17926,2.495726,0.000164,0.427522,0.000056,72212,0.001298,0.987416,0.000281,0.728299,30538,0.697848,0.000277,0.000169,0.000141,2.247766,0.001298,0.000285,0,0.728299,0.201117,7352,0.000281,2.607351,2.775007,0,0.000285,0.002385,0.000272,0.658627,7128,0.719549,0.000065,0.001044,75526
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.481201,0.307091,0.809524,0.765146,0.646067,0.550543,3.416667,0.209304,1.532627,0.841616,0.9879,0.933322,0.329536,0.751018,0.3046,0.755148,0.3046,0.989517,0.224411,0.433981,0.006579,0.246327,0.751018,0.002917,0.550543,1.279109,0.001602,0.755148,0.584632,0.007062,0.707889,0.001427,0.001173,0.001173,1.779661,0.862785,0.397869,0.001427,0.397869,0.738036,0.004213,10070,0.002485,0.224411,1.345751,2.549873,0.544859,0.001173,0.001173,0.851852,0.498845,0.001127,0.001127,0.851852,5904,0.000468,0.000562,5904,2.549873,0.00054,0.433981,0.000281,23442,0.002902,0.989517,0.000942,0.610309,9256,0.707889,0.000897,0.000562,0.000468,2.360935,0.002902,0.00096,0,0.610309,0.198802,2280,0.000942,2.602402,2.681685,0,0.00096,0.007062,0.000877,0.575699,2124,0.645619,0.000324,0.002808,24350
bool/routing/s4-4-3-2.xml,1,45.932377,43.002049,1.414214,1.414214,13.857592,11.83289,11.938109,12.166791,100,100,-1,52.663934,-1,22.390748,-1,-1,29.661885,7.159019,8.714405,-1,47.336066,-1,27,0,11.909518,0,0,-1,9.33985,-1,-1,-1,-1,-1,-1,-1,0.448351,0.300169,0.833333,0.777142,0.662973,0.524938,3.211032,0.209541,1.379749,0.827309,0.985224,0.916689,0.330922,0.768839,0.299301,0.757404,0.299301,0.987276,0.219729,0.427167,0.002333,0.240369,0.768839,0.001517,0.524938,1.143547,0.000493,0.757404,0.558339,0.002409,0.697,0.000432,0.000357,0.000357,1.538549,0.851284,0.386344,0.000432,0.386344,0.829477,0.001583,30690,0.000825,0.219729,1.198989,2.506381,0.597451,0.000357,0.000357,0.875,0.606948,0.000357,0.000357,0.875,17912,0.000142,0.00017,17912,2.506381,0.000165,0.427167,0.000057,72154,0.001307,0.987276,0.000283,0.727517,30320,0.697,0.000279,0.00017,0.000142,2.259649,0.001307,0.000288,0,0.727517,0.200409,7288,0.000283,2.609208,2.781344,0,0.000288,0.002409,0.000274,0.658517,7056,0.71955,0.000066,0.001051,75470
bool/routing/s4-4-3-8.xml,1,51.779141,44.355828,1.414214,1.414214,13.228819,11.207014,11.326429,11.537218,100,100,-1,51.226994,-1,22.166801,-1,-1,32.392638,8.059077,9.792346,-1,48.773006,-1,18,0,12.549785,0,0,-1,8.754888,-1,-1,-1,-1,-1,-1,-1,0.436277,0.262862,0.764706,0.753923,0.669053,0.488745,3.45073,0.19902,1.637232,0.806444,0.989021,0.897477,0.328171,0.755399,0.264899,0.746465,0.264899,0.990043,0.209147,0.438613,0.002509,0.261575,0.755399,0.002506,0.488745,1.331602,0.000766,0.746465,0.552982,0.002561,0.698635,0.000703,0.000593,0.000593,1.66108,0.824459,0.3716,0.000703,0.3716,0.642607,0.002029,19512,0.001134,0.209147,1.402165,2.270791,0.465943,0.000593,0.000593,0.826087,0.560055,0.000594,0.000594,0.826087,11432,0.000271,0.000325,11432,2.270791,0.000298,0.438613,0.000162,44200,0.002273,0.990043,0.000466,0.619107,16760,0.698635,0.000452,0.000325,0.000271,2.068874,0.002273,0.000462,0,0.619107,0.232468,4384,0.000466,2.493205,2.537006,0,0.000462,0.002561,0.000456,0.509404,4296,0.571078,0.000179,0.001299,43088
