@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345,0.7382,0.2114,0.9325,0.1516,1.2873
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207,0.148,1.3838
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312,0.1326,0.1504,0.158,0.0823,2.1902
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963,0.9568,0.5,0.9588,0.0364,1.285
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682,0.8538,0.4564,0.8665,0.0924,1.4683
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375,0.5302,0.2106,0.5338,0.172,1.0399
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692,0.4435,0.4444,0.468,0.1323,1.7696
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743,0.0308,1.0885
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766,0.9423,0.5,0.9501,0.0475,1.3557
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,1.7399,0.6702,0.4236,0.2397,0.8331,0.196,1.2752
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,3.7759,0.71,0.473,0.5,0.7697,0.172,1.3928
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.0597,0.5616,0.6001,0.3082,0.6106,0.1943,1.1565
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,2.5898,1.0367,0.7373,0.1983,0.9281,0.1535,1.2983
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,10.0823,0.5022,0.4298,0.4592,0.4899,0.0774,2.0001
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,6.4492,0.5276,0.4416,0.4725,0.5069,0.1111,2.0589
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.9868,0.9831,0.732,0.1345,0.8731,0.1733,1.3791
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128,0.1831,1.2995
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2585,0.557,0.9406,0.1496,0.3812,0.083,0.9247
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2053,0.892,0.178,1.3751
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0753,0.593,0.9495,0.5,0.9471,0.0439,1.0688
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,5.2587,0.7558,0.4758,0.4377,0.8536,0.1611,1.4908
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,2.2488,1.0315,0.5984,0.3401,0.6631,0.1359,1.9424
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2055,0.892,0.178,1.3751
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946,0.7414,0.1485,0.8708,0.1789,1.3841
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,3.0716,0.6638,0.3481,1,0.8913,0.2186,1.0625
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.5733,0.6186,0.4079,0.135,0.4828,0.2042,1.4091
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.3211,0.7889,0.5045,0.438,0.7211,0.2072,1.2865
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.515,0.6051,0.4036,0.135,0.4731,0.2023,1.3961
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.2666,0.5036,0.9607,0.5,0.9978,0.0571,0.6491
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,1.092,0.9944,0.7393,0.1588,0.8754,0.176,1.3813
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.0308,2.124,0.2316,0.5,0.3436,0.1019,0.6002
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.9554,0.9814,0.7314,0.1312,0.8711,0.1739,1.3793
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,6.9416,0.7266,0.4556,0.5,0.6942,0.1531,1.85
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.1772,0.9241,0.9746,0.5,0.9692,0.025,0.9209
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,1.5064,0.4117,0.5294,0.1579,0.5407,0.1696,1.0047
