@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Running_Avg_LBD-4 NUMERIC
@ATTRIBUTE Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-1 NUMERIC
@ATTRIBUTE Learnt_from_Conflict-1 NUMERIC
@ATTRIBUTE Other_Constraints NUMERIC
@ATTRIBUTE Avg_LBD_Levels-1 NUMERIC
@ATTRIBUTE Frac_Ternary_Constraints NUMERIC
@ATTRIBUTE Frac_Other_Constraints NUMERIC
@ATTRIBUTE Choices-1 NUMERIC
@ATTRIBUTE Conflicts/Choices-1 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-1 NUMERIC
@ATTRIBUTE Removed_Nogoods-1 NUMERIC
@ATTRIBUTE Learnt_Binary-1 NUMERIC
@ATTRIBUTE Learnt_Ternary-1 NUMERIC
@ATTRIBUTE Learnt_Others-1 NUMERIC
@ATTRIBUTE Running_Avg_LBD-1 NUMERIC
@ATTRIBUTE Choices-2 NUMERIC
@ATTRIBUTE Conflicts/Choices-2 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-2 NUMERIC
@ATTRIBUTE Avg_LBD_Levels-2 NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-1 NUMERIC
@ATTRIBUTE Longest_Backjumping-1 NUMERIC
@ATTRIBUTE Avg_Skipped_Levels_while_Backjumping-1 NUMERIC
@ATTRIBUTE Frac_Learnt_Binary-1 NUMERIC
@ATTRIBUTE Frac_Removed_Nogood-1 NUMERIC
@ATTRIBUTE Frac_Learnt_Ternary-1 NUMERIC
@ATTRIBUTE Skipped_Levels_while_Backjumping-1 NUMERIC
@ATTRIBUTE Frac_Learnt_Others-1 NUMERIC
@ATTRIBUTE Frac_Binary_Constraints NUMERIC
@ATTRIBUTE Ternary_Constraints NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-4 NUMERIC
@ATTRIBUTE Free_Problem_Variables NUMERIC
@ATTRIBUTE Constraints NUMERIC
@ATTRIBUTE Constraints/Vars NUMERIC
@ATTRIBUTE Created_Bodies NUMERIC
@ATTRIBUTE Program_Atoms NUMERIC
@ATTRIBUTE SCCS NUMERIC
@ATTRIBUTE Assigned_Problem_Variables NUMERIC
@ATTRIBUTE Problem_Variables NUMERIC
@ATTRIBUTE Binary_Constraints NUMERIC
@ATTRIBUTE Tight NUMERIC
@ATTRIBUTE Frac_Pos_Body NUMERIC
@ATTRIBUTE Frac_Unary_Rules NUMERIC
@ATTRIBUTE Frac_Binary_Rules NUMERIC
@ATTRIBUTE Frac_Ternary_Rules NUMERIC
@ATTRIBUTE Frac_Integrity_Rules NUMERIC
@ATTRIBUTE Nodes_in_Positive_BADG NUMERIC
@ATTRIBUTE Rules NUMERIC
@ATTRIBUTE Normal_Rules NUMERIC
@ATTRIBUTE Cardinality_Rules NUMERIC
@ATTRIBUTE Body-Body_Equivalences NUMERIC
@ATTRIBUTE Other_Equivalences NUMERIC
@ATTRIBUTE Frac_Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Frac_Body-Body_Equivalences NUMERIC
@ATTRIBUTE Frac_Other_Equivalences NUMERIC
@ATTRIBUTE Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Equivalences NUMERIC
@ATTRIBUTE Frac_Weight_Rules NUMERIC
@ATTRIBUTE Weight_Rules NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,1,2.81,0,0,619,0,1,0,1,32,554,3.875,0.2845,0.005,109,0.2936,17.9062,0,1,0,31,1.24,243,0.2716,25.0606,4.0152,5.73,24,2.6875,0.0312,0,0,86,0.9688,0.7105,31506,19.65,32355,110728,2.7004,35537,10803,0,8649,41004,78668,1,0.7602,0.0029,0.0249,0.9692,0.2315,0,36254,36182,36,125,2799,0.1925,0.0345,0.773,697,3621,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,1,7.73,0,0,911,0,1,0,1,32,329,12.4375,0.006,0.9821,89,0.3596,36.3125,0,0,0,32,3.98,130,0.5,21.9385,9.7692,11.62,16,1.7188,0,0,0,55,1,0.0119,2,9.37,342,335,0.1249,2725,4699,0,2341,2683,4,1,0.9809,0.4009,0.4678,0.0016,0.467,0,5024,4456,280,98,6597,0.231,0.0113,0.7578,2011,8706,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,1,8.16,0,0,917,0,1,0,1,33,330,12.6667,0.0119,0.9851,71,0.4648,33.0909,0,1,2,30,4.18,118,0.5593,21.697,10.4242,10.92,3,1.2727,0.0303,0,0.0606,42,0.9091,0.003,4,10.28,342,335,0.1249,2725,4699,0,2341,2683,1,1,0.9809,0.4009,0.4678,0.0016,0.467,0,5024,4456,280,98,6597,0.231,0.0113,0.7578,2011,8706,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,1,7.77,0,0,802,0,1,0,1,32,328,8.4062,0.006,0.985,100,0.32,22.7188,0,0,0,32,2.69,157,0.4076,15.125,7.125,7.27,35,2.5625,0,0,0,82,1,0.009,2,10.14,342,333,0.1241,2725,4699,0,2341,2683,3,1,0.9809,0.4009,0.4678,0.0016,0.467,0,5024,4456,280,98,6597,0.231,0.0113,0.7578,2011,8706,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,1,8.23,0,0,953,0,1,0,1,32,325,16.25,0.0091,0.9909,84,0.381,40.375,0,0,0,32,5.2,136,0.4706,25.9219,12.0781,12.92,8,1.4375,0,0,0,46,1,0,3,11.3,342,328,0.1223,2725,4699,0,2341,2683,0,1,0.9809,0.4009,0.4678,0.0016,0.467,0,5024,4456,280,98,6597,0.231,0.0113,0.7578,2011,8706,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,1,23.23,0,0,579,0,1,0,1,32,301,17.75,0.9819,0.0011,511,0.0626,44.1562,0,1,0,31,5.68,596,0.1091,40.7231,17.0615,14.13,48,14,0.0312,0,0,448,0.9688,0.0169,258759,63.41,2365,263526,0.9924,265476,2887,0,263181,265546,4466,1,0.9923,0.0011,0.0008,0.0171,0.9756,0,269776,265686,1975,90,4787,0.057,0.0174,0.9256,295,5172,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,1,16.7,0,0,509,0,1,0,1,32,243,15.4375,0.9806,0.0015,342,0.0936,44.3438,0,1,0,31,4.94,425,0.1506,40.2031,15.0938,14.19,36,8.9688,0.0312,0,0,287,0.9688,0.0179,157501,52.2,1545,160624,0.9924,161740,2007,0,160305,161850,2880,1,0.9923,0.0017,0.0011,0.016,0.9749,0,164440,161852,1293,70,3085,0.0828,0.0203,0.8968,285,3440,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,1,20.45,0,0,453,0,1,0,1,32,245,13.4688,0.9805,0.0015,310,0.1032,50.125,0,1,1,30,4.31,383,0.1671,42.0469,15.4219,16.04,36,7.625,0.0312,0,0.0312,244,0.9375,0.0179,157500,52.62,1545,160625,0.9924,161741,2007,0,160306,161851,2880,1,0.9923,0.0017,0.0011,0.016,0.9748,0,164441,161851,1295,70,3087,0.0828,0.0203,0.8969,285,3442,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,1,5.94,0,0,32,0,1,0,1,32,305,1,0.9822,0.0012,64,0.5,2,0,0,0,32,0.32,127,0.5039,1.9844,1,0.64,2,2,0,0,0,64,1,0.0166,258754,162.63,2319,263433,0.9924,265431,2887,0,263138,265457,4374,1,0.9925,0.0013,0.0008,0.0161,0.9759,0,269689,265597,2021,90,4786,0.0572,0.0174,0.9254,296,5172,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,1,21.3,0,0,430,0,1,0,1,32,242,12.75,0.9806,0.0015,301,0.1063,41.4688,0,1,0,31,4.08,374,0.1711,37.75,13.9219,13.27,39,7.75,0.0312,0,0,248,0.9688,0.0179,157500,66.19,1545,160622,0.9924,161738,2007,0,160303,161848,2880,1,0.9923,0.0017,0.0011,0.016,0.9749,0,164438,161856,1287,70,3081,0.0829,0.0204,0.8967,285,3436,0,0
