@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.1747,0.5705,0.093,0.1256,42000,0.2908,0.2943,0.719
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1457,0.7335,0.0797,0.1191,583000,2.0163,1.7597,1.7696
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.004,0.2539,0.0019,0.0025,2343,0.112,0.0156,0.8309
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.3595,0.9999,0.0924,0.1174,1810000,6.6383,1.3191,1.3557
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.1772,0.5731,0.0934,0.1258,75600,0.2896,0.2932,0.7172
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0451,0.9033,0.018,0.0222,12647,0.4576,0.1936,0.7312
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.1773,0.5701,0.0925,0.1249,42000,0.2911,0.2948,0.7103
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0292,0.8447,0.0156,0.022,1410000,0.5454,0.5132,1.3791
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.074,0.3782,0.0377,0.0442,74257,0.7131,1.2355,1.2995
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.2505,1,0.0511,0.0047,5580000,6.6361,4.0607,0.416
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.4493,0.9448,0.1631,0.3135,440000,1.8731,1.5958,1.6811
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.1335,0.7286,0.0658,0.1328,148000,1.065,0.8326,1.3213
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0232,0.9935,0.0108,0.0119,1880000,0.5907,0.2462,0.4809
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.1706,0.5326,0.0835,0.1147,1785,0.3002,0.2966,0.7327
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0002,0.0998,0.0001,0.0001,15300,0.0398,0,1.0093
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0.0001,0.0784,0.0001,0.0001,5785,0.0429,0,0.9999
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0.2684,1,0.0523,0.0134,2320000,5.6053,3.4014,0.5625
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0698,0.1343,0.0598,0.0697,19785,0.5453,0.9218,1.2804
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.1583,0.5516,0.0806,0.1097,2130,0.2856,0.28,0.6081
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3786,0,0.3561,0.373,232,0.1231,0.0799,1.1977
