@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0782,0,0.0124,0.3469,22.2967,15.6807,1,0.9218,10.9159,1.0967,0.71,0.8082,0,0.6491,2.2552,37.8226,23.9398,0,0.689,0,4539,1,0,0.6646,0,37.891,?,0.6249,0,0.0008,0.01,37.8226
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.0097,0.8047,0,0.009,1.8382,5.7333,0.2457,0,6.7141,0.017,0.1227,0.7036,1.3505,0.0445,0.0005,18.2995,1.031,0.4946,0.1459,0.4941,2729,0,0,0.0908,0.4947,20.9786,?,0.0429,0.4944,0.0004,0.0588,18.2995
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0.0915,0,0,0.306,21.2099,34.2936,1,0.9085,23.3456,1.0759,0.6901,0.7939,0,0.6431,2.4238,48.9554,23.5432,0,0.6566,0,305,1,0,0.6469,0,50.7683,?,0.6343,0,0.0005,0.0077,47.2687
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.0185,0.9439,0.2362,35.6272,207.891,0.9956,0.9439,22.5385,1.6272,0.832,0.8762,0.2249,0.8116,7.5434,45.5938,41.2197,0,0.8322,0,104,0.6,0.0417,0.8219,0,50.387,?,0.7761,0,0.0007,0.0015,44.0117
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.675,1.0005,0.8333,0.4506,1.1006,4.0352,0.4675,0.8333,7.0228,0.4472,0.5832,0.8324,1.1239,0.5831,0.0001,32.4055,0.5805,0.2295,0.5832,0.2294,4481,0,0,0.5831,0.2295,36.5026,0.0952,0.5831,0.2295,0.0021,0.01,32.4055
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.011,0.972,0.1742,31.1851,11.9732,0.9984,0.972,24.2363,1.8403,0.8878,0.9554,0.11,0.8649,3.8924,57.0222,31.8335,0,0.8904,0,316,0.8947,0.039,0.8761,0,73.2541,?,0.8144,0,0.0014,0.0031,57.0222
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0,0.875,0.3768,3.4182,14.2288,1,0.875,14.8967,1.186,0.7476,0.8672,0,0.7474,0.0018,72.2519,2.5406,0.0302,0.7476,0.0302,4876,1,0,0.7475,0.0303,74.7654,0.0095,0.7473,0.0302,0.0078,0.0089,72.2519
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0,0.8182,0.4741,2.5267,7.8199,1,0.8182,8.3109,0.8932,0.6722,0.8174,0,0.6721,0.0012,32.7716,2.0526,0.0529,0.6722,0.0528,4886,1,0,0.6721,0.0529,34.7516,0.022,0.672,0.0528,0.0164,0.02,32.7716
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.0123,0.9668,0.1845,33.2679,14.5795,0.9979,0.9668,50.1405,1.8272,0.8774,0.9515,0.1337,0.8555,3.7055,66.3086,36.4759,0,0.8792,0,403,0.8667,0.0387,0.8687,0,67.2804,?,0.7881,0,0.0014,0.0031,66.3086
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.0831,0,0.003,0.3096,22.543,17.5204,1,0.9169,10.558,1.105,0.7059,0.8173,0,0.6446,2.3397,40.5477,24.7775,0,0.6842,0,4572,1,0,0.6578,0,47.6253,?,0.6291,0,0.0009,0.0099,40.5477
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.3424,0.7888,0.0047,1.1714,1.2997,4.458,0.4094,0.3768,5.0736,0.2548,0.0251,0.934,1.6647,0.0003,1.0607,24.9333,0.9793,0.046,0.0029,0.0137,4150,0,0.3957,0.0007,0.0481,26.4121,0.244,0,0.0238,0.0024,0.0144,24.9333
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0.4888,0.5767,0,0,0.6854,1.1161,0.4888,1,2.7912,0,0.0281,0.9625,0.543,0.0008,0.0432,21.4828,0.4058,0.3193,0.0107,0.2645,3552,0.3333,0,0.0026,0.325,22.594,0.1538,0,0.3217,0,0.0173,21.4828
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0.0105,0.8027,0,0.0085,1.1552,9.7488,0.2473,0,10.4022,0.0165,0.1157,0.6443,1.3548,0.0004,0.0024,15.6726,0.6999,0.4943,0.0979,0.4913,1156,0,0,0.0886,0.4951,16.878,?,0.0002,0.4939,0.0004,0.0333,15.6245
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.7538,0,0.0152,0.6323,11.6955,20.6012,1,0.0152,20.037,0.5846,0.4251,0.8664,0,0.425,0.0011,25.8554,11.5795,0,0.4251,0,325,1,0.3333,0.4251,0,29.0299,?,0.425,0,0.0041,0.0028,25.6211
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.7188,1.0013,0.9443,0.3209,2.4735,196.581,0.4905,0.947,138.3,0.4568,0.7946,0.7013,0.9452,0.7097,0.1079,19.3545,2.9634,0.015,0.8099,0.0095,22,0,0,0.7644,0.0162,24.0455,0.0089,0.1221,0.0138,0.0001,0.0004,17.4112
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0.231,0.7276,0,0.6882,1.8582,2.9395,0.3737,0.0262,3.62,0.1105,0.0696,0.7689,1.4646,0.0179,0.3152,0,1.4998,0.0049,0.0704,0.0027,0,0,0,0.0355,0.0053,0,0.2793,0.007,0.004,0.0214,0.1,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.0142,0.9523,0.2043,44.9564,184.575,0.9969,0.9523,1242.18,1.8079,0.8304,0.8974,0.1919,0.7211,12.1838,53.2021,51.7307,0,0.8495,0,53,0.8,0.0345,0.791,0,58.9625,?,0.6041,0,0.0004,0.001,51.9048
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.005,0.9829,0.1235,97.7881,5744.47,0.9994,0.9829,1273.77,2.4667,0.9761,0.9574,0.0868,0.9566,1.5082,88.8889,99.2626,0.0214,0.9924,0,14,0.9394,0.0209,0.9785,0.0288,97.0272,?,0.1076,0.0026,0.0003,0.0008,87.8406
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.2613,0.9871,0.0073,0.163,0.2524,822,0.2574,0.0332,373.5,0.0583,0.0192,0.1106,0.8321,0.0001,0.2287,0,0.2318,0.3151,0.0002,0,0,0,1.0256,0.0001,0.3325,0,0.2278,0,0.3316,0,0.0001,0
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.7532,0,0.013,0.6243,11.9471,45.6368,1,0.013,47.1391,0.5836,0.4081,0.8098,0,0.408,0.0018,26.6054,10.8717,0,0.408,0,337,1,0.3333,0.408,0,28.708,?,0.4077,0,0.0036,0.0024,26.1269
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.7551,0,0.0203,0.65,7.0723,1.5435,1,0.0203,0.6013,0.5871,0.457,0.9633,0,0.457,0.0004,25.5971,5.9841,0.0002,0.457,0.0002,278,1,0.3333,0.457,0.0002,27.5762,?,0.4568,0.0002,0.0055,0.0037,25.3638
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.7464,1.0111,0.9787,0.1227,38.6444,11.9654,0.4921,0.9787,45.4502,1.8278,0.9087,0.9711,0.8149,0.8796,2.6608,64.6269,37.6613,0,0.9129,0,78,0,0.0345,0.8978,0,87.8974,?,0.8552,0,0.0009,0.0034,64.6269
