@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075
3-fullins-3-5.xml.watchless.minion.gz,1,0.075
3-fullins-3-6.xml.watchless.minion.gz,1,0.075
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603
4-fullins-5-8.xml.watchless.minion.gz,1,0.00603
