@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE top-good-mean NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.36364,0.6,16,625,0,0.3625,29,5,6,1.55346,0.3125,0.0625,2,2.00998,8,4.6
BF1_cpmp_16_5_48_10_29_12,1,4.36364,0.6,16,0.5625,0,0.3625,29,5,7,1.61091,0.3125,0.1875,2,2.26623,9,4.55556
BF1_cpmp_16_5_48_10_29_14,1,4.36364,0.6,16,625,0,0.3625,29,5,7,1.72008,0.3125,0.1875,2,1.84662,7,4.3
BF1_cpmp_16_5_48_10_29_15,1,4.36364,0.6,16,0.5,0,0.3625,29,5,6,1.61091,0.3125,0.0625,2,2.29129,9,3.5
BF1_cpmp_16_5_48_10_29_17,1,4.36364,0.6,16,0.5625,0,0.3625,29,5,6,1.55346,0.3125,125,2,2.44949,10,4.66667
BF1_cpmp_16_5_48_10_29_18,1,4.36364,0.6,16,625,0,0.3625,29,5,6,1.55346,0.3125,0.0625,2,1.85742,8,4.5
BF1_cpmp_16_5_48_10_29_19,1,4.36364,0.6,16,0.5625,0,0.3625,29,5,7,1.77214,0.3125,0.0625,2,2.10819,10,5.33333
BF1_cpmp_16_5_48_10_29_20,1,4.36364,0.6,16,625,0,0.3625,29,5,6,1.55346,0.3125,125,2,2.66271,10,4.9
BF1_cpmp_16_5_48_10_29_3,1,4.36364,0.6,16,0.75,0,0.3625,29,5,6,1.49379,0.3125,125,2,2.28522,9,4.33333
BF1_cpmp_16_5_48_10_29_4,1,4.36364,0.6,16,625,0,0.3625,29,5,6,1.49379,0.3125,0.1875,2,2.09762,9,5
BF1_cpmp_16_5_48_10_29_5,1,4.36364,0.6,16,0.5625,0,0.3625,29,5,7,1.72008,0.3125,125,2,2,8,5
BF1_cpmp_16_5_48_10_29_6,1,4.36364,0.6,16,0.75,0,0.3625,29,5,6,1.49379,0.3125,0.25,2,1.65622,7,3.91667
BF1_cpmp_16_5_48_10_29_7,1,4.36364,0.6,16,625,0,0.3625,29,5,5,1.43164,0.3125,0.0625,2,2.05183,8,4.3
BF1_cpmp_16_5_48_10_29_8,1,4.36364,0.6,16,0.5625,0,0.3625,29,5,6,1.55346,0.3125,125,2,2.00616,9,4.55556
BF1_cpmp_16_5_48_10_29_9,1,4.36364,0.6,16,0.75,0,0.3625,29,5,6,1.91988,0.3125,125,2,1.84089,8,4.66667
BF10_cpmp_16_8_77_16_58_13,1,4.52941,0.601562,16,625,0,0.453125,58,8,6,1.37702,0.5,0.1875,2,3.4641,12,8
BF10_cpmp_16_8_77_16_58_3,1,4.52941,0.601562,16,625,0,0.453125,58,8,8,1.57621,0.5,0.1875,3,3.61801,15,6.9
BF10_cpmp_16_8_77_16_58_8,1,4.52941,0.601562,16,625,0,0.453125,58,8,6,1.33362,0.5,0.25,2,3.36006,12,6.1
BF11_cpmp_16_8_77_31_47_10,1,2.40625,0.601562,16,0.75,0,0.367188,49,8,5,0.896499,0.5,0,2,7.32386,26,11.8333
BF11_cpmp_16_8_77_31_47_11,1,2.40625,0.601562,16,0.9375,0,0.367188,49,8,5,1.34302,0.5,0,2,6.05383,23,10.8667
BF11_cpmp_16_8_77_31_47_16,1,2.40625,0.601562,16,875,0,0.367188,51,8,5,0.963696,0.5,0,2,4.39852,17,10.2857
BF11_cpmp_16_8_77_31_47_6,1,2.40625,0.601562,16,1,0,0.367188,51,8,7,1.19529,0.5,0,2,6.99107,25,12.5
BF11_cpmp_16_8_77_31_47_7,1,2.40625,0.601562,16,0.9375,0,0.367188,49,8,5,1.08568,0.5,0,2,6.9519,26,11.7333
BF12_cpmp_16_8_77_31_58_14,1,2.40625,0.601562,16,0.75,0,0.453125,58,8,6,1.08568,0.5,125,3,7.74417,29,14.1667
BF17_cpmp_20_5_60_12_36_1,1,4.61538,0.6,20,0.55,0,0.36,36,5,7,1.54613,0.25,0.1,2,3.11223,12,6.36364
BF17_cpmp_20_5_60_12_36_10,1,4.61538,0.6,20,0.6,0,0.36,36,5,8,1.68881,0.25,0.15,2,2.48328,11,6
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0.6,20,0.65,0,0.36,37,5,7,1.59511,0.25,0.05,2,2.33826,10,4.61538
BF17_cpmp_20_5_60_12_36_12,1,4.61538,0.6,20,0.65,0,0.36,36,5,7,1.59511,0.25,0.05,2,2.69341,10,5.23077
BF17_cpmp_20_5_60_12_36_15,1,4.61538,0.6,20,0.65,0,0.36,36,5,8,1.77757,0.25,0.25,2,2.46394,11,5.92308
BF17_cpmp_20_5_60_12_36_16,1,4.61538,0.6,20,0.65,0,0.36,36,5,7,1.54613,0.25,0.15,2,2.70656,11,5.53846
BF17_cpmp_20_5_60_12_36_17,1,4.61538,0.6,20,0.65,0,0.36,36,5,6,1.49556,0.25,0.15,3,2.06119,10,5.46154
BF17_cpmp_20_5_60_12_36_2,1,4.61538,0.6,20,0.6,0,0.36,36,5,8,1.82033,0.25,0.05,2,2.34965,10,5.25
BF17_cpmp_20_5_60_12_36_20,1,4.61538,0.6,20,0.7,0,0.36,36,5,8,1.77757,0.25,0.1,2,3.26156,12,6.07143
BF17_cpmp_20_5_60_12_36_3,1,4.61538,0.6,20,0.65,0,0.36,37,5,7,1.54613,0.25,0.05,2,2.64239,10,5.30769
BF17_cpmp_20_5_60_12_36_4,1,4.61538,0.6,20,0.55,0,0.36,37,5,7,1.68881,0.25,0.15,2,1.97086,7,4.45455
BF17_cpmp_20_5_60_12_36_5,1,4.61538,0.6,20,0.75,0,0.36,37,5,7,1.49556,0.25,0.05,2,2.86279,11,5.73333
BF17_cpmp_20_5_60_12_36_6,1,4.61538,0.6,20,0.75,0,0.36,36,5,7,1.49556,0.25,0.05,2,2.47656,10,5
BF17_cpmp_20_5_60_12_36_7,1,4.61538,0.6,20,0.55,0,0.36,36,5,7,1.59511,0.25,0.05,2,2.31059,9,5.54545
BF17_cpmp_20_5_60_12_36_8,1,4.61538,0.6,20,0.75,0,0.36,36,5,8,2.13175,0.25,0.1,2,2.79205,11,4.93333
BF18_cpmp_20_5_60_12_45_1,1,4.61538,0.6,20,0.7,0,0.45,45,5,6,1.4432,0.25,0.25,2,3.15015,11,5.92857
BF18_cpmp_20_5_60_12_45_12,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.54613,0.25,0.3,2,2.71825,11,5.33333
BF18_cpmp_20_5_60_12_45_13,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.68881,0.25,0.4,2,2.8419,11,6.41667
BF18_cpmp_20_5_60_12_45_14,1,4.61538,0.6,20,0.65,0,0.45,45,5,7,1.59511,0.25,0.35,3,3.07307,12,7.30769
BF18_cpmp_20_5_60_12_45_15,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.59511,0.25,0.4,2,2.65623,10,5.33333
BF18_cpmp_20_5_60_12_45_16,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.54613,0.25,0.3,2,2.99537,12,5.83333
BF18_cpmp_20_5_60_12_45_17,1,4.61538,0.6,20,0.65,0,0.45,45,5,7,1.59511,0.25,0.3,2,3.19763,10,5.92308
BF18_cpmp_20_5_60_12_45_18,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.68881,0.25,0.3,2,2.81242,11,6.58333
BF18_cpmp_20_5_60_12_45_19,1,4.61538,0.6,20,0.65,0,0.45,45,5,7,1.54613,0.25,0.35,2,2.99704,11,6.69231
BF18_cpmp_20_5_60_12_45_2,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.59511,0.25,0.3,4,2.92855,12,7.08333
BF18_cpmp_20_5_60_12_45_3,1,4.61538,0.6,20,0.6,0,0.45,45,5,7,1.73376,0.25,0.3,2,2.71186,11,5.25
BF18_cpmp_20_5_60_12_45_4,1,4.61538,0.6,20,0.6,0,0.45,45,5,6,1.4432,0.25,0.25,2,2.85287,12,5.83333
BF18_cpmp_20_5_60_12_45_5,1,4.61538,0.6,20,0.6,0,0.45,45,5,9,2.20274,0.25,0.3,2,2.54406,9,5.16667
BF18_cpmp_20_5_60_12_45_6,1,4.61538,0.6,20,0.6,0,0.45,45,5,6,1.49556,0.25,0.4,3,2.5658,10,6.5
BF18_cpmp_20_5_60_12_45_7,1,4.61538,0.6,20,0.65,0,0.45,45,5,7,1.54613,0.25,0.3,2,3.04988,11,5.92308
BF18_cpmp_20_5_60_12_45_8,1,4.61538,0.6,20,0.6,0,0.45,45,5,8,1.94297,0.25,0.35,2,2.81366,12,5.5
BF18_cpmp_20_5_60_12_45_9,1,4.61538,0.6,20,0.6,0,0.45,45,5,6,1.38888,0.25,0.3,2,2.41523,11,7
BF19_cpmp_20_5_60_24_36_1,1,2.4,0.6,20,0.7,0,0.36,36,5,5,0.979796,0.25,0.1,2,5.9983,21,10.1429
BF19_cpmp_20_5_60_24_36_10,1,2.4,0.6,20,0.7,0,0.36,36,5,6,1.13137,0.25,0.15,2,5.70535,20,10.8571
BF19_cpmp_20_5_60_24_36_11,1,2.4,0.6,20,0.5,0,0.36,36,5,5,0.938083,0.25,0.1,4,5.78273,24,9.4
BF19_cpmp_20_5_60_24_36_14,1,2.4,0.6,20,0.7,0,0.36,36,5,4,0.748331,0.25,0,2,4.00319,16,8.21429
BF19_cpmp_20_5_60_24_36_15,1,2.4,0.6,20,0.65,0,0.36,36,5,5,1.0583,0.25,0.05,2,5.0559,21,7.76923
BF19_cpmp_20_5_60_24_36_16,1,2.4,0.6,20,0.65,0,0.36,37,5,4,0.848528,0.25,0.05,3,4.50903,17,9.23077
BF19_cpmp_20_5_60_24_36_17,1,2.4,0.6,20,0.55,0,0.36,36,5,4,0.979796,0.25,0.05,2,5.22708,19,8.36364
BF19_cpmp_20_5_60_24_36_18,1,2.4,0.6,20,0.65,0,0.36,36,5,4,0.8,0.25,0.05,2,5.10598,20,10.0769
BF19_cpmp_20_5_60_24_36_2,1,2.4,0.6,20,0.6,0,0.36,36,5,5,0.979796,0.25,0.05,3,4.82758,20,10.1667
BF19_cpmp_20_5_60_24_36_20,1,2.4,0.6,20,0.55,0,0.36,36,5,4,1.0198,0.25,0.2,2,6.21382,22,8.54545
BF19_cpmp_20_5_60_24_36_3,1,2.4,0.6,20,0.7,0,0.36,36,5,6,1.2,0.25,0.2,2,6.46379,22,10.0714
BF19_cpmp_20_5_60_24_36_5,1,2.4,0.6,20,0.6,0,0.36,36,5,4,0.848528,0.25,0.15,2,6.70976,23,10.75
BF19_cpmp_20_5_60_24_36_6,1,2.4,0.6,20,0.6,0,0.36,37,5,4,0.938083,0.25,0.1,2,6.03405,24,8.58333
BF19_cpmp_20_5_60_24_36_7,1,2.4,0.6,20,0.55,0,0.36,36,5,4,1.0198,0.25,0.15,3,5.80396,24,8.63636
