@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.164629,6.074257
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0.086849,11.514184
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.231214,4.325
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.288793,3.462687
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.509091,1.964286
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0.151677,6.592965
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.268642,3.72242
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0.151677,6.592965
normalized-37s-smv.xml.mzn_AND_NODATA,1,0.394432,2.535294
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0.095787,10.439868
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0.095787,10.439868
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0.06983,14.320423
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0.114926,8.701235
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0.095787,10.439868
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0.264624,3.778947
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0.194444,5.142857
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0.194444,5.142857
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0.164629,6.074257
normalized-46s-smv.xml.mzn_AND_NODATA,1,0.580065,1.723945
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0.268642,3.72242
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0.258706,3.865385
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0.103759,9.637681
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0.06983,14.320423
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0.145023,6.895448
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0.145023,6.895448
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.75,1.333333
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.753769,1.326667
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0.264624,3.778947
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0.666667,1.5
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-25s-smv.xml.mzn_AND_NODATA,1,0.535303,1.868099
normalized-44s-smv.xml.mzn_AND_NODATA,1,0.781991,1.278788
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0.454545,2.2
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.833333,1.2
