@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.1747,0.5705,0.093,0.1256,42000,0.2908,0.2943,0.719,0.2019,0.2338,0.0802,18.264,0.048,17,13,0.5822
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1457,0.7335,0.0797,0.1191,583000,2.0163,1.7597,1.7696,0.4453,0.1323,0.0778,321.25,0.0282,210,190,0.4113
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.004,0.2539,0.0019,0.0025,2343,0.112,0.0156,0.8309,0.0675,0.0469,0.0016,4278.3,0.0009,4256,4237,0.6913
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.3595,0.9999,0.0924,0.1174,1810000,6.6383,1.3191,1.3557,0.7945,0.0475,0.0032,0,0,0,0,0.2835
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.1772,0.5731,0.0934,0.1258,75600,0.2896,0.2932,0.7172,0.206,0.2336,0.0799,8.2292,0.048,8,6,0.5781
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0451,0.9033,0.018,0.0222,12647,0.4576,0.1936,0.7312,0.4881,0.0405,0.011,4132,0.0043,4214,4115,0.4123
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.1773,0.5701,0.0925,0.1249,42000,0.2911,0.2948,0.7103,0.2058,0.2339,0.0791,18.144,0.0472,17,14,0.577
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0292,0.8447,0.0156,0.022,1410000,0.5454,0.5132,1.3791,0.2751,0.1733,0.0156,0,0.0072,0,0,0.5482
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.074,0.3782,0.0377,0.0442,74257,0.7131,1.2355,1.2995,0.0674,0.1831,0.025,781.73,0.0221,768,716,0.8312
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.2505,1,0.0511,0.0047,5580000,6.6361,4.0607,0.416,0.9965,0.0143,0,0,0,0,0,0.2263
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.4493,0.9448,0.1631,0.3135,440000,1.8731,1.5958,1.6811,0.4197,0.0313,0.0865,0,0.017,0,0,0.471
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.1335,0.7286,0.0658,0.1328,148000,1.065,0.8326,1.3213,0.5636,0.2086,0.0496,664.75,0.0134,594,571,0.4995
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0232,0.9935,0.0108,0.0119,1880000,0.5907,0.2462,0.4809,0.9849,0.0129,0.0085,0,0.0038,0,0,0.1476
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.1706,0.5326,0.0835,0.1147,1785,0.3002,0.2966,0.7327,0.1756,0.2306,0.0679,3903.4,0.0378,3901,3873,0.6244
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0002,0.0998,0.0001,0.0001,15300,0.0398,0,1.0093,0.0284,0.0118,0.0001,4134,0.0001,4162,4033,0.7112
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0.0001,0.0784,0.0001,0.0001,5785,0.0429,0,0.9999,0.0175,0.0112,0.0001,4477.5,0,4509,4406,0.7402
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0.2684,1,0.0523,0.0134,2320000,5.6053,3.4014,0.5625,0.9906,0.0193,0.0002,0,0,0,0,0.232
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0698,0.1343,0.0598,0.0697,19785,0.5453,0.9218,1.2804,0.0061,0.1601,0.0665,1017,0.0548,955,838,1.3487
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.1583,0.5516,0.0806,0.1097,2130,0.2856,0.28,0.6081,0.1857,0.2316,0.0661,3892.6,0.038,3892,3880,0.6029
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3786,0,0.3561,0.373,232,0.1231,0.0799,1.1977,0,0.2629,0.3662,3820.3,0.3222,3858,3683,0
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.1765,0.5705,0.0931,0.1247,126000,0.2902,0.2938,0.711,0.2073,0.2337,0.0797,5.1825,0.0474,5,3,0.5775
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.2009,0.8242,0.1935,0.2006,672,0,0.231,1.0987,0.806,0.1636,0.1925,4837.7,0.185,4868,4797,0.0152
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0049,0.2433,0.0027,0.0034,20000,0.0977,0.082,0.835,0.0809,0.05,0.0023,42.594,0.0015,41,36,0.6848
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.1472,0.7406,0.0786,0.1195,388000,1.5143,1.4341,1.7619,0.4333,0.1328,0.0738,351.84,0.024,340,312,0.4458
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0002,0.0945,0.0001,0.0001,13600,0.0408,0,1.0012,0.0259,0.0118,0.0001,4187.8,0.0001,4251,4080,0.7341
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0037,0.255,0.0019,0.0023,2769,0.0957,0.0206,0.8395,0.0748,0.0469,0.0015,4221.6,0.001,4187,4171,0.641
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.1768,0.5699,0.0919,0.1235,16800,0.2902,0.2929,0.7277,0.2133,0.2333,0.079,60.067,0.0461,56,51,0.567
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.1481,0.8418,0.0721,0.1191,1100000,1.7985,1.6184,1.8652,0.5122,0.1236,0.066,266.25,0.0164,289,263,0.4497
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.032,0.805,0.0151,0.0258,856000,0.5379,0.5205,1.3599,0.2205,0.1666,0.0129,75,0.0018,75,75,0.5844
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.005,0.2445,0.0028,0.0035,25000,0.0991,0.0864,0.829,0.0804,0.05,0.0023,31.832,0.0015,31,27,0.6712
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.0316,0.9306,0.0312,0.0314,18954,0,0,0,0.9304,0.0385,0.0312,0,0.031,0,0,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.1641,0.5321,0.084,0.1085,1491,0.2831,0.2766,0.6795,0.2096,0.232,0.0711,3970.6,0.0418,3975,3908,0.5749
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.5,0.7998,0.4212,0.4999,7095,4.3842,1.4947,2.9316,0.6105,0.2118,0.4998,1802.8,0.4971,1711,1323,0.232
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0.0001,0.0897,0.0001,0.0001,6230,0.0352,0,0.9933,0.029,0.0112,0.0001,4449.7,0,4445,4410,0.7396
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.004,0.2477,0.002,0.0024,3195,0.1023,0.0264,0.8085,0.0808,0.0469,0.0015,4156.3,0.001,4113,4106,0.6955
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1658,0.8888,0.161,0.1608,3630,0,0.2279,1.1095,0.8846,0.0997,0.1608,4784,0.1562,4838,4725,0.0045
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4997,0.8262,0.4471,0.4991,16065,1.2435,1.3838,2.5461,0.6663,0.1672,0.496,1682,0.4735,1761,1702,0.1909
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.0647,0.3509,0.032,0.0455,2464,0.9001,0.8863,1.4994,0.0296,0.163,0.0454,3736,0.012,3740,3706,0.7198
