@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,42000,41709,0.0003,9752,0.0006,0.0003,0.0003,2130,0.0002,2165,2085,2070,2014.62,10000,479.188,0.0006,2150,148.318,0,0,0.237,0.7922,2129.09,0.048,2183,0,5.0606,0.0283,17,0.2673,0.0008,0.0802,0.0616,40.8125,13,0.019,0.0012,0.0006,8,0.0005,0.0001,0.0017,11,0.1022,18.2639,0.3017,0.1256,52,0.093,0.1747,21,42,1.7795,2.7143,0.2338,53.1653,0.3668,3.3528,0.0083,0.2943,0.3333,47.4048,1.0194,0.3926
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,42000,41760,0.0003,9769,0.0006,0.0003,0.0003,2130,0.0002,2163,2091,2081,2022.12,10000,347.765,0.0007,2159,158.52,0,0,0.2396,0.6462,2127.88,0.0472,2175,0,5.0265,0.0281,17,0.2581,0.0009,0.0791,0.0652,43.4783,14,0.0186,0.0012,0.0005,8,0.0005,0.0001,0.002,12,0.1024,18.1437,0.3052,0.1249,52.5,0.0925,0.1773,22,36,0.9824,2.7124,0.2339,54.1613,0.3096,3.3526,0.0076,0.2948,0.4,47.0526,0.6729,0.3935
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,7120,7120,0.0875,80,0.0111,0.0875,0.0875,14,0.0055,17,10,10,13.7424,80,9.7683,0.0875,14,9.6097,0.0111,0.0781,0.6687,1.9698,13.7119,0,17,0.0032,2,0,4385,0.1992,0.0958,0.0001,1.7242,28.2105,4358,0.1938,?,0.0074,4338,?,?,0.0111,4338,?,4416.4,0.7503,0.0001,28.372,0.0001,0.0001,4456,4545,0.2677,3.8445,0.0112,28.5736,0.0171,2.0649,0.0926,0,?,28.3487,0.2981,0.0611
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,17354,15027,0.0004,4798,0.0013,0.0006,0.0006,1001,0.0003,1038,978,975,994.926,6500,82.7872,0.0021,1005,61.6392,0.0001,0.0001,0.1882,0.5312,1004.05,0.1024,1032,0,5.9545,0.058,435,0.1066,0.0025,0.1668,0.0869,25.9674,398,0.0235,0.0041,0.0013,338,0.0009,0.0001,0.0056,380,0.1561,499.84,0.3942,0.2418,28.5176,0.1802,0.3089,535,924,0.9419,2.6233,0.3193,29.8539,0.3086,3.0474,0.0105,0.4603,0.6667,27.439,0.3959,0.4281
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17000,17000,0.035,200,0.0117,0.035,0.035,33,0.0021,39,27,28,32.9107,200,17.7512,0.035,33,18.056,0.0117,0.0307,0.6302,1.5963,33.4572,0.0001,39,0.0011,2,0.0001,3864,0.1421,0.04,0.0001,1.2586,55.1866,3754,0.1342,?,0.0031,3514,?,?,0.0117,3514,?,3854.75,0.7266,0.0001,58.1688,0.0001,0.0002,4287,4287,0.2009,4.3154,0.0118,57.5305,0.0726,2.1585,0.0609,0,?,57.6995,0.2618,0.0693
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,8010,8010,0.0778,90,0.0111,0.0778,0.0778,15,0.0049,19,12,12,15.365,90,10.5497,0.0778,15,10.4131,0.0111,0.071,0.6625,1.9129,15.3671,0,19,0.0032,2,0,4329,0.1855,0.0849,0.0001,1.7176,30.9457,4298,0.1921,?,0.007,4236,?,?,0.0111,4236,?,4362,0.7487,0.0001,31.3501,0.0001,0.0001,4404,4543,0.2423,3.8942,0.0112,31.4722,0.0242,2.0381,0.0999,0,?,31.09,0.2876,0.0641
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,2343,2343,0.0455,110,0.0457,0.0455,0.0455,22,0.0088,27,18,18,21.9929,110,9.6703,0.0455,22,8.7044,0.0431,0.0341,0.5591,1.5591,21.9929,0.0009,27,0.0051,2.789,0.0006,4256,0.1619,0.0619,0.0016,1.1521,23.6932,4237,0.162,0.1434,0.0132,4227,0.1099,0.0824,0.0465,4227,0.1069,4278.25,0.6975,0.0025,25.2758,0.0019,0.004,4356,4397,0.2899,3.564,0.0469,24.9297,0.0138,2.8732,0.0781,0.0156,0.1276,24.7383,0.2572,0.1651
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,2343,2343,0.0455,110,0.0456,0.0455,0.0455,22,0.0082,26,17,18,21.9015,110,10.0267,0.0455,22,9.0747,0.0431,0.0359,0.5605,1.563,21.9697,0.0009,27,0.003,2.8624,0.0006,4266,0.1617,0.0568,0.0014,1.1488,24.3634,4227,0.1625,0.1332,0.0137,4192,0.1096,0.0918,0.0465,4192,0.1065,4277.375,0.704,0.0024,25.4038,0.0018,0.0033,4385,4419,0.272,3.4926,0.0469,25.2032,0.0179,2.8748,0.0766,0.0149,0.1299,24.6846,0.2559,0.1646
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,54600,54263,0.0002,12681,0.0005,0.0002,0.0002,2779,0.0001,2824,2674,2694,2508.18,13000,580,0.0005,2759,541.35,0.0001,0,0.2293,0.7619,2632,0.0461,2809,0,5.038,0.0274,11,0.3321,0.0008,0.0788,0.0645,43.8235,9,0.2359,0.0011,0.0004,5,0.0004,0.0001,0.0017,7,0.102,12.4356,0.3014,0.1228,59.1429,0.0919,0.1762,15,31,1.1822,2.7188,0.2337,59.369,0.3721,3.3507,0.2354,0.2953,0.3333,50.8182,0.8199,0.391
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4450,4450,0.14,50,0.011,0.14,0.14,9,0.0088,11,6,6,8.9002,50,6.8891,0.14,9,6.3715,0.011,0.1245,0.7049,2.2224,8.835,0,12,0.0061,2,0,4579,0.231,0.1492,0.0001,1.9675,19.5669,4555,0.2278,?,0.0119,4553,?,?,0.011,4553,?,4584,0.7737,0.0001,19.7117,0.0001,0.0001,4587,4646,0.2888,3.5029,0.0112,19.7719,0.0074,1.964,0.117,0,?,19.6194,0.3386,0.0698
