@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,63000,14607,0.0002,0.0002,0.0002,3217,3221,0.0006,2786.38,0.0011,0.0001,0,3174.92,0.0004,0.2304
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,2982,692,0.0044,0.0044,0.0043,163,164,0.0098,151.591,0.0188,0.002,140,151.736,0.0058,0.2994
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,1917,439,0.0069,0.0069,0.0068,107,107,0.0147,97.803,0.0288,0.0052,89,97.759,0.0091,0.3212
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,34000,400,0.0175,0.0175,0.0175,75,76,0.0194,65.768,0.0117,0.0117,57,65.7976,0.0175,0.6048
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,8010,90,0.0778,0.0778,0.0778,19,19,0.0841,15.3984,0.0111,0.0111,12,15.4183,0.0778,0.6615
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,4450,50,0.14,0.14,0.14,12,12,0.1501,8.8815,0.011,0.011,6,8.9003,0.14,0.7054
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,25000,1250,0.004,0.004,0.004,255,255,0.0058,239.251,0.0184,0.0097,223,238.281,0.004,0.4728
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,2343,544,0.0055,0.0055,0.0055,131,132,0.0116,120.957,0.0218,0.0043,111,120.724,0.0074,0.3111
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,6230,70,0.1,0.1,0.1,15,15,0.1104,12.1057,0.0111,0.0111,9,12.1768,0.1,0.6771
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,3408,779,0.0039,0.0039,0.0039,185,184,0.0097,172.325,0.0192,0.003,160,171.73,0.0077,0.299
