@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.1747,0.5705,0.093,0.1256,42000,0.2908,0.2943,0.719,0.2019,0.2338,0.0802,18.264,0.048,17,13,0.5822,0.2274,0.5855,0.3926,21,11,26,0.4013,41709,10000,0.3876,0,0.0254,9752,42,0.9626,0.5867,2165,0.4953,32.318,47.405,5.0606,0.7045,2129.1,0.0826,0.4938,40.813,0.1707,3.3528,52,6,8,0.0283,0.1655,0.0658,0.1022,5,1.0139,0.3333,0.7922,0.2445,0.8244,0.0017,0.3668,2.9653,2130,2.3332,0.6458,0
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1457,0.7335,0.0797,0.1191,583000,2.0163,1.7597,1.7696,0.4453,0.1323,0.0778,321.25,0.0282,210,190,0.4113,0.1713,0.4444,0.5682,241,138,1294,2.377,248000,196000,0.6142,0.1194,4.9941,32750,1444,0.468,0.692,9086,0.3756,9.019,10.592,7.4146,0.8292,8947.8,0.1894,0.4435,9.4949,0.1497,2.8827,11.688,8,89,0.0006,1.6206,0.3744,?,7,1.0704,?,1.5408,?,0.904,0.0083,1.1031,?,8926.5,2.5155,0.7515,0
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.004,0.2539,0.0019,0.0025,2343,0.112,0.0156,0.8309,0.0675,0.0469,0.0016,4278.3,0.0009,4256,4237,0.6913,0.0788,0.008,0.1651,4356,4227,4397,0.1916,2343,110,0.1454,0,0,110,4397,0,0.64,27,0.3774,23.693,24.738,2.789,0.3115,21.993,0.0394,0.1942,23.693,0.0616,2.8732,25.276,3,4227,0.0006,0,0,0.1069,2,0.8699,0.1276,1.5591,0.0654,0.8575,0.0465,0.0138,4.2136,22,2.7114,0.7341,0.0431
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.3595,0.9999,0.0924,0.1174,1810000,6.6383,1.3191,1.3557,0.7945,0.0475,0.0032,0,0,0,0,0.2835,0.4428,0.5,0.8546,0,0,0,4.6846,1790000,96177,0.9963,0.6199,0.1323,84942,0,0.9501,0.7766,0,0.529,0,0,5,1,0,0.4754,0.9423,0,0.2523,4.0721,0,5,0,0,0.9825,2.5312,?,5,1.2045,?,38.197,?,1.0494,0.0171,0,?,0,4.1956,1.7067,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.1772,0.5731,0.0934,0.1258,75600,0.2896,0.2932,0.7172,0.206,0.2336,0.0799,8.2292,0.048,8,6,0.5781,0.2303,0.7541,0.3951,10,5,12,0.3998,75031,18000,0.3897,0,0.027,17527,21,0.9632,0.5883,3840,0.4949,29.667,57.6,5.2043,0.7084,3808.6,0.0862,0.4938,46.182,0.1724,3.3695,66.583,6,4,0.0288,0.1632,0.0653,0.1023,5,1.3289,0.3571,1.0179,0.2472,0.8285,0.001,0.3854,2.9758,3804,2.3317,0.6504,0.0001
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0451,0.9033,0.018,0.0222,12647,0.4576,0.1936,0.7312,0.4881,0.0405,0.011,4132,0.0043,4214,4115,0.4123,0.5681,0.1319,0.6752,4230,3790,4236,0.8917,10373,526,0.8077,0,0.2524,420,4236,0.6785,0.3529,134,0.8204,21.6,22.151,3,0.9387,122.9,0.2068,0.0646,21.6,0.3643,3.8317,22.665,3,3790,0.0016,0.8565,0.4074,?,3,0.971,?,4.0415,?,0.9689,0.0193,0.0356,?,123,3.1969,1.2079,0.0077
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.1773,0.5701,0.0925,0.1249,42000,0.2911,0.2948,0.7103,0.2058,0.2339,0.0791,18.144,0.0472,17,14,0.577,0.2274,0.9025,0.3936,22,12,26,0.3977,41760,10000,0.3832,0,0.0236,9769,36,0.9663,0.5878,2163,0.4961,30.211,47.053,5.0265,0.7046,2127.9,0.0864,0.4949,43.478,0.1686,3.3526,52.5,6,8,0.0281,0.1537,0.0639,0.1024,5,0.8819,0.4,0.6462,0.2467,0.8223,0.002,0.3096,2.969,2130,2.3261,0.6544,0
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0292,0.8447,0.0156,0.022,1410000,0.5454,0.5132,1.3791,0.2751,0.1733,0.0156,0,0.0072,0,0,0.5482,0.2625,0.1345,0.5835,0,0,0,0.5361,868000,299000,0.7644,0.585,0.9868,150000,0,0.8731,0.9831,53520,0.3881,0,0,17.091,0.8866,53520,0.0713,0.732,0,0.1638,2.8426,0,18,0,0,1.0373,0.4804,?,17,4.9778,?,5.9166,?,0.9973,0,0,?,53520,2.3141,0.7992,0
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.074,0.3782,0.0377,0.0442,74257,0.7131,1.2355,1.2995,0.0674,0.1831,0.025,781.73,0.0221,768,716,0.8312,0.0735,0.2875,0.263,931,568,1008,1.0258,34035,21104,0.2087,0.2219,2.3864,6232,1028,0.6128,0.6554,1292,0.3356,9.2949,14.214,8.5016,0.6048,1263.9,0.0373,0.6119,10.311,0.1129,1.9442,21.112,10,495,0.0082,1.2175,0.3027,0.2817,6,0.848,0.5632,0.7321,1.343,0.8613,0.0074,0.1903,3.834,1264,2.0457,1.0459,0.0001
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.2505,1,0.0511,0.0047,5580000,6.6361,4.0607,0.416,0.9965,0.0143,0,0,0,0,0,0.2263,0.57,1,0.9277,0,0,0,6.4636,5550000,89315,1,0.9679,0.122,79604,0,0.9717,0.2426,0,0.9393,0,0,4,1,0,0.7873,0.9716,0,0.2828,4.2266,0,4,0,0,0.2542,2.9707,?,4,1.2059,?,1749.4,?,1.0181,0.0064,0,?,0,4.9541,2.5087,0
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.4493,0.9448,0.1631,0.3135,440000,1.8731,1.5958,1.6811,0.4197,0.0313,0.0865,0,0.017,0,0,0.471,0.3644,0.5,0.6786,0,0,0,2.5162,267000,95421,0.8295,0.6339,10.418,8357,0,0.7264,1.4194,2751,0.2514,0,0,12.597,0.9759,2585.8,0.15,0.7734,0,0.2984,4.2382,0,15,0,0.0006,1.7495,2.4534,?,10,0.9858,?,6.3075,?,0.9939,0.0059,0,?,2725.5,4.3331,1.039,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.1335,0.7286,0.0658,0.1328,148000,1.065,0.8326,1.3213,0.5636,0.2086,0.0496,664.75,0.0134,594,571,0.4995,0.19,0.2171,0.5567,730,550,1045,1.2377,65966,53752,0.6957,0.4161,2.9061,13761,1045,0.8711,0.7935,4553,0.444,10.497,11.558,7.5977,0.7511,4293.4,0,0.5865,10.497,0.124,1.76,13.599,8,550,0.0101,1.0619,1.6766,0.1276,7,1.2671,0.7,1.9854,1.1891,0.8829,0.0089,0.2346,4.1339,4483,1.9672,0.8274,0.0001
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0232,0.9935,0.0108,0.0119,1880000,0.5907,0.2462,0.4809,0.9849,0.0129,0.0085,0,0.0038,0,0,0.1476,0.9396,0.2259,0.9558,0,0,0,0.3127,1880000,24356,0.9876,0.8788,0.0002,24352,0,0.9732,0.2326,11627,0.9204,0,0,5.4615,0.9987,11627,0.9636,0.9332,0,0.1323,0.6386,0,7,0,0.0008,0.4533,0.8469,?,5,1.211,?,38.492,?,0.9997,0.0002,0,?,11627,2.7943,1.2403,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.1706,0.5326,0.0835,0.1147,1785,0.3002,0.2966,0.7327,0.1756,0.2306,0.0679,3903.4,0.0378,3901,3873,0.6244,0.2137,0.3832,0.3674,3953,3849,3962,0.3827,1774,420,0.3438,0,0.0269,409,3962,0.9662,0.5906,99,0.5011,22.295,23.155,4,0.682,89.741,0.0623,0.4859,22.295,0.1709,3.3039,23.401,4,3849,0.0216,0.163,0.073,0.1073,4,0.853,0.25,0.9525,0.237,0.841,0.0293,0.0098,2.9567,90,2.2763,0.7322,0.0045
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0002,0.0998,0.0001,0.0001,15300,0.0398,0,1.0093,0.0284,0.0118,0.0001,4134,0.0001,4162,4033,0.7112,0.033,0.0002,0.0672,4373,3968,4373,0.1638,15300,180,0.061,0,0,180,4373,0,0.6756,35,0.3155,51.943,52.702,2,0.1367,29.677,0.0117,0.0663,51.943,0.0244,2.1181,54.855,2,3968,0.0001,0,0,?,2,0.8671,?,1.6327,?,0.8647,0.0117,0.0374,?,29,3.098,0.3721,0.0117
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0.0001,0.0784,0.0001,0.0001,5785,0.0429,0,0.9999,0.0175,0.0112,0.0001,4477.5,0,4509,4406,0.7402,0.0269,0.0001,0.0547,4516,4397,4588,0.1388,5785,65,0.0483,0,0,65,4588,0,0.6794,14,0.3118,23.922,24.017,2,0.1044,11.271,0.0095,0.0626,23.922,0.0205,1.9119,24.212,2,4397,0,0,0,?,2,0.8868,?,2.1171,?,0.875,0.0111,0.015,?,11,2.8813,0.3991,0.0111
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0.2684,1,0.0523,0.0134,2320000,5.6053,3.4014,0.5625,0.9906,0.0193,0.0002,0,0,0,0,0.232,0.5357,1,0.9248,0,0,0,5.2206,2300000,49112,0.9999,0.9475,0.1111,44203,0,0.9567,0.2924,0,0.9126,0,0,3.8333,1,0,0.6866,0.9563,0,0.2855,4.2416,0,4,0,0,0.3769,2.5842,?,3,1.0206,?,59.823,?,1.0128,0.009,0,?,0,4.7811,2.474,0
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0698,0.1343,0.0598,0.0697,19785,0.5453,0.9218,1.2804,0.0061,0.1601,0.0665,1017,0.0548,955,838,1.3487,0.0256,0.1012,0.0997,1280,730,1376,0.908,17733,3073,0.0188,0.0451,0.082,2840,1376,0.2051,0.842,480,0.401,28.225,55.107,6.8981,0.3249,458.2,0,0.3628,28.225,0.0453,0.7217,66.835,8,730,0.043,0.6155,0.1406,0.3807,5,0.6913,0.6364,0.4409,0.7121,0.7411,0.0036,0.2142,1.888,459,2.2235,0.2261,0.0002
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.1583,0.5516,0.0806,0.1097,2130,0.2856,0.28,0.6081,0.1857,0.2316,0.0661,3892.6,0.038,3892,3880,0.6029,0.2024,0.3342,0.3713,3961,3768,3976,0.3978,2124,500,0.3631,0,0.0163,492,3976,0.9849,0.5782,118,0.4864,25.819,25.998,4.0041,0.6943,108.21,0.0793,0.4972,25.819,0.1571,3.2495,26.573,5,3768,0.0206,0.0803,0.0423,0.1061,4,0.8532,0.3077,0.9315,0.2164,0.839,0.0221,0.0154,2.8651,108,2.3342,0.7194,0.0047
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3786,0,0.3561,0.373,232,0.1231,0.0799,1.1977,0,0.2629,0.3662,3820.3,0.3222,3858,3683,0,0,0.3797,0,3975,3635,4112,0.437,232,87,0,0,0.4262,61,4112,0.1035,0.8477,9,0.3879,19.013,19.236,5,0,6.9076,0,0.3233,19.096,0,0,19.786,5,3428,0.3189,0.3326,0.0782,0.4343,5,0.835,0.4737,1.452,0.1136,0.7797,0.0259,0.05,1.2022,7,1.322,0.068,0.0216
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.1765,0.5705,0.0931,0.1247,126000,0.2902,0.2938,0.711,0.2073,0.2337,0.0797,5.1825,0.0474,5,3,0.5775,0.2294,0.7443,0.3946,6,3,9,0.4017,125000,30000,0.3874,0,0.0253,29259,18,0.9653,0.5869,6372,0.4968,31,59.4,5.6705,0.7073,6344.6,0.0856,0.4923,49.5,0.1716,3.3665,74,6,1,0.0279,0.156,0.0635,0.1021,5,0.8525,0.5,0.6864,0.2435,0.8508,0.0007,0.5479,2.9625,6358,2.3317,0.6587,0
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.2009,0.8242,0.1935,0.2006,672,0,0.231,1.0987,0.806,0.1636,0.1925,4837.7,0.185,4868,4797,0.0152,0,0.2198,0.8139,4869,4779,4891,0.3559,660,120,0.8154,0.8121,0.1111,108,4891,0.8121,1.0372,49,0.4599,29.059,29.123,3,0.8258,42.498,0.8041,0.6424,29.059,0,0,30.194,3,4779,0.1848,0.5281,0.9538,0.1446,3,0.9954,0.1858,2.9631,0.9449,0.995,0.0985,0.0085,0.8485,43,1.9213,0.0479,0.0455
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0049,0.2433,0.0027,0.0034,20000,0.0977,0.082,0.835,0.0809,0.05,0.0023,42.594,0.0015,41,36,0.6848,0.0803,0.0118,0.1692,48,33,54,0.2305,20000,1000,0.1523,0,0,1000,92,0,0.6497,208,0.3768,46.089,54.667,3,0.3306,192.23,0.0288,0.1878,50.038,0.0616,3.0209,58.104,3,27,0.001,0,0,?,3,0.8663,?,1.0528,?,0.8452,0.0209,0.2182,?,193,2.8674,0.626,0.0124
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.1472,0.7406,0.0786,0.1195,388000,1.5143,1.4341,1.7619,0.4333,0.1328,0.0738,351.84,0.024,340,312,0.4458,0.1711,0.443,0.5643,388,245,475,1.8133,169000,131000,0.6206,0.1229,4.8307,22468,479,0.4693,0.7062,6140,0.3748,9.0179,10.56,7.4831,0.8512,6121.4,0.1263,0.4543,9.6053,0.1515,2.9052,11.178,9,206,0.0006,1.6207,0.385,?,7,0.9552,?,1.0473,?,0.9099,0.0065,0.1916,?,6129,2.6282,0.8212,0
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0002,0.0945,0.0001,0.0001,13600,0.0408,0,1.0012,0.0259,0.0118,0.0001,4187.8,0.0001,4251,4080,0.7341,0.0311,0.0002,0.0634,4388,4032,4388,0.1466,13600,160,0.0525,0,0,160,4388,0,0.6787,32,0.3123,47.623,47.79,2,0.1247,26.531,0.0138,0.0627,47.623,0.0236,2.0586,49.062,2,4032,0.0001,0,0,?,2,0.8655,?,1.6519,?,0.868,0.0117,0.0338,?,26,3.0272,0.3728,0.0117
