@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.005425,0.994604,2.334539,403.346335,2.321942,553,0.022812,68,0.124774,1.897653,13.122966,4.466809,47,6.900542,2.378528,4.372153
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.011894,0.988246,2.343092,254.232599,2.315552,1093,0.015858,32,0.030192,1.240943,33.954254,3.874394,27,3.875572,0.860448,1.718294
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.01174,0.988397,2.342583,254.232599,2.315401,937,0.015857,32,0.035219,1.273294,29.922092,3.875324,27,3.965848,0.924092,1.838811
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.844311,1.184397,2.658683,85.809962,3.148936,83,0.864639,109,0.652695,1.192751,2.221557,0.467609,28,17.389222,1.896642,0.743316
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.875,1.142857,4.613636,46.584963,5.272727,45,0.002828,1012,5.755682,0.919396,7.403409,0.050557,45,20.852273,0.148638,0.533807
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.871345,1.147651,4.391813,46.584963,5.040268,45,0.002875,1012,5.923977,0.91173,7.169591,0.051791,45,20.807018,0.150733,0.539809
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.705761,1.41691,2.369684,86.1418,3.357629,1458,0.033152,36,0.026063,0.759847,12.741427,0.907263,16,10.436214,4.518962,8.667608
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.922849,1.083601,4.27003,163.18438,4.62701,207,0.524348,505,1.557864,0.954104,6.72997,2.365588,37,20.189911,2.663326,3.59156
