@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.164629
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0.086849
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.231214
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.288793
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.509091
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0.151677
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.268642
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0.151677
normalized-37s-smv.xml.mzn_AND_NODATA,1,0.394432
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0.095787
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0.095787
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0.06983
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0.114926
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0.095787
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0.264624
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0.194444
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0.194444
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0.164629
normalized-46s-smv.xml.mzn_AND_NODATA,1,0.580065
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0.268642
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0.258706
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0.769231
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0.103759
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0.06983
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0.145023
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0.145023
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0.666667
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.75
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.753769
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0.264624
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0.666667
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-25s-smv.xml.mzn_AND_NODATA,1,0.535303
normalized-44s-smv.xml.mzn_AND_NODATA,1,0.781991
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0.454545
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0.666667
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0.769231
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0.769231
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0.210721
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.834492
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0.145023
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0.151677
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0.103759
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.75188
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.83682
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.750939
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.750939
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.750939
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0.50641
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0.095217
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.753769
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0.769231
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0.06983
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.55607
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.852273
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0.454545
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0.666667
normalized-43s-smv.xml.mzn_AND_NODATA,1,0.508486
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0.769231
