@relation 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute stats_tightness_100 numeric
@attribute normalised_standard_deviation_of_node_degree numeric
@attribute clustering_coefficient numeric
@attribute normalised_maximum_degree numeric
@attribute algorithm {standard,learning,allfair}

@data

324,0.068493,0.091828,0.366667,standard
263,0.068493,0.091828,0.366667,standard
263,0.059392,0.039056,0.344086,standard
184,0.059392,0.039056,0.344086,standard
263,0.04681,0.016686,0.336879,standard
184,0.04681,0.016686,0.336879,standard
169,0.04681,0.016686,0.336879,standard
324,0.040141,0,0.328358,standard
263,0.040141,0,0.328358,allfair
263,0.032959,0,0.331683,allfair
184,0.032959,0,0.331683,allfair
169,0.032959,0,0.331683,standard
263,0.024126,0,0.332784,allfair
184,0.024126,0,0.332784,allfair
169,0.024126,0,0.332784,allfair
154,0.024126,0,0.332784,standard
263,0.058075,0.063836,0.288462,standard
184,0.058075,0.063836,0.288462,standard
263,0.038637,0.021882,0.259434,standard
184,0.038637,0.021882,0.259434,standard
169,0.038637,0.021882,0.259434,standard
263,0.023979,0.007851,0.252347,standard
184,0.023979,0.007851,0.252347,standard
169,0.023979,0.007851,0.252347,standard
154,0.023979,0.007851,0.252347,standard
324,0.025743,0,0.243243,standard
263,0.025743,0,0.243243,standard
324,0.021708,0,0.248322,standard
263,0.021708,0,0.248322,allfair
184,0.021708,0,0.248322,standard
324,0.014236,0,0.249581,standard
263,0.014236,0,0.249581,allfair
184,0.014236,0,0.249581,allfair
169,0.014236,0,0.249581,standard
184,0.049847,0.051742,0.2375,standard
169,0.049847,0.051742,0.2375,standard
184,0.026781,0.01485,0.207407,standard
169,0.026781,0.01485,0.207407,standard
154,0.026781,0.01485,0.207407,standard
184,0.013841,0.004678,0.201478,allfair
169,0.013841,0.004678,0.201478,standard
154,0.013841,0.004678,0.201478,allfair
136,0.013841,0.004678,0.201478,standard
324,0.01844,0,0.196429,standard
263,0.01844,0,0.196429,standard
324,0.013027,0,0.199288,standard
263,0.013027,0,0.199288,allfair
184,0.013027,0,0.199288,standard
324,0.007218,0,0.199858,standard
263,0.007218,0,0.199858,allfair
184,0.007218,0,0.199858,allfair
169,0.007218,0,0.199858,standard
169,0.043477,0.044685,0.201754,standard
154,0.043477,0.044685,0.201754,standard
169,0.019555,0.011068,0.172464,standard
154,0.019555,0.011068,0.172464,standard
136,0.019555,0.011068,0.172464,standard
184,0.008725,0.003157,0.167631,standard
169,0.008725,0.003157,0.167631,allfair
154,0.008725,0.003157,0.167631,standard
136,0.008725,0.003157,0.167631,allfair
324,0.013793,0,0.164557,standard
263,0.013793,0,0.164557,standard
324,0.008453,0,0.166316,allfair
263,0.008453,0,0.166316,allfair
184,0.008453,0,0.166316,standard
169,0.038464,0.039801,0.175325,standard
154,0.038464,0.039801,0.175325,standard
136,0.038464,0.039801,0.175325,standard
169,0.014867,0.008712,0.147465,standard
154,0.014867,0.008712,0.147465,standard
136,0.014867,0.008712,0.147465,standard
96,0.014867,0.008712,0.147465,standard
104,0.012787,0.440231,0.096981,standard
184,0.012787,0.440231,0.096981,standard
154,0.012787,0.440231,0.096981,allfair
136,0.012787,0.440231,0.096981,allfair
96,0.012787,0.440231,0.096981,standard
273,0.016204,0.300758,0.14,standard
260,0.013229,0.291397,0.11,standard
257,0.015951,0.292261,0.12,standard
273,0.01671,0.283001,0.13,standard
273,0.019079,0.256906,0.13,standard
273,0.019131,0.244708,0.15,allfair
273,0.017025,0.262989,0.12,allfair
266,0.018126,0.233664,0.14,allfair
