@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.2943,0.2908,0.4013,0.007,0,32.318,40.813,0.0658,0.719,5.0606,47.405,0.8244,0.237,11,8,0,0.5822,42,0.2338,0,0.5867,52,0.1655,0.048,0.3926,21,17,53.165,18.264,9752,0.0002,148.32,26,6,0.0254,0.1256,13,0.3876,0,0.0006,0.093,0.2019,0.6458,0.0012,0.2274,42000,2129.1,0.1747,479.19,0.7045,2014.6,2150,0.0003,0,0.5855,59.8,0.0826,5,0.9626,0.6589,41709,0.3668,0.5705,10000
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.7597,2.0163,2.377,1.3544,0.1194,9.019,9.4949,0.3744,1.7696,7.4146,10.592,0.904,0.0277,138,89,0,0.4113,1444,0.1323,0,0.692,11.688,1.6206,0.0282,0.5682,241,210,13.605,321.25,32750,0,1307.2,1294,8,4.9941,0.1191,190,0.6142,0,0.0001,0.0797,0.4453,0.7515,0,0.1713,583000,8947.8,0.1457,2819.5,0.8292,4504,4504,0.0001,0,0.4444,16.067,0.1894,7,0.468,0.2457,248000,1.1031,0.7335,196000
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0156,0.112,0.1916,0,0,23.693,23.693,0,0.8309,2.789,24.738,0.8575,0.5591,4227,4227,0.0431,0.6913,4397,0.0469,0.2,0.64,25.276,0,0.0009,0.1651,4356,4256,24.93,4278.3,110,0.0088,8.7044,4397,3,0,0.0025,4237,0.1454,0.0341,0.0457,0.0019,0.0675,0.7341,0.0002,0.0788,2343,21.993,0.004,9.6703,0.3115,21.993,22,0.0455,0.0056,0.008,25.452,0.0394,2,0,0.0843,2343,0.0138,0.2539,110
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,1.3191,6.6383,4.6846,0.014,0.6199,0,0,2.5312,1.3557,5,0,1.0494,0.4145,0,0,0,0.2835,0,0.0475,0,0.7766,0,0.9825,0,0.8546,0,0,0,0,84942,0,16446,0,5,0.1323,0.1174,0,0.9963,0,0.0003,0.0924,0.7945,1.7067,0,0.4428,1810000,0,0.3595,58347,1,0,0,0,0,0.5,0,0.4754,5,0.9501,0,1790000,0,0.9999,96177
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.2932,0.2896,0.3998,0.0076,0,29.667,46.182,0.0653,0.7172,5.2043,57.6,0.8285,0.2391,5,4,0.0001,0.5781,21,0.2336,0,0.5883,66.583,0.1632,0.048,0.3951,10,8,68.129,8.2292,17527,0.0001,308.07,12,6,0.027,0.1258,6,0.3897,0,0.0004,0.0934,0.206,0.6504,0.0017,0.2303,75600,3808.6,0.1772,1371.4,0.7084,3309.4,3863,0.0002,0,0.7541,77.833,0.0862,5,0.9632,0.965,75031,0.3854,0.5731,18000
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.1936,0.4576,0.8917,0.2192,0,21.6,21.6,0.4074,0.7312,3,22.151,0.9689,0.3481,3790,3790,0.0077,0.4123,4236,0.0405,0.3333,0.3529,22.665,0.8565,0.0043,0.6752,4230,4214,22.525,4132,420,0.0011,14.05,4236,3,0.2524,0.0222,4115,0.8077,0.0038,0.0132,0.018,0.4881,1.2079,0.0001,0.5681,12647,122.9,0.0451,16.839,0.9387,122.94,123,0.0071,0.0016,0.1319,22.946,0.2068,3,0.6785,0.0273,10373,0.0356,0.9033,526
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.2948,0.2911,0.3977,0.0057,0,30.211,43.478,0.0639,0.7103,5.0265,47.053,0.8223,0.2396,12,8,0,0.577,36,0.2339,0,0.5878,52.5,0.1537,0.0472,0.3936,22,17,54.161,18.144,9769,0.0002,158.52,26,6,0.0236,0.1249,14,0.3832,0,0.0006,0.0925,0.2058,0.6544,0.0026,0.2274,42000,2127.9,0.1773,347.76,0.7046,2022.1,2159,0.0003,0.0001,0.9025,59.476,0.0864,5,0.9663,0.173,41760,0.3096,0.5701,10000
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.5132,0.5454,0.5361,0.6234,0.585,0,0,0.4804,1.3791,17.091,0,0.9973,0.2523,0,0,0,0.5482,0,0.1733,0,0.9831,0,1.0373,0.0072,0.5835,0,0,0,0,150000,0,18164,0,18,0.9868,0.022,0,0.7644,0,0,0.0156,0.2751,0.7992,0,0.2625,1410000,53520,0.0292,128000,0.8866,0,0,0,0,0.1345,0,0.0713,17,0.8731,0,868000,0,0.8447,299000
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.2355,0.7131,1.0258,1.1818,0.2219,9.2949,10.311,0.3027,1.2995,8.5016,14.214,0.8613,0.0786,568,495,0.0001,0.8312,1028,0.1831,0,0.6554,21.112,1.2175,0.0221,0.263,931,768,23.789,781.73,6232,0.0003,447.85,1008,10,2.3864,0.0442,716,0.2087,0.0002,0.0003,0.0377,0.0674,1.0459,0,0.0735,74257,1263.9,0.074,327.25,0.6048,1224.8,1263,0.0003,0,0.2875,35.4,0.0373,6,0.6128,0.1189,34035,0.1903,0.3782,21104
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,4.0607,6.6361,6.4636,0.0064,0.9679,0,0,2.9707,0.416,4,0,1.0181,0.2533,0,0,0,0.2263,0,0.0143,0,0.2426,0,0.2542,0,0.9277,0,0,0,0,79604,0,24308,0,4,0.122,0.0047,0,1,0,0.0001,0.0511,0.9965,2.5087,0,0.57,5580000,0,0.2505,217000,1,0,0,0,0,1,0,0.7873,4,0.9717,0,5550000,0,1,89315
